X,RamDA_mESC_24h_A04,RamDA_mESC_24h_A05,RamDA_mESC_24h_A06,RamDA_mESC_24h_A08,RamDA_mESC_24h_A09,RamDA_mESC_24h_A10,RamDA_mESC_24h_A11,RamDA_mESC_24h_A12,RamDA_mESC_24h_B01,RamDA_mESC_24h_B02,RamDA_mESC_24h_B03,RamDA_mESC_24h_B04,RamDA_mESC_24h_B05,RamDA_mESC_24h_B06,RamDA_mESC_24h_B07,RamDA_mESC_24h_B08,RamDA_mESC_24h_B09,RamDA_mESC_24h_B10,RamDA_mESC_24h_B11,RamDA_mESC_24h_B12,RamDA_mESC_24h_C01,RamDA_mESC_24h_C02,RamDA_mESC_24h_C03,RamDA_mESC_24h_C04,RamDA_mESC_24h_C05,RamDA_mESC_24h_C06,RamDA_mESC_24h_C07,RamDA_mESC_24h_C08,RamDA_mESC_24h_C09,RamDA_mESC_24h_C10,RamDA_mESC_24h_C11,RamDA_mESC_24h_C12,RamDA_mESC_24h_D01,RamDA_mESC_24h_D02,RamDA_mESC_24h_D03,RamDA_mESC_24h_D04,RamDA_mESC_24h_D05,RamDA_mESC_24h_D06,RamDA_mESC_24h_D07,RamDA_mESC_24h_D08,RamDA_mESC_24h_D09,RamDA_mESC_24h_D10,RamDA_mESC_24h_D11,RamDA_mESC_24h_D12,RamDA_mESC_24h_E01,RamDA_mESC_24h_E02,RamDA_mESC_24h_E03,RamDA_mESC_24h_E04,RamDA_mESC_24h_E05,RamDA_mESC_24h_E06,RamDA_mESC_24h_E07,RamDA_mESC_24h_E08,RamDA_mESC_24h_E09,RamDA_mESC_24h_E10,RamDA_mESC_24h_E11,RamDA_mESC_24h_E12,RamDA_mESC_24h_F01,RamDA_mESC_24h_F02,RamDA_mESC_24h_F03,RamDA_mESC_24h_F05,RamDA_mESC_24h_F06,RamDA_mESC_24h_F07,RamDA_mESC_24h_F08,RamDA_mESC_24h_F09,RamDA_mESC_24h_F10,RamDA_mESC_24h_F11,RamDA_mESC_24h_F12,RamDA_mESC_24h_G01,RamDA_mESC_24h_G02,RamDA_mESC_24h_G03,RamDA_mESC_24h_G04,RamDA_mESC_24h_G05,RamDA_mESC_24h_G06,RamDA_mESC_24h_G07,RamDA_mESC_24h_G08,RamDA_mESC_24h_G09,RamDA_mESC_24h_G11,RamDA_mESC_24h_G12,RamDA_mESC_24h_H01,RamDA_mESC_24h_H02,RamDA_mESC_24h_H03,RamDA_mESC_24h_H04,RamDA_mESC_24h_H05,RamDA_mESC_24h_H06,RamDA_mESC_24h_H07,RamDA_mESC_24h_H08,RamDA_mESC_24h_H09,RamDA_mESC_24h_H10,RamDA_mESC_24h_H11,RamDA_mESC_24h_H12
Apbb1,0.904455761,1.734226867,1.393898987,2.045268064,1.096063803,0.815498928,1.154965619,1.378308163,0.315474981,1.746535246,0.767604739,1.000522239,1.160300488,1.223438864,1.512052643,1.240727556,1.665819889,1.239925574,1.600363175,0.689149297,1.715204679,1.61335054,0.415793014,1.216946809,1.406012078,1.785818224,1.336912293,1.401803502,1.856785618,1.958795169,1.391145427,1.805532814,0.788203788,1.243493982,0.691296083,1.30214962,0.637840743,1.230270515,0.95732079,0.919261314,1.59512277,1.127101364,1.318398728,1.079804468,1.144483031,1.05022023,1.907860936,0.921113652,1.147385298,0.978835637,1.17020735,0.601175445,1.314307665,1.127011684,1.328815657,1.174888871,1.141212191,0.909085565,1.61581514,1.697013733,0.851025219,0.955127717,0.823384296,1.787222967,1.629736085,1.634200678,1.118928757,1.212151554,1.648064288,0.844761783,0.787324358,1.335969912,0.679671396,1.38140384,0.86995561,1.822526615,1.391571014,1.90888437,1.861249487,1.353220108,1.352463432,1.594959264,0.96202446,0.933237781,1.019260488,1.20348621,1.738944883,0.98313885,1.241576822,2.42327304
Apex1,2.655280325,2.527994428,2.693760429,2.315677345,2.853054008,2.556513015,3.17036262,2.121753163,2.04426467,2.115965934,2.636397228,2.358434277,3.227066575,1.788382264,2.211813657,2.866575988,2.963982058,2.119536029,3.209536486,2.8408626,3.527118997,2.963751225,3.046514365,2.581430717,3.034165584,2.945444539,2.869627278,2.969184215,2.185450453,2.860910419,2.459384502,2.798750094,2.879220452,2.910603978,2.273111398,2.250579489,2.614998303,3.042138823,3.406613051,2.262394041,2.135676589,2.202201633,2.554127055,2.389230992,1.772553137,2.300386257,2.966389687,2.84212604,1.811160188,2.304384248,2.881730033,3.10375347,3.045655807,2.824656518,3.22871265,3.43725699,3.057087024,3.083332923,2.485500295,3.144022874,2.6572265,2.482062627,2.194345908,2.635118969,3.186275262,2.900850398,2.908881208,2.929878711,2.882840415,2.641209342,3.243002208,3.373200708,2.585730368,2.893260092,2.895633365,2.198553302,2.160647164,3.252534249,2.611615143,2.433277243,2.620862442,2.435474765,2.632720644,3.033244285,2.87726014,2.353613239,1.528203217,2.787953905,2.548763253,3.132810222
Apoe,3.232737153,4.031121402,4.619171579,4.223593814,4.331346723,4.855923664,4.79856737,4.789414853,3.55705954,4.471189321,5.345635781,4.983866382,4.64178234,3.64715099,3.675097746,3.423617949,4.849130033,4.216763723,4.632387782,3.311385085,4.07074623,3.70456615,3.881944064,4.121550997,5.06354529,4.106856512,4.883463173,5.313479017,4.401420241,4.641262393,5.406503853,4.925927998,5.236916638,4.586778514,3.719222476,4.382433913,5.016712338,4.970983213,4.946742196,4.603906723,5.011971536,4.187437042,4.452715414,4.767062785,3.863037604,4.047484096,4.431157352,4.70737214,5.074324077,4.218121975,4.521335173,5.324828187,5.028033563,4.581522197,3.896532162,4.268668469,3.702592558,4.889150262,4.631789511,4.609122886,5.091231929,2.920700265,5.149477446,4.605973798,4.532901155,5.079649496,3.752026174,4.425882128,5.115450161,3.958484412,4.453303308,4.1123545,3.926049041,4.793760825,3.417119086,3.649313453,3.421765682,3.917656116,3.914246214,4.620380477,4.734081962,4.771178922,3.01176323,4.651935894,3.970951866,1.873718195,3.461264787,4.233584917,4.755550447,4.044373255
App,3.18E-06,0.35776576,1.41E-09,0.634587671,0.299460104,0.604728768,0.525716955,1.206798847,0.42023641,0.117074776,1.053608712,0.696939687,3.22E-05,0.537204088,0.486560789,0.168433371,0.268455816,0,0.150009619,0.384491978,0.353062329,0.374577073,0.827263683,0.580142361,0.091045264,0.43063678,0.827472574,0.266687342,0.311997508,0.459913452,1.309285695,0.735332587,0.541497648,0.387618616,0.408441341,0.950477059,0.208650651,0.1677655,0.110944532,0,0.633238848,1.213450851,0,0,0.616301335,0.36681356,0.927778114,0.247553155,0.904989241,0.53411131,0,0,0.338244469,0.848328523,0.292952954,0.656782291,0.83042995,0.119126212,0.373258683,0.914263452,0.391933092,0.657630909,0.273753518,0.08477212,0.116071641,0.198556639,0.317792191,0.291360807,0.715340435,0.97050394,0.743043655,0.152473035,0.338896636,8.18E-05,0.640400138,0.234825789,1.313297222,0.868659141,0.323257135,0.091811086,0.360166732,0.150847001,0,0.736139045,0.762223987,0.377881903,0.617252677,0.411889839,0.812912391,0.231578791
Arid1a,2.065394109,2.201204922,2.421920522,2.073600008,2.054773694,2.514576148,2.051734173,2.223866615,2.232228342,2.477390998,1.938143026,1.469689531,2.073503287,2.092893624,2.007832743,1.963094244,2.337447225,1.937108621,2.04443682,2.325721123,2.430551177,2.069270766,2.1324559,2.292334387,1.929043066,2.332469974,2.313771056,2.846134184,2.602084758,2.610732415,2.311892668,2.100402024,1.609692703,2.1425294,2.06308024,1.877440459,2.302214197,2.02105456,2.43678574,2.3417504,2.142950181,2.069895439,2.28205082,2.655882584,1.965298469,2.273783549,1.980954698,2.171882951,2.187016161,1.87144307,2.394547809,1.943950971,2.302180343,1.999441772,1.932255997,2.182206797,2.26417446,2.728559112,2.106413227,1.865447592,2.065962041,2.234734266,2.200035132,2.220614916,2.173173529,2.501406302,2.316261543,1.497267966,2.165743918,1.874810217,1.872862799,1.966199328,2.145289287,1.834391267,2.742278961,2.477046022,2.173671413,2.400728819,2.417299907,2.242138232,2.365068734,1.836142044,2.835092148,2.257013095,1.635425356,1.97039458,1.799372268,2.381253999,2.628989324,2.37181944
Arid5b,2.103716206,2.010797348,2.557629119,2.151087257,1.463397248,2.413326576,1.046182808,2.137537722,1.709594471,2.32245686,1.784291587,1.727286927,1.336666961,1.363908365,1.68732541,1.547701603,1.886033849,2.661225741,1.6292632,0.947079193,1.843000398,1.385303567,1.63637882,1.946499119,1.613461008,2.281804683,1.848087138,2.340899131,1.688133161,2.319903085,1.281928531,1.994032757,1.439413968,2.082168835,1.437982846,1.255411415,2.013839979,2.062395328,1.761530294,2.048507806,2.377082605,1.212899529,2.279176643,1.742923216,2.127490593,1.792262706,2.011398627,1.903684969,1.90101643,1.723839628,2.323897766,1.327250621,1.315799507,2.203586384,2.004554026,1.512978079,2.190097437,1.960663815,1.741429783,1.553907992,0.818076465,1.758215356,1.829831791,0.728630604,1.691659685,1.269540598,1.996317068,1.221296044,1.623770858,2.066733135,1.638259969,1.816854366,1.854023845,1.455404363,1.871667536,1.754429333,1.766390684,1.548390625,1.816756962,1.280218625,1.236514857,0.962726983,1.759992692,1.976921346,1.650771089,1.808707725,1.934734839,2.098935839,1.454421827,1.676132683
Arnt2,0.486260749,0.291093451,0.386959494,0.297588938,0.318161785,0,0.471052831,0.306927325,0,1.011440677,0,0,0,0.505942409,0.532601424,0,0.549832276,0,0.029993698,0,0.57369562,0.726636707,0,0,0,0.14465475,0.093954607,0.37679193,0.828218413,0,0.69379444,0.61377318,0,0.054015467,0,0.238793525,0.494879897,1.349893445,0,0,0.56088251,1.263970793,0.121949776,0.270321375,0.959309304,0,0.682087158,0.899674422,0.943264321,0,0.504694221,0.265567903,0.572684001,0.67473801,0.071451287,0.074260712,1.058011488,0.199937682,0,0.733557574,0.322792977,0,0,0.247081828,0.316257894,0.08709821,0,0,0.131415314,0,0.078145114,0.577599951,0.836075122,0.905570256,0,0.972809162,0,0,0.365716761,1.269409711,1.165453679,0.970514902,0,0,0.528859318,0.836527536,0,0,0.766205572,0
Arntl,1.057020156,0.841692277,0.641184553,0.312417377,0.791071348,0.752356525,0.824301501,1.105954354,0.701063365,1.003166839,1.396459362,0.449381608,0.695447121,1.365688517,0.768457998,0.556389365,0.597684341,1.09145844,1.18369086,1.03461602,0.805506153,0.9554303,0.996658366,0.945832654,0.467721832,0.733455394,0.541387525,1.184390156,0.75473127,0.982724405,0.531669666,0.775964269,1.004452302,0.910445869,0.785002074,0.657925533,0.802530088,0.780883237,0.497878442,1.133768063,0.850076922,0.844644521,1.290212943,0.552318633,0.834715166,1.232945638,1.162060893,0.861417798,0.817673495,0.749203958,0.593562209,0.972965578,0.37747832,1.225597779,1.137870487,1.219359934,0.995602499,0.22725954,1.194791888,0.726120178,0.603061273,0.513525843,0.60467068,0.800281567,0.751763491,0.876185043,0.430414186,0.84922084,0.654008407,0.920950148,0.236563883,0.710412481,0.425110189,1.111080281,0.719424523,0.906144468,0.515222671,0.755697053,1.136229464,1.020425022,0.31686183,0.593300074,0.816833763,1.024736165,1.255634715,0.817855729,1.115175423,0.71900858,1.226673827,1.186789593
Ash2l,2.644864829,2.82160826,1.333212493,2.220904117,2.667905299,2.576053854,2.143727533,2.413059666,3.231427435,2.471949645,1.604778649,2.167361823,1.820138846,2.505355047,2.111866898,1.992210912,2.516380611,2.210543395,2.349192929,2.667010381,2.853517401,1.905912418,1.899798318,2.305538125,3.558174938,1.848839914,2.21863824,3.064575185,2.249283752,2.322653739,1.541342178,2.48798841,2.324467825,2.290689717,2.370069977,1.887849141,2.586923381,2.945220988,2.730540711,2.162148507,2.94884658,2.594304819,2.289731195,2.803250349,2.704260616,2.523618638,3.042849578,2.399277271,2.723236022,2.104372992,3.44202768,1.628403201,3.179725616,2.385226419,2.127268292,2.650909679,2.139408644,3.892736903,2.201177276,2.963847737,1.981950738,3.666192682,2.215297213,1.505839261,3.016134411,1.369967099,2.098300909,2.593430938,3.056914488,2.942294199,1.980687888,2.814548613,1.955879875,2.220481146,3.047672178,2.494379111,2.631304271,2.551175749,2.477904477,2.463448052,3.067633383,1.632710637,2.706256609,1.618218872,3.460297113,2.63587755,2.096390594,2.302175538,3.047315165,2.56797222
Asns,4.438559317,4.439412239,4.941819329,3.748013048,4.768110114,3.946311135,4.606961923,4.968488265,4.301325056,3.788735566,4.152387003,3.903834502,3.919010672,5.217608517,4.699109298,4.120947995,4.847173134,4.170280802,5.058021662,4.295859865,4.511857103,3.21108422,4.125544379,3.925300911,4.877613645,4.043676323,4.643688163,4.677692758,4.578217074,3.75383631,5.026054549,3.591165846,4.081928956,4.348580079,4.725547635,4.709919251,4.514069199,4.491553619,5.300292414,3.330364944,3.707397974,4.77256145,5.263871436,4.524466544,4.844113237,3.50186705,4.254807143,5.061721954,4.995375997,4.558209926,4.262630519,5.177240312,4.168028986,3.502984723,4.594673735,4.486213284,5.470768276,4.229889419,4.274469019,4.167313573,5.069797015,4.195185366,3.448590973,3.38477486,3.599114139,4.17399311,4.302348961,4.843194731,3.273109042,5.006737986,4.005816902,4.31444619,4.234351114,3.792806572,5.291700908,2.513242387,4.67046814,4.928502932,4.522669643,4.603171516,5.04778808,4.072860636,4.504683843,4.730943322,4.58730476,4.730425644,3.280455805,4.08934598,4.523085708,3.500011755
Asxl1,1.27220424,1.168435871,2.384485303,1.40571811,1.734226731,2.306028886,0.9908677,0.629954513,1.670622402,1.629995829,0.929362982,1.492166047,1.658762112,1.084050317,1.431899019,1.975239993,1.886230989,1.674097337,1.82617434,1.79927043,0.489186696,0.849383855,0.955876432,1.810090409,2.450923042,1.914889218,1.749821124,1.576336803,1.229712508,0.942108517,0.27897199,0.950713483,1.882455067,1.778600953,1.903301626,1.909460278,2.062849513,1.901655621,1.584284347,1.76390645,1.844589683,1.688619548,1.989978601,2.215431567,1.954065692,0.802770283,2.215354176,0.97382941,2.115249838,2.119791578,2.535947893,2.393682951,0.23575957,2.345817565,0.682967216,0.660534812,2.137255352,2.742395775,1.723026297,1.361679313,1.474887866,2.627371897,2.623233605,1.728084839,1.248112651,0.916112789,1.142575346,0.861231699,1.112871682,0.783570758,1.98931825,1.837457667,2.193056782,2.092808972,1.286164499,1.561401813,1.673396474,1.42237013,1.273857109,1.707868823,1.862585845,1.051505259,1.602519406,1.776902286,2.190030558,0.943146035,1.620186517,1.839561061,1.783258168,1.594202476
