X,RamDA_mESC_12h_A04,RamDA_mESC_12h_A05,RamDA_mESC_12h_A06,RamDA_mESC_12h_A08,RamDA_mESC_12h_A09,RamDA_mESC_12h_A12,RamDA_mESC_12h_B02,RamDA_mESC_12h_B05,RamDA_mESC_12h_B06,RamDA_mESC_12h_B07,RamDA_mESC_12h_B08,RamDA_mESC_12h_B09,RamDA_mESC_12h_B10,RamDA_mESC_12h_B11,RamDA_mESC_12h_B12,RamDA_mESC_12h_C02,RamDA_mESC_12h_C03,RamDA_mESC_12h_C04,RamDA_mESC_12h_C05,RamDA_mESC_12h_C07,RamDA_mESC_12h_C09,RamDA_mESC_12h_C10,RamDA_mESC_12h_C11,RamDA_mESC_12h_C12,RamDA_mESC_12h_D02,RamDA_mESC_12h_D04,RamDA_mESC_12h_D05,RamDA_mESC_12h_D07,RamDA_mESC_12h_D08,RamDA_mESC_12h_D09,RamDA_mESC_12h_D10,RamDA_mESC_12h_D11,RamDA_mESC_12h_D12,RamDA_mESC_12h_E01,RamDA_mESC_12h_E02,RamDA_mESC_12h_E05,RamDA_mESC_12h_E07,RamDA_mESC_12h_E08,RamDA_mESC_12h_E09,RamDA_mESC_12h_E10,RamDA_mESC_12h_E11,RamDA_mESC_12h_E12,RamDA_mESC_12h_F01,RamDA_mESC_12h_F02,RamDA_mESC_12h_F03,RamDA_mESC_12h_F06,RamDA_mESC_12h_F07,RamDA_mESC_12h_F10,RamDA_mESC_12h_F11,RamDA_mESC_12h_F12,RamDA_mESC_12h_G01,RamDA_mESC_12h_G03,RamDA_mESC_12h_G05,RamDA_mESC_12h_G06,RamDA_mESC_12h_G07,RamDA_mESC_12h_G08,RamDA_mESC_12h_G09,RamDA_mESC_12h_G12,RamDA_mESC_12h_H01,RamDA_mESC_12h_H02,RamDA_mESC_12h_H05,RamDA_mESC_12h_H06,RamDA_mESC_12h_H07,RamDA_mESC_12h_H08,RamDA_mESC_12h_H09,RamDA_mESC_12h_H10,RamDA_mESC_12h_H11,RamDA_mESC_12h_H12
Apbb1,0.391965394,0.254242299,0.58149288,1.254154491,0.909805717,0.542750215,0.720641797,1.036303079,0.251354583,1.371838287,0.87649669,1.197486588,1.237424757,0.342392686,0.583005578,0.514767399,0.450790347,0.270945992,0.843469923,1.421371536,0.679590951,0.758987953,0.989151816,0.864020566,0.632650628,0.536540357,0.765412656,0.473857589,0.938216052,1.371141873,0.664757609,0.33992478,0.881777106,0.375492905,0.820034417,1.286263088,0.477021555,0.551773916,0.679347515,1.24244695,0.280208854,0.578812562,0.827219586,0.692780662,0.794548394,0.698543067,0.262024954,0.721622532,1.322880924,1.023784432,1.618739039,0.810596757,0.945065672,0.802723661,1.23125711,0.962531442,0.818819612,0.57531591,1.175044147,1.028010807,0.725288848,1.396031726,0.760007821,0.619493141,0.897917644,0.423479958,0.337114607,0.061150237
Apex1,3.124072384,3.535983405,3.377193095,2.558492512,2.692508071,2.745447939,2.904032902,3.30784375,3.356412006,2.944445524,2.849674973,3.390093481,3.823255222,3.341978429,3.636009367,3.014395347,3.26120147,3.522753786,3.242378184,2.683710774,3.356519783,3.086936942,3.396298569,3.32318585,3.286678602,3.572075538,3.313711162,2.506850946,2.62125369,3.542782989,2.969261521,3.295279303,3.242930503,2.904680254,2.403751681,3.138673151,3.349846596,3.06457175,3.041185864,3.239533861,3.069999663,2.957909367,3.136119474,3.951045718,3.228439852,2.909618805,3.198386114,2.584939822,2.546042512,3.115797161,3.420234944,3.014267605,3.116944714,3.592709694,3.124507121,3.505342969,2.979199595,2.889291517,3.324931057,3.064576904,2.599180394,2.690223969,3.410663553,2.989421029,3.438982291,3.311982283,3.123746341,3.049733235
Apoe,3.853196895,4.678141525,3.596741254,5.083829939,4.762092606,3.015353216,4.559301623,5.811895765,3.587396814,5.514167561,5.490456351,4.750755668,5.212245512,4.623568238,5.377758427,5.598726285,3.197982816,5.065937946,4.354124673,4.582492395,4.954462737,4.658746876,4.321597248,4.826194575,4.437488147,4.79435384,4.253764621,4.716831739,3.866455088,4.721045554,4.707939203,4.377938549,4.899437028,4.671896392,5.838938565,5.145024408,5.199428877,4.889252558,5.327760104,4.288976437,5.180704868,3.768356535,4.393977991,5.068063012,5.434617952,4.018114257,5.631920236,3.911266187,4.933020901,4.29524959,4.812913359,3.945184945,3.773325499,3.925268504,4.84586287,5.119898723,4.326822305,3.44365855,4.365637999,4.830747115,4.583345726,4.620000408,5.295204384,4.781817933,5.140445324,5.236407807,5.066377194,4.468733738
App,0.362782628,0,0.182049903,0.120772877,0,0,0.271157002,0.208699281,0,0,0,0.378592583,0.191315435,0.351455804,0,0.223302024,3.37E-05,0.098241594,0.449345109,0.130683801,0.087373392,0.205384977,0.101642234,0.308048256,0,0.075736534,0,0.341968934,0,0,0,0.180288886,0.410210369,0.125160421,0,0.1378026,5.22E-05,0.059693008,0.254943951,0.046225518,0.180371268,0.119765407,0.272654992,0.358394736,0,1.14E-05,0.150321444,0.063563594,0,0.228319618,0.310020639,0,0.261030356,1.32E-05,0,0,0.121137268,6.78E-06,0,8.13E-06,0.104197653,0.39691952,0,0.204896828,6.59E-05,0,0.399386459,0
Arid1a,2.069110923,2.038557507,2.28865169,2.039744463,2.200820981,2.001001498,1.616731435,1.501744232,2.208425811,1.385597275,2.567344397,2.49175604,2.409418045,2.423126079,2.353667127,2.276987659,2.288659538,2.414445445,2.101530616,1.964334676,2.727982863,2.538771886,2.402456833,1.948654627,2.492802753,2.187006775,2.437129382,2.330031168,1.884055958,2.12573342,2.067581504,2.004602483,2.665352737,1.504917091,2.128595738,2.34161617,2.178361329,2.254677605,2.165038834,2.28142828,1.980965971,2.393583169,2.393788018,2.16453572,2.367534596,2.359147673,2.126432629,2.839035035,2.320907324,2.526196799,2.155741266,2.137942875,1.906431993,1.663812114,2.443248255,2.209882752,1.909353879,2.506880951,2.435591616,2.074229055,2.595028817,2.491759354,2.780424239,2.225696096,2.164751502,2.228510662,2.06816315,2.203237207
Arid5b,1.531457153,1.104200932,1.986627011,1.858722555,1.423761328,1.566471453,1.476548226,1.526674258,1.556861043,1.151712495,1.490721043,1.731322855,2.098692087,1.436104167,1.596168125,1.476764458,1.43484338,1.807500575,0.998183981,1.430326922,1.417319631,1.718316905,1.853853403,1.294277076,1.873689966,1.231275679,2.201415061,1.338863473,1.689746615,1.716032471,1.671644147,1.709540211,2.147621419,1.358083604,1.534363725,1.653624764,1.728515232,1.266798503,1.310494048,1.934241215,1.57841263,1.400811674,1.805014399,1.657723768,1.542930918,1.410727083,2.173753642,1.7767181,1.409978794,1.606593642,1.060424651,1.522535228,1.793985662,1.082341053,1.803807381,1.703610673,1.506638392,2.004399954,1.151992215,1.130565971,1.654670884,1.316793554,1.033658917,1.421949985,0.775119233,1.168415217,1.445928884,1.120111835
Arnt2,0,0.81592665,0.186671069,0.693230877,2.132523676,0.34636827,0.241200743,1.050285159,0,1.450436875,0,0.440911593,0.798690548,0.434658378,0.602833218,0.01337484,0,1.40825352,0.929309749,0.323335039,0.943342097,0,0.774214673,0.732981031,0,0.619125787,1.888016852,0.44976189,0.457941553,0.562020566,0.807492181,0.03072237,1.114238031,0.124629348,0.388086466,0.669381121,0.165342361,0.212712062,1.089777361,0.366202481,0.963485058,0.498272785,0.196573301,0.07511984,0.948133749,0.156408518,0.584573456,0.373385484,0.442081352,0.819928977,0.665971472,0.763606362,0.006806728,0.171502771,0.753257788,0.277279155,0.760580705,0,0.315657764,0.206137262,0.211128121,0.108691799,0.976000978,0.207398761,0.346571458,0.526516636,0.156757395,0.06683463
Arntl,0.329316335,0.492919431,0.328599848,0.75090729,0.505546006,0.384173814,0.585675932,0.468313073,0.630684416,0.741415059,0.876820831,0.621381208,0.639421231,0.842761882,0.787293103,0.990538367,0.29505512,0.460743648,0.262580314,0.242012455,0.608391942,0.437590891,1.048344608,0.748756404,0.36342168,0.718299313,0.649952279,0.704919375,0.90372001,0.444816185,0.190504975,0.828275341,0.802104656,0.24280348,0.291745612,0.563120426,0.299827132,0.63370274,0.50800043,0.548182211,0.472097526,0.406907384,0.423989708,0.729877783,0.743094845,0,0.354816756,0.491599327,0.108700388,0.875935766,0.529397925,0.436893816,0.452249225,0.312649459,0.664420893,0.357617673,0.384552856,0.540659152,0.644855733,0.435700691,0.304024095,0.31711959,0.898366461,0.30236907,0.399930175,0.371435318,0.606627794,0.713158082
Ash2l,3.730273744,2.880946089,3.069823606,2.751583625,3.375086558,3.412522289,2.017565244,2.752707736,2.500615195,3.143131457,2.180757509,3.231136677,3.466259421,1.742326317,1.823917941,2.432729636,3.099095924,2.799589173,3.465076674,1.835783215,2.777429688,3.072710937,3.156974975,3.123114972,2.769206958,2.309108186,2.76297553,3.717248081,2.978183446,3.073737641,2.381156357,2.80780723,2.510159865,3.219025507,2.912899103,2.083323546,2.462455189,3.131476884,2.794591219,3.53510084,3.432190697,3.221307473,3.304606237,3.064845807,3.025178872,2.724036111,2.774895378,2.675621802,2.152095417,3.212428206,2.645238626,2.041420787,2.116229637,2.179956573,2.78033712,3.00518879,2.787146696,3.696261722,3.339965739,3.183268612,3.234744919,2.704778596,3.458742489,1.87735985,3.168334327,2.67762742,3.362830427,3.276287265
Asns,4.619276094,5.028962846,4.410444341,4.444757768,4.295368058,4.742589845,5.236992412,5.006889961,4.643300455,4.928730684,5.117898589,4.657691434,4.661694037,5.215382796,4.895891351,4.494707962,4.42777444,4.730611305,4.254059769,3.907525263,4.905035358,5.231282931,4.074919767,4.481392528,4.405959646,4.641713437,4.679392092,5.396078432,4.778672958,4.977749534,4.09047862,5.134231914,5.426768007,5.000040374,4.846442472,4.553693559,4.953133293,5.104970259,5.128257352,4.663029155,5.477296345,4.405209704,4.154667243,4.427703846,4.753513144,4.3511625,4.220999565,4.782523496,4.084833594,4.437399473,4.924175403,4.096853462,4.096748345,4.995961461,5.449871659,4.870677298,4.070548645,5.347300587,3.926273702,4.027849038,5.971043611,5.251135863,4.41260469,4.402639712,4.383072081,4.053231739,4.849298562,4.350164841
Asxl1,1.892193319,2.500801912,2.738917212,1.938021821,1.884645297,1.226491369,1.616112597,1.196257,2.388264495,2.479808632,1.737531733,2.090792779,2.231923643,1.765122601,1.895630555,1.074432743,2.2233745,1.839163385,1.260142623,0.437918672,1.923445278,1.666916935,1.998926849,2.213679462,1.106638716,2.450952872,1.758106269,1.483413623,2.298123819,1.494252227,2.47916958,1.121856997,1.02143491,1.621314144,1.374160281,0.63857169,2.004121288,1.869043596,0.816876734,1.847993665,1.951767226,2.451475192,2.41590882,1.426740986,1.637663931,2.025693285,1.950377691,1.48286729,1.446651107,1.346531016,1.283379371,2.219848966,1.80252794,1.808486206,2.313028391,1.307419204,0.482012026,2.510618845,1.608799777,1.585653254,2.857732053,1.343065981,2.011635144,1.717338733,0.631292268,0.821424193,1.987182587,1.590539496
Atf1,3.891869583,3.730747725,3.831317826,3.023027228,3.092047911,3.028458289,2.868796851,2.812424147,3.314164312,3.509161898,2.477428241,3.015012997,3.430236795,3.141515117,3.647466496,2.782023251,3.667873496,2.948641747,3.076591269,2.832297403,3.131926904,3.267408375,2.763230363,3.08700659,2.714473811,2.950759214,3.532093536,3.217057125,2.97260652,3.27757657,3.102290935,2.758353078,2.710797755,3.593672181,3.378807541,2.755747736,2.801360368,3.457520062,3.249043967,3.576904743,3.543730239,3.234376914,3.322508906,3.390034798,3.589507409,3.387285628,3.603007353,3.374137169,3.052659842,2.909706721,3.411972196,3.403268028,3.483169815,2.948889213,3.2218801,3.071351402,2.882782754,3.589540182,3.221924356,3.5910787,3.638047278,2.620408916,3.63411735,3.110628512,3.090099288,3.250713284,3.29425515,3.353473445
Atf2,2.387856514,2.318022086,2.08099049,2.448454219,2.282243362,2.117398723,2.462739312,1.804972046,1.897807904,2.194787517,2.510527151,2.565456603,2.966803897,1.975469415,2.162468116,1.928433075,2.280719216,1.909317491,2.239038001,2.083861025,2.11749893,2.251760197,1.942770988,2.384103332,2.187795599,2.150126381,2.122174909,2.604859299,1.938276081,1.833961444,2.552748877,2.135540844,2.568862916,2.047344423,1.790299962,2.493656693,2.627225199,2.174193593,1.896286927,2.796505046,2.528654202,2.162461057,2.282202787,2.093382668,2.517907381,2.451021244,2.138595347,2.616493762,2.079672797,3.32401075,2.356907711,2.56484299,2.557596099,2.214579658,3.02026428,2.271095679,2.534096741,3.080975595,2.058903848,2.031215211,2.126141035,2.064110356,2.18595467,2.200191679,2.179752421,2.287453906,2.627865318,1.861957129
Atf3,0,0,0,0,0,0,0,0,0,0.125269721,0,0,0,0,0,0,0.33826817,0.055310386,0,0,0.060753491,0,0,0,0.106271594,0,0.276541875,0.259144443,0,0,0,0,0.273977347,0,0,0.519096333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076264012,0,0,0,0,0,0,0,0,0,0.248676896,0,0,0
Atf4,1.593526229,2.293603686,2.432952761,3.148948544,2.498459728,1.890278419,1.590227936,2.108517091,2.094143545,2.593716988,1.826748062,2.596846036,2.803145199,2.618743877,2.380208613,1.460102846,2.069858916,2.193144164,2.519575394,1.560644457,2.767412719,1.274540029,1.981282666,2.450758499,2.297905968,1.624300118,2.18794204,2.138157005,2.313459543,2.452716927,2.085288739,1.654169926,2.790106589,2.923490465,2.575729918,2.98867963,2.11363467,2.031156162,2.44806864,2.141238742,2.300333739,1.847448116,2.349491188,2.399533787,1.747017001,2.499026784,2.985347436,2.05949255,1.954577062,2.657477788,2.485949822,2.25599928,2.238863149,2.150623901,2.664032216,1.944425964,2.411221406,2.371895408,2.14331949,2.134726155,1.748295204,1.585789271,2.357290801,2.836771826,2.791306766,1.75786053,1.561521345,1.961723049
Atf5,0.336120338,0.140652366,0.4296987,1.16973809,0.132507753,0.731294701,0.262275016,0.233299103,0.202156636,0.112259945,0.396308733,0.363379423,0.255487989,0.575058789,0.258851291,0.372836266,0.741755187,0.156042461,0.271058213,0.213929837,0.296003175,0.099213083,0.063234631,0.356813352,0.211283432,0.021005807,0.371496807,0.254326517,0.080009236,0.177866214,0.479569997,0.298191658,0.510040351,0.447291159,0.41944001,0.325338982,0.447718844,0.149030354,0.400569168,0.670920848,0.461836323,0.593094623,0.317611681,0.375380914,0.096406527,0.165693922,0.60738928,0.301582321,0.828040133,0.430986254,0.233559471,0.327888304,0.189207103,0.265151229,0.137884907,0.322643575,0.523297775,1.707010558,0.4366588,0.255868486,0.254995356,0.499143426,0.141272702,0.484784779,0.158903111,0.153567439,0.343425702,0.407756936
Atf6,0.518114807,0.964989841,0.855489601,1.197913242,0.732902765,0.623130742,0.268419351,0.628540169,0.452679058,0.686741447,0.630927113,0.800309765,1.647111068,1.167569828,1.523313462,0.832525516,0.257532382,0.768977946,0.919797247,0.660564426,0.874175619,0.752913192,0.383448632,0.770227706,0.723428726,0.689297015,0.906763923,0.846644964,0.96039775,0.562992198,0.832005423,0.810971278,0.838947095,0.494677856,0.593115577,0.995148677,0.143973077,0.987954099,0.995613633,0.980796853,0.694507949,0.817015815,0.997925143,3.60E-09,1.115349472,0.67381203,0.553166954,0.815360325,0.70484595,1.022625701,0.826026811,0.917984061,0.853033199,0.935371835,0.916615751,0.446497726,0.964610449,1.047963743,1.056831531,1.015640933,0.864826819,0.04562218,0.929714023,0.81833292,0.472483025,0.805811667,0.542197867,0.322632005
Atf7,0.680238682,0.991581713,1.88032047,1.560005869,1.02706375,0.795856379,1.255854445,1.369902631,1.654914407,1.946278579,1.839721373,1.476848802,0.611651939,1.35182074,1.47405839,1.382467952,1.143676059,1.194564055,0.615932922,1.14934617,2.049615884,1.515287511,1.734771723,1.457828019,1.589920433,1.061042438,1.414355878,1.225824108,0.945897414,1.61710968,1.535763767,1.096411564,1.727945578,1.454960532,0.93784903,1.970152178,1.159584246,0.816267271,1.1226867,1.151338182,0.749643784,1.775585596,1.094782682,1.150446946,0.773192732,1.458347604,0.718115493,1.200341037,1.527963242,1.256902508,1.193324906,0.634248584,1.293583564,1.147391494,1.643646509,1.482545693,1.233261282,1.523958698,1.11517259,1.063235486,2.081278471,1.185278705,1.791588016,2.008192786,1.050295061,0.832246012,1.029225112,1.337470113
Atm,1.524943054,1.876044585,1.321899929,2.553928402,2.250488062,1.05177278,1.363647406,2.067788946,1.840247586,2.238262924,1.747468378,1.874190965,1.514035552,1.235487922,2.012835613,2.061029511,2.807106028,2.296927688,1.199835566,1.09028715,1.277856413,1.636052132,2.324202521,2.164338699,1.483402254,2.498596828,2.029075116,1.082895679,2.350185031,1.987687681,2.063836109,1.552894069,1.769333485,1.431528174,1.862562765,1.16136669,2.399804465,1.497174739,0.981868064,1.542320732,1.750005299,1.681080966,2.470035439,1.792172084,1.181134047,1.937229561,2.556622674,1.435908463,1.22388141,2.66357535,1.815138919,1.571067736,2.077956347,0.974744407,2.631845665,1.995322067,0.891588195,1.936283448,2.147519896,1.852624077,1.618094883,1.88117766,1.350003977,2.036671894,1.439620175,1.343041578,1.65937077,2.014127838
