X,RamDA_mESC_00h_A04,RamDA_mESC_00h_A05,RamDA_mESC_00h_A06,RamDA_mESC_00h_A07,RamDA_mESC_00h_A08,RamDA_mESC_00h_A09,RamDA_mESC_00h_A12,RamDA_mESC_00h_B01,RamDA_mESC_00h_B02,RamDA_mESC_00h_B03,RamDA_mESC_00h_B04,RamDA_mESC_00h_B05,RamDA_mESC_00h_B06,RamDA_mESC_00h_B07,RamDA_mESC_00h_B08,RamDA_mESC_00h_B09,RamDA_mESC_00h_B10,RamDA_mESC_00h_B11,RamDA_mESC_00h_B12,RamDA_mESC_00h_C01,RamDA_mESC_00h_C02,RamDA_mESC_00h_C03,RamDA_mESC_00h_C04,RamDA_mESC_00h_C05,RamDA_mESC_00h_C06,RamDA_mESC_00h_C07,RamDA_mESC_00h_C08,RamDA_mESC_00h_C09,RamDA_mESC_00h_C10,RamDA_mESC_00h_C11,RamDA_mESC_00h_D01,RamDA_mESC_00h_D02,RamDA_mESC_00h_D03,RamDA_mESC_00h_D04,RamDA_mESC_00h_D05,RamDA_mESC_00h_D06,RamDA_mESC_00h_D07,RamDA_mESC_00h_D08,RamDA_mESC_00h_D09,RamDA_mESC_00h_D10,RamDA_mESC_00h_D11,RamDA_mESC_00h_D12,RamDA_mESC_00h_E01,RamDA_mESC_00h_E02,RamDA_mESC_00h_E03,RamDA_mESC_00h_E04,RamDA_mESC_00h_E05,RamDA_mESC_00h_E06,RamDA_mESC_00h_E07,RamDA_mESC_00h_E08,RamDA_mESC_00h_E09,RamDA_mESC_00h_E10,RamDA_mESC_00h_E11,RamDA_mESC_00h_E12,RamDA_mESC_00h_F01,RamDA_mESC_00h_F02,RamDA_mESC_00h_F03,RamDA_mESC_00h_F04,RamDA_mESC_00h_F05,RamDA_mESC_00h_F06,RamDA_mESC_00h_F07,RamDA_mESC_00h_F08,RamDA_mESC_00h_F09,RamDA_mESC_00h_F10,RamDA_mESC_00h_F11,RamDA_mESC_00h_F12,RamDA_mESC_00h_G01,RamDA_mESC_00h_G02,RamDA_mESC_00h_G03,RamDA_mESC_00h_G04,RamDA_mESC_00h_G05,RamDA_mESC_00h_G06,RamDA_mESC_00h_G07,RamDA_mESC_00h_G08,RamDA_mESC_00h_G09,RamDA_mESC_00h_G10,RamDA_mESC_00h_G11,RamDA_mESC_00h_G12,RamDA_mESC_00h_H01,RamDA_mESC_00h_H02,RamDA_mESC_00h_H03,RamDA_mESC_00h_H04,RamDA_mESC_00h_H05,RamDA_mESC_00h_H06,RamDA_mESC_00h_H07,RamDA_mESC_00h_H08,RamDA_mESC_00h_H09,RamDA_mESC_00h_H10,RamDA_mESC_00h_H11,RamDA_mESC_00h_H12
Apbb1,0.307389582,1.308371992,0.654719023,0.598155076,0.878915086,0.59038311,1.321683863,0,0.761085405,0.220261264,0.563247632,0.475207853,0.803066969,0.780710518,0.092433444,0.350197562,0.844853197,0.431935582,1.15095894,0.292198975,0.273775618,0.80818488,0.616053924,0.888368558,0.244181421,0.389023833,0.350196782,1.045002431,0.267974178,0.182539569,0.216292859,0.737378059,0.643705381,0.378415579,0.649243548,0.605679767,0.733704291,0.325512834,0.210170236,0.674168927,0.458402095,0.923080154,0.175690367,0.166084362,0.388729113,0.478670041,0.933504288,0.828460423,0.733693642,0.698494964,0.872625123,0.226653512,0,0.64768329,0.429112114,0.548098384,0.301133894,0.726059151,0.229453283,0.701638971,1.29108849,0.600400736,0.200952681,0.515433127,0.77947372,0.665600937,0.473355652,0.7456615,0.299077734,0.547042005,1.031424088,0.408897679,0.473076103,0.658951078,0.264068806,0.233580561,0.653362219,0.325797946,0.357384249,0.503165193,0.244566198,0.587761013,0.597903009,0.342159469,0.199842742,0.655014305,0.444597714,0.36944618,0.311937104,0.825097287
Apex1,3.482268662,3.31446161,2.68002092,2.969434956,3.224506995,3.256638633,3.051440267,2.831996601,3.196664866,3.015416239,3.079237811,2.729414286,3.289956914,2.44292666,3.734140618,3.02502754,2.794942025,3.929675815,2.807245111,2.906629021,3.458674381,3.791383369,2.48307638,2.627483831,2.709680312,3.314088494,3.374226901,2.7821938,3.150520234,3.052107933,2.662368996,2.903056095,3.582364119,3.345330319,3.481042411,3.577393484,3.208129896,3.031399356,3.169874203,3.397131196,2.988922271,3.423567751,2.885250671,2.760367334,2.83230233,3.325383245,3.286188824,3.171191664,3.552822115,3.31299448,3.059316002,3.537614379,3.160130614,2.829475355,3.076527326,2.820167707,3.361010191,2.709481037,3.351971725,3.51343648,2.952918213,3.466786133,2.739674443,3.261936427,3.305187031,3.102591468,2.628207081,2.91530597,3.366054163,3.322004734,2.877559266,3.081090858,2.686964966,3.406061719,3.216602619,3.256535785,3.116393217,2.628072682,3.054267051,3.477192207,2.553912619,3.209086411,3.073459346,2.887416184,3.189456408,3.467366522,2.86898138,3.225095126,3.844706042,3.139173443
Apoe,3.916318726,5.067157337,4.306427446,5.205020365,5.606265267,4.546951511,4.694742105,4.741751917,4.172819554,3.032252258,3.590806026,4.446024337,4.741849213,5.471186029,5.402871286,4.776811875,5.169883175,4.058129718,4.333950083,4.592927291,3.719301358,5.082902525,4.931184097,4.188483822,3.938817873,6.088185432,4.646033965,3.653153087,3.730947212,3.078837412,4.663806627,3.503169791,4.690423785,5.335083928,4.033454799,4.122765647,5.376373996,5.336469965,4.059034463,5.584866023,3.458729675,4.218428846,3.941263282,3.763300766,4.518800813,3.970987617,5.105043554,4.773350919,3.563485749,4.153189112,5.254892337,4.361601352,4.210799679,4.31814251,4.137948445,4.231355291,4.556184958,3.267448008,4.372096416,5.782312709,4.673950892,3.096804384,4.693049073,4.787186422,5.31964206,3.131194278,4.605022707,2.201245203,4.127504945,5.466454151,4.820009757,4.670324178,3.417337359,3.581037456,5.295044323,4.775677904,5.432713031,3.501972365,4.789388377,3.998225509,5.076626364,4.332933421,5.238364371,3.822827929,4.485704307,4.004120925,5.115902797,4.218358771,4.278160959,3.737187257
App,0.087190679,8.92E-06,0,0,0,0.173892855,0,0.045425356,0.054400013,0.054904957,0.179261543,6.78E-05,0,0,0.492517781,0,0.247682612,5.65E-05,0.065302274,4.96E-05,4.84E-07,0.344122096,0.27311478,0.438644032,0,0,0.165857643,0.073822288,0.119561921,0.194917788,0.078097956,0.106249195,0,0.070362229,0.099124255,0.318061976,0.227256521,0.096181885,0.224289143,0.173457672,0.000137399,0,0,0,0.13726911,0,0,0.043018792,0,0.204785525,0,0,4.55E-05,0.039225101,0.126316919,0.146033221,0,0,0.294054318,0.12080523,0.220095357,0,8.13E-06,0,0.757541542,0,0.098113035,2.54E-05,0,0.293106679,0.4894876,0.344443509,0,0.197874541,0,3.59E-05,0.679007429,9.38E-05,0,0.09324759,8.28E-05,0,0,1.73E-05,0.13821907,0.164392399,7.20E-05,0,0.201759615,0.416071657
Arid1a,2.535206515,2.56651459,2.385719464,2.650071846,2.451125665,3.076935543,1.935309168,2.235368297,2.630146907,2.533432498,2.768151128,2.636427669,2.560966393,2.431449603,2.19271457,2.400428093,2.543759993,2.786470238,2.810135787,2.343766743,2.547356039,2.777306593,2.548721031,2.643556621,2.387778559,1.972613955,2.718783663,2.687844154,2.631895459,2.83041277,2.133875956,2.261812766,2.766467539,2.472506567,2.766388709,3.331702874,2.645776997,2.946823924,2.599111858,3.040341603,3.187739383,2.291635124,2.097476841,2.540685779,2.971342268,2.702195889,2.534359259,3.001223816,2.576149844,2.612943555,2.670224889,2.118728448,2.725633485,2.444617187,2.795867654,2.796560615,2.724275541,2.355945397,2.640411405,3.146524831,2.932278553,2.626486493,2.771180359,2.405907106,2.640760273,2.604194055,1.93630305,2.484070978,2.566830864,2.73571066,2.309334654,2.826108942,2.558060434,3.089106938,2.871754253,2.665839984,2.850380775,3.387292088,2.281675699,2.558564093,2.3395822,2.502757625,2.277386394,2.882380035,2.170246871,2.467927079,2.04787568,2.695383417,2.975086743,2.81115582
Arid5b,2.013143811,2.103505758,1.908004036,1.455907961,1.764346435,2.260074617,1.18739346,1.078037423,1.645791252,1.038435876,1.678864273,1.351216091,1.910683673,1.388104591,2.080589051,1.007932742,1.8590578,1.588894816,1.558452544,1.47701207,1.518085093,1.604599933,1.059924978,1.300039917,1.888105241,1.654512743,1.313509537,1.416602535,1.397560554,1.519664811,2.060962707,1.498477209,0.991763988,1.688913265,1.455858957,1.954225814,1.755225446,1.487596346,1.34893568,1.887882223,1.700918473,2.093860539,1.991380715,1.502289436,1.679750685,1.606068927,1.690622374,1.199989251,1.306879822,1.410751731,1.535669477,1.133999387,1.662399578,1.096773854,1.976650014,1.352201663,1.503914367,1.429488449,1.300490694,1.774693345,1.813642526,1.20893863,1.626933635,1.846214353,1.836027476,2.112381123,1.61561475,1.074384948,1.6126456,1.610162265,1.857712434,1.520046813,1.398496158,1.949302631,1.834897585,1.879467544,2.085048601,1.978269749,1.204047828,1.243735707,0.959590708,1.199004256,1.963093342,1.396417103,1.481084863,1.533845036,1.114348651,1.325499182,1.451523712,1.568312531
Arnt2,1.06500249,0.401996012,1.085039272,0,0,0.145326704,0,0,0.812083141,0,1.227338913,0.099863439,0.787097208,0.196490312,0.64466186,0.269767392,0.192120293,0,0,0.202637266,0.166991427,0.061927004,0,0.270302783,0,0,0.243626525,0.701446461,0,0.893611672,0,0.587387926,0.259396721,0,0.186213946,0.34417634,0.589507141,1.564372238,0.36668555,0.66670125,0.622638971,0.669988838,0.466311207,0.059077424,0.472813212,0.470491881,0,0.271353111,0.961193564,0.760054945,0,0,0.573861901,1.577144506,0.674914199,0.096381301,0,0.506878319,0.907752042,0,0.456435289,0,0,0.150294075,0,0.697757193,0.085474233,0.914470713,0.735309147,0.695772244,0.630483403,1.397328298,0.433954603,1.298283599,0.290685645,0,0.140944261,0.1368278,0,0,0,0.143893956,0.631651246,0.261892731,0.170342972,1.103006601,0,0.132616044,0.160970098,0.850806159
Arntl,0.525530153,0.062469696,0.433548599,0,0.42288871,0.346093857,0.329994374,0.385350894,0.345363536,0.067907732,0.484173826,0.126097504,0.243854773,0.338066911,0.298768441,0.252439861,0.342651247,0.431480063,0.444505433,0.441918382,0.216825203,0.647566139,0.197478813,0.350267691,0.158310971,0,0.337625239,0.414684234,0.136493179,0.646183847,0.197871327,0.491630931,0.279101685,0.753281393,0.179471342,0.560893811,0.342695446,0.413002351,0.192110537,0.39725568,0.327450948,0.54054252,0.41162857,0.103360171,0.387193975,0.440240433,0.352914524,0.213118668,0.749742676,0.209111693,0.673662111,0.543795445,0.200831231,0.258062318,0.42051686,0.232765746,0.329361403,0.031306067,0.294852303,0.230806553,0.445758831,0.180409774,0.242650699,0.22558919,0.350520706,0.171831684,0.106108266,0.422762507,0.401969366,0.150919193,0.370847788,0.59784619,0.595038782,0.525528098,0.384231465,0.124997209,0.344087297,0.458901076,0.380418627,0.417059423,0.067483391,0.224746521,0.470125676,0.442729951,0.338699413,0.41377869,0,0,0.423241562,0.683985
Ash2l,3.659370263,3.333691562,3.674052591,2.900571453,2.962820854,3.868394869,2.169497228,3.135672429,3.086343434,2.896273885,2.708242735,3.733699674,2.93425036,2.948102493,2.946139735,3.254695343,3.317176967,3.09178416,3.627745904,2.627156485,1.583041741,3.635104796,2.880097275,3.325735362,3.443690256,2.584566855,3.016845845,2.913673824,3.228408189,2.954371047,3.206825253,2.271262877,3.278246027,3.278209328,3.257839923,3.112063856,2.718567553,3.07242565,3.190785176,3.084229079,3.383062707,3.582331215,3.520876147,2.59552313,2.903309362,2.867613664,3.397193169,3.138567946,2.470457174,3.073419321,3.438981203,3.500514924,2.854556305,2.608853368,2.918223872,3.427088609,3.40124234,2.859028795,2.669090052,3.34222935,3.232959059,2.590731067,2.611417311,3.336541394,2.632422416,3.519943518,3.651002729,3.075828697,2.814508428,2.827497873,3.45710469,3.015789304,2.658015179,2.907448239,2.803044206,3.7191361,3.337133732,2.147146259,3.748949442,3.478636664,3.649005244,2.374937375,2.993527923,3.235268762,2.882906338,3.220776026,2.987391743,3.173176205,3.634066626,3.724719006
Asns,5.047339326,4.480457257,4.108617661,2.940242011,5.036970055,5.078113892,3.835149169,3.29816815,4.768747447,4.205468322,4.348138674,3.995512411,3.695499272,4.199108244,3.813150437,4.271222662,4.300538646,3.409064502,5.532898492,4.639082687,3.729984889,4.408264444,3.745407149,4.572479825,4.696972388,3.68426537,4.281399302,4.197735868,3.622836703,4.229875997,4.78417367,3.731222132,3.265634952,4.444829773,4.588687004,4.506625854,3.446762028,4.242926977,3.392548436,4.569180142,4.289326018,3.567169857,4.810631151,4.344723116,4.08748437,4.339696206,3.676180752,4.382781556,3.613525053,3.266500007,4.586361938,4.00304423,4.666070199,3.492535359,3.918156579,4.296721274,4.372886862,4.66079243,3.487109353,4.418741068,5.357460941,4.264936954,4.165154963,4.633999563,4.150847344,4.716541092,3.792723539,4.827441068,4.428511985,4.812483362,4.206290961,3.288169295,4.103608762,4.588885214,4.600075603,4.593223275,4.779964231,4.58427853,2.951626524,4.393726573,4.699729198,4.327512896,3.773005599,4.267144066,3.538343706,3.330670122,4.591182534,4.196086185,4.838046058,4.434175986
Asxl1,2.244946693,2.578081173,2.534688805,1.81116348,1.250858877,2.468290921,1.116059123,2.509602296,2.066719424,1.54508506,2.003098404,1.626053939,1.548853789,1.583995059,1.830820162,0.934498029,1.699902758,1.402101484,2.16509482,1.641552165,1.822339721,1.390951869,2.370646864,1.281403035,1.963764643,1.458606773,2.398793963,1.799364462,2.067889774,1.777238587,1.917217666,1.660172827,1.234304564,2.763154637,1.287228588,2.408298979,1.848108729,2.348537034,1.999570752,2.005722602,1.562313044,2.457171932,0.879322231,2.007779098,1.910604147,1.831774807,2.120071163,1.76728637,1.863812015,1.561678306,1.783404352,0.641495038,1.891541847,2.157829382,1.649174214,2.803853967,2.212321777,2.051929042,2.291073871,2.246905783,1.941957586,2.07368431,1.296103088,2.03797106,1.297761489,1.830921903,1.87935328,1.80528553,2.261189057,1.367565362,1.467224494,1.632651942,2.14698471,2.373642121,1.967017837,1.937926358,1.80287156,2.231297357,2.640650422,1.960747404,2.392717771,2.253773849,2.066483685,2.496682483,1.953699614,2.565159765,1.972663445,1.297135539,1.200550716,2.239108029
