X,H9_00hb4s_001,H9_00hb4s_002,H9_00hb4s_003,H9_00hb4s_004,H9_00hb4s_005,H9_00hb4s_006,H9_00hb4s_007,H9_00hb4s_008,H9_00hb4s_009,H9_00hb4s_010,H9_00hb4s_011,H9_00hb4s_012,H9_00hb4s_013,H9_00hb4s_015,H9_00hb4s_016,H9_00hb4s_017,H9_00hb4s_018,H9_00hb4s_019,H9_00hb4s_020,H9_00hb4s_021,H9_00hb4s_022,H9_00hb4s_023,H9_00hb4s_024,H9_00hb4s_025,H9_00hb4s_026,H9_00hb4s_027,H9_00hb4s_028,H9_00hb4s_029,H9_00hb4s_030,H9_00hb4s_031,H9_00hb4s_032,H9_00hb4s_033,H9_00hb4s_034,H9_00hb4s_035,H9_00hb4s_036,H9_00hb4s_037,H9_00hb4s_038,H9_00hb4s_039,H9_00hb4s_040,H9_00hb4s_041,H9_00hb4s_043,H9_00hb4s_044,H9_00hb4s_045,H9_00hb4s_046,H9_00hb4s_047,H9_00hb4s_048,H9_00hb4s_050,H9_00hb4s_051,H9_00hb4s_052,H9_00hb4s_053,H9_00hb4s_054,H9_00hb4s_055,H9_00hb4s_056,H9_00hb4s_057,H9_00hb4s_058,H9_00hb4s_059,H9_00hb4s_060,H9_00hb4s_061,H9_00hb4s_062,H9_00hb4s_063,H9_00hb4s_064,H9_00hb4s_065,H9_00hb4s_066,H9_00hb4s_067,H9_00hb4s_068,H9_00hb4s_069,H9_00hb4s_070,H9_00hb4s_071,H9_00hb4s_072,H9_00hb4s_073,H9_00hb4s_074,H9_00hb4s_075,H9_00hb4s_076,H9_00hb4s_077,H9_00hb4s_078,H9_00hb4s_079,H9_00hb4s_080,H9_00hb4s_081,H9_00hb4s_082,H9_00hb4s_083,H9_00hb4s_084,H9_00hb4s_085,H9_00hb4s_086,H9_00hb4s_087,H9_00hb4s_088,H9_00hb4s_089,H9_00hb4s_090,H9_00hb4s_091,H9_00hb4s_092,H9_00hb4s_094,H9_00hb4s_095,H9_00hb4s_096
AGPAT5,6.486243456,6.117179746,7.858812179,7.278785692,6.253219342,8.908795951,7.84711282,6.341690822,7.851828542,6.192161712,6.683719156,8.035713633,8.186210305,7.97482809,7.195029915,2.340407358,8.022874939,3.164195021,6.475094393,5.271642817,8.814222758,7.900972764,8.72985295,9.266826832,6.994132832,6.913195258,8.26315155,3.568892616,9.305593958,7.57207599,5.681423069,8.311211396,7.72453609,6.072476968,8.907130059,7.679607701,7.115800852,7.012690209,6.746821768,6.034982811,4.054656053,6.358215902,4.650430256,7.365960519,6.693928723,9.029289097,6.914442786,4.302157714,3.536264265,5.230921923,7.469376044,6.99030747,6.661778866,5.617248147,5.254475173,1.408289121,4.664561836,7.276037606,6.194589685,5.49897081,5.987800578,6.169596455,0.857393029,2.335669128,7.147357994,6.701655029,7.732280303,8.116239443,5.96164083,5.81496253,6.346885904,6.268511575,6.623207251,1.388920709,2.975605831,7.917297747,5.853448268,5.662216738,1.0902242,5.688681736,6.278594209,5.296879066,6.998356601,5.091759659,8.644083076,6.825530944,5.279261958,6.064565847,8.420136553,7.261836231,3.130180376,5.219855832
AIP,4.348657417,0,0,4.442569424,4.296248981,3.55683625,1.746935414,3.765441618,0,5.043069636,4.852540952,5.732174314,2.463958316,4.049491197,0,5.292998431,2.423866253,6.139691317,4.120968252,3.67110713,3.099107822,2.153652877,0,0.792379018,1.147985079,4.380986543,5.920099091,3.782147123,6.792158094,3.146246104,5.236289258,4.851624862,0,5.056424111,5.180991099,0,4.800620728,5.453429867,0,0,0,5.650710644,0,0,0,0,0,0,0,4.146551303,4.846663134,6.757684437,0,1.15999369,0,0,0,0.905341466,0,0,0,0,6.34632554,0,0,0,4.332722315,0,0,4.065169485,3.765667673,0,4.22817388,0,0,4.137350858,4.330779559,0,0,0,4.416565449,3.990856135,4.779474907,5.120059636,0,0,3.626475279,4.266301175,0,5.706860937,1.842032705,0
AK4,10.62994176,10.48570351,9.642305977,10.21828781,10.1107884,10.12804695,9.170227183,9.110275957,10.42679214,10.00268108,9.849735198,10.1304153,11.08907106,10.39595286,9.889145343,10.70883445,9.923692722,10.02713651,9.890523294,9.332366836,9.775557487,10.25541016,10.60821955,11.23036023,9.678224536,10.47497717,10.15863193,9.903250786,9.623574286,10.43538058,10.10738817,10.20358475,10.26104608,10.02361507,10.77652186,10.28297144,9.385023711,10.30654224,9.676673943,10.43675823,10.3234931,10.04044878,10.4530009,8.466154543,9.177971403,10.74991221,10.94297076,8.117145205,10.6972039,9.687017994,9.946126685,10.61453361,9.526483993,9.837468232,9.196991252,11.06640314,11.18324304,8.919013202,10.33665825,10.68925092,10.36618438,10.51818222,10.62038995,8.713205682,9.729998268,10.32003739,9.857232457,10.27780623,9.484368162,10.32731063,10.45508431,10.21575416,10.10457325,9.228177966,11.20188299,10.29035009,10.39818914,8.981652505,10.5833767,9.494666668,11.03856639,10.33901175,10.07401593,10.30777844,10.91762518,9.034419578,10.99609681,10.52653318,10.45110584,10.27563859,9.234599148,9.501506755
AKAP2,3.671499321,5.917815257,6.03599893,1.199450967,3.318788678,1.577928429,5.478787195,3.035535649,3.554487143,2.851266119,5.498800002,2.651148447,7.681985355,7.589507082,5.796309598,6.348307359,2.830356741,2.763886728,0,5.306294405,2.595962998,7.136539582,3.905118016,6.37462124,6.87975883,8.274500524,0,0,0,6.561578462,5.09354275,3.138208979,8.882505135,7.080436908,4.220221493,8.038956201,6.636941986,5.671111003,0,7.716355847,6.762736476,6.265076256,7.001291206,8.604394782,3.189115853,4.901851352,2.732973461,8.930329389,0,7.734826884,5.915941155,4.506030795,6.246017822,4.192502168,0,1.408289121,3.234513846,7.519278014,7.050029285,5.756678376,4.655562233,0.891353198,7.803631595,6.99478156,7.37966636,5.601850776,7.355586379,5.499849798,5.471789252,5.770796912,5.870197441,7.420091132,3.303168593,3.901306184,3.123410862,7.636805879,3.344343186,4.497151205,1.0902242,7.94149641,5.811142827,5.296879066,7.822737123,2.679043706,3.879600272,3.381375907,7.286519829,6.740830155,5.553343935,3.619749178,6.741346589,6.135412897
ALCAM,2.898788862,1.783833812,1.323498161,0,0,0,5.538338282,1.485362208,2.970923942,0,0.748688556,1.575615713,6.974678877,4.119128803,6.123530222,5.292998431,3.282757491,6.063491115,1.993389886,5.727488822,4.71312518,7.985088223,0,0,7.450336773,4.173336713,6.68072446,4.849727103,7.649468133,4.750419652,4.317535108,0,0,0,6.221528681,0,0,5.232999222,5.883503759,1.563984253,5.259617082,0,0,0,3.189115853,6.608011456,5.258459163,4.261705612,0,0,3.40286266,0.766142432,2.757342771,4.750920227,5.101288135,0,4.086015624,5.466395258,0.849504211,3.61549305,6.155197417,7.964515944,4.412377567,6.987065354,3.091157525,3.447501851,5.788135003,4.29262552,6.754225564,5.689888243,7.041527756,7.012075317,6.487166478,0.827459997,0,0.942697477,5.07132216,1.659138176,4.164791753,0,0,7.100332493,4.872297189,7.464669543,0.753558485,0.703140185,4.566852821,5.706591449,0.926884427,4.30898988,6.850409425,5.274450434
ALG6,7.473416556,8.696094968,8.574361604,5.922198766,6.459760883,6.15971198,6.175222922,6.419439546,7.4345177,6.445273617,9.366648572,8.382575127,7.532000003,7.008346107,5.760897419,6.692431319,7.619119504,8.150232509,7.95699944,2.946287633,6.001668461,9.864763472,8.611071047,0,9.120899869,6.112084321,7.57993722,7.234681034,2.639192733,7.697292601,6.122146193,7.539728777,2.230522649,7.531867006,7.054262886,8.504717225,7.234330236,7.874743442,8.374173102,6.326358472,8.125672919,2.027643358,5.414533544,1.086055075,3.720363605,6.797398704,2.732973461,2.819826475,2.314881339,7.095656888,6.047097802,7.980465916,0,7.480225262,1.190186617,1.408289121,3.234513846,8.066882171,6.739421094,7.611728278,7.752949412,8.80774332,7.110485279,7.632755798,1.65493251,6.51057711,6.258083628,6.398654713,7.123085477,5.280193891,9.276209475,8.060402721,7.246063938,0,8.321315924,9.595696696,8.224460665,7.686755512,7.239994364,0,8.77725267,6.596617951,5.193363573,8.057920542,1.904497483,8.328663342,6.975600421,7.439721295,7.905741768,6.627482649,7.998135686,6.64506669
ALPK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALYREF,4.023642542,4.416952349,4.557093465,3.803766993,3.415339327,4.209337711,3.862905368,4.608712843,4.491746867,3.840031698,4.325344143,4.844424531,4.897128455,4.676148435,3.558247048,4.66600307,3.282757491,4.360982153,4.120968252,3.467468288,4.221934004,4.837753465,4.43325565,4.734302229,3.423354182,3.627810474,5.023585779,4.664212026,5.273745369,4.128650306,4.69252153,5.234027344,5.952686606,3.519541473,4.159605219,3.346281455,4.371863964,4.366295095,4.997839385,4.429299419,3.618181116,3.032199524,4.030811645,5.019789473,4.268372015,4.208261018,4.3365713,4.261705612,4.635395943,4.229214472,3.941627018,4.89381674,2.487794479,3.630252236,5.302124432,5.055600522,4.222292326,3.520529493,4.551681172,3.61549305,4.302927984,5.028209348,5.948039949,5.013207863,0,5.196681568,4.6091522,4.667217223,4.683042555,4.065169485,4.314832791,3.787389131,0,6.045768391,4.954227407,3.592806844,4.461750722,4.351466554,4.923902728,4.377912271,4.343415623,3.783508618,3.339928425,4.160958623,4.994638425,4.355395591,2.258047436,3.767984803,4.249696988,4.670606522,5.000981458,4.706978233
AMIGO2,0,0,0,0,0,0,0,0,4.874734286,0,0,4.378946257,0,0,0,5.40794592,0,1.291638426,0,0,0,0,0,0,0,0.961113618,0,0,2.048898026,0,0,0,0,0,0,0.726846001,4.491576406,0,0,0,0,3.941211416,0,0,0,0,0,5.795636363,1.217362539,0,6.330725965,0,1.724475191,0,0,0,0.880652751,6.290192442,0,0,5.671544701,0,0,0,0,6.881800395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645432366,0,0,0,0,0,0,0,0,0,0
AMN1,6.964354596,0,5.090001802,0,0.75756574,0.742454593,0,4.897143279,0,0.916895228,1.239110495,1.214384602,0,0,2.515050454,0,2.423866253,0,0,6.516271422,1.816789046,1.446131746,0.795661158,0,0,0,1.116153992,2.163279736,2.639192733,0,0,0,2.230522649,0.904837082,0.821216795,0.726846001,6.318633411,5.453429867,0,0.984294981,1.45170396,0,5.035046427,7.143290679,0,6.663160557,0,0,2.65554642,0,6.61070009,0,0,0,0,1.408289121,7.571918239,0,0,0,5.580321091,1.438202512,1.780429548,0,0,0,0,1.190685809,2.235607694,0,5.810510112,0,0,0,0,0,0,6.195786831,0,0,0,0,0.935501266,0.744625321,0,5.588065219,0,0,0.926884427,7.243854898,0,0
ANGPT2,2.274880283,3.750750165,0,0,1.984013395,5.543834208,0,2.302385145,2.038256293,2.078477724,1.664503095,4.53129415,2.157486502,4.123879827,0.805582071,0.921573706,0,2.159662024,2.946517207,3.651989028,4.392804506,1.704625001,1.456290111,2.783394152,2.490816228,3.76273832,3.785145841,0,2.945727869,2.314367474,2.144337398,0,1.878707196,2.996147261,1.462675823,2.354312935,0.771941599,2.373957326,1.654115969,2.472308468,2.013208973,2.435872616,3.461835718,1.18199813,2.321742087,1.42226164,3.229894729,4.886874636,1.365694114,3.382821471,2.598525232,1.37330065,1.783613751,1.936271468,2.677276634,0,1.414456073,0.632251726,0,0.658932167,2.612117118,2.339378854,1.294578425,0.777641923,2.132513745,1.35934551,2.622910498,1.698027932,2.3415887,1.976426511,0.45434628,0,0,0.795626007,1.014371519,2.295659421,1.922091477,1.128988124,1.172019579,1.837086202,1.822688053,1.655214495,1.553172072,1.551905631,2.769099658,0.784295618,2.258047436,1.901698612,1.261113826,3.530923208,2.558853588,5.856868683
ANKMY2,5.291342425,3.810593953,0,5.117262295,0,2.513778546,0,5.277886818,6.681288065,5.417455686,4.465204395,1.864269612,8.082108765,7.461370522,0,1.392747401,0,0,6.057401,0,6.598016286,0,0,0,0,4.781922921,8.347027591,0,0,0,6.666961938,0,0,0,0,0,6.218075746,0,0,0,4.558207652,5.03560723,3.706761489,0,0,7.050017056,4.813092332,0,0,0,0.969161905,0,0,6.808781521,0,0,0,7.680952271,0,4.453202203,6.516780935,0,0,0,2.40549391,6.095587388,0,0,0,5.4300621,0,0,0,0,5.536972427,5.440203521,7.603482588,0,0,0,7.223482661,5.97094713,7.217559515,4.508800599,1.612512236,0,0,6.591375257,0,0,6.158766898,0
ANKRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD13C,1.743456268,5.917815257,7.441392618,5.364299272,4.940041323,1.594099263,5.674532006,6.116390452,0,0,0,8.370941228,0.645849687,6.822529257,5.813694974,0.858292372,2.167633184,0,1.316642429,3.67110713,7.01871293,0,1.305530156,0,1.147985079,0,1.116153992,0,0,6.487750423,0,3.953610517,0,8.200224916,5.180991099,8.226212165,3.179651483,0,5.734213433,0,6.7370331,0,7.818264603,2.070507232,4.544202583,0,2.46430119,5.299570935,6.071690227,6.569822559,0,6.881082848,2.487794479,5.883242783,1.190186617,3.336029364,6.567118687,0,7.39045577,2.893822829,4.302927984,1.833799066,7.070354576,0,6.884171862,0,1.045373105,2.072630848,3.611004677,7.044511517,6.202385366,6.478103372,0,1.3499974,1.440592886,2.229118752,7.403773773,0,0,0,1.094439164,1.645432366,6.136564297,7.717617608,0.753558485,7.292483713,0,7.092834177,6.619367597,4.773469781,5.058071878,6.368660738
ANKRD26,6.767268099,5.265491949,6.486402405,5.922198766,0.75756574,5.608348329,3.535819831,3.321837627,0,6.290205998,0.748688556,4.332425693,0.645849687,4.929746974,1.231112245,2.90749253,0,0,8.049204687,6.46269386,6.162752739,5.939385765,8.944164358,8.098080376,7.03470511,1.53287753,1.116153992,4.107422292,0,5.63493101,0,5.239998253,0,2.640157758,0,4.730404183,6.147101789,7.130893215,6.181435723,0,0.901227697,1.609560402,0,0,5.878685949,4.266405893,4.253564464,8.535393959,5.147938502,6.748607037,6.128347336,7.992424429,0,1.15999369,1.190186617,9.320848998,5.84199695,0.522551843,4.501490293,4.824644834,4.742286685,0,0,5.013207863,4.907498415,0,5.25687863,1.551063851,6.17094663,2.70709034,5.615954075,6.282541953,6.861962065,2.035002122,1.440592886,5.13415497,3.614577141,4.9642088,1.0902242,1.975282926,5.244670113,5.514019214,6.173513108,2.823719113,1.246038544,2.433651828,8.41578098,7.028692096,4.762019785,5.979813918,7.262560828,7.310029873
ANKRD28,6.866200623,5.382782559,6.30677434,4.158239544,5.034270216,1.23022747,6.090952215,4.711398224,7.04378691,7.337502709,3.93409745,4.467715424,1.429739998,6.34427068,6.634679894,7.621190344,5.2355356,6.457521241,0,7.839578446,5.182750788,1.446131746,7.768632491,7.044559424,0,0,4.799953278,1.730986234,2.048898026,1.362160021,3.018313224,0,1.509199147,0.904837082,7.624431931,7.766930446,6.700441913,0,5.238619996,2.558691678,1.45170396,6.121971681,6.989268401,0,8.297627192,1.713966386,8.399322269,5.058495372,1.8680644,0,3.265935947,3.001291027,0,6.080369503,1.190186617,7.851354763,0,4.171788175,6.782092636,4.399250705,6.588528147,5.363607853,0,0,6.210795538,5.116531582,3.078490346,6.738977346,5.945273514,8.19303099,4.476680737,7.821807708,6.33694918,2.284748538,5.51008912,5.666597916,5.374898414,6.966949353,0,0.793282775,4.26038773,0,0.935501266,7.784344444,5.084294635,7.127198334,2.258047436,6.269775617,6.09987255,7.36410426,3.130180376,6.041953329
