X,H9_24h_013,H9_24h_014,H9_24h_015,H9_24h_016,H9_24h_017,H9_24h_018,H9_24h_019,H9_24h_020,H9_24h_021,H9_24h_022,H9_24h_023,H9_24h_024,H9_24h_025,H9_24h_026,H9_24h_027,H9_24h_028,H9_24h_029,H9_24h_030,H9_24h_031,H9_24h_032,H9_24h_033,H9_24h_034,H9_24h_035,H9_24h_036,H9_24h_037,H9_24h_038,H9_24h_039,H9_24h_040,H9_24h_041,H9_24h_042,H9_24h_043,H9_24h_044,H9_24h_045,H9_24h_046,H9_24h_047,H9_24h_048,H9_24h_049,H9_24h_050,H9_24h_051,H9_24h_052,H9_24h_053,H9_24h_054,H9_24h_055,H9_24h_056,H9_24h_057,H9_24h_058,H9_24h_059,H9_24h_060,H9_24h_061,H9_24h_062,H9_24h_063,H9_24h_064,H9_24h_065,H9_24h_066,H9_24h_067,H9_24h_068,H9_24h_069,H9_24h_070,H9_24h_071,H9_24h_072,H9_24h_073,H9_24h_074,H9_24h_075,H9_24h_076,H9_24h_077,H9_24h_078
AGPAT5,7.137724458,8.175331023,7.501240758,7.190156936,8.941876944,7.017381306,7.51940756,4.901812683,7.679596638,9.024644452,6.640077989,7.016619183,7.374060854,3.59026509,6.738620332,8.475774778,9.359403558,8.720806545,4.44710575,1.797770922,7.386101832,7.188191369,7.980577551,7.312178256,8.182444739,5.813372335,7.664991338,7.612853798,3.97094762,8.077216509,5.389370235,7.39457032,7.383201366,7.792092078,7.213535735,7.968810464,8.863205562,7.447543514,7.248760644,6.991831798,7.186417698,4.851683302,6.310055855,6.659743555,8.707095808,6.725405989,4.441164175,6.958443432,5.113644643,3.866034378,5.785280958,8.905818918,8.88138898,0,7.236434531,8.298474091,8.116152828,6.895853808,8.120977871,7.09498189,6.653154357,6.609516711,5.598078437,6.619773233,5.760552875,5.502756019
AIP,0,0,4.791428874,1.123755766,3.420635305,0,0.986248122,4.819097414,0,0,0,0,3.623731639,4.742532802,0,4.399230935,0,3.378311537,0,0,0,0,0,0,2.839818314,0,0,0,0,2.296009312,5.604617037,0,0,3.407300661,4.154353975,0,4.010032738,4.890820194,0,1.623630283,0,2.36471717,4.250947995,0,0,0,0,0,6.078079107,0,0,3.172724366,4.285390992,0,0,0,0,0,0,4.561841937,0,0,0,4.729715755,6.40940921,0
AK4,4.263537456,8.187363046,8.73678611,3.92121003,6.120766071,7.573012947,5.259590176,6.126661571,7.567766237,5.273659342,7.851482334,7.2016912,5.676726571,6.751314582,7.739332883,8.970440495,7.065737266,7.857708162,7.367342065,8.432031981,7.190959372,8.000283242,6.701970249,6.97594571,3.452498934,7.864333584,3.280071538,5.384809744,8.335181759,2.045715389,6.95794778,5.734294948,6.681865843,4.143957249,8.021898867,9.061145567,4.313940037,7.13382184,3.5597348,7.356652421,7.788125212,2.666356042,4.327016707,7.73188228,6.653417671,6.055491422,8.305264074,6.461402307,9.141764149,10.50136046,4.081201589,7.817377708,8.10625751,5.121504764,8.921348221,1.87497378,7.910257163,7.730452556,5.925074328,7.653452591,2.215866998,8.057378157,1.630396106,3.402568568,6.638195821,9.156856144
AKAP2,7.874795485,0,2.664146254,3.804310527,5.248393051,0,0,2.071553912,5.808696202,1.543893283,0,0,0.96071141,0,0,0,0,0,6.004093186,1.162476288,6.478552677,1.190124312,4.966305171,0,0,2.493493302,0,5.354227754,0,7.702391895,4.710284281,0,0,2.307900071,0,0,0,0.82765821,1.136919471,0,0.779147916,3.659160249,0,0,5.447175188,0,0,0,0,0,6.416329981,0.849397268,0,0,0,7.363977561,0,0,3.638127904,0,3.844709461,0.821240702,0,8.214276721,5.658680615,4.173544658
ALCAM,0.792991764,5.302808381,1.223194084,5.088132607,2.214295979,0,7.527101158,0,0,6.698222765,1.760296891,0,2.518874229,0.941368455,2.066598836,1.062735244,0.994349702,4.994623865,0,0,2.834345291,6.052414277,3.471434691,4.657596849,2.028445192,4.537961583,6.695567838,0,0,0,2.200648895,1.291809057,5.753096613,1.548184745,4.370717467,1.710913048,0,5.420602599,0,0,0,5.666932668,0,1.245698313,3.633132912,2.91666072,0,7.391804115,0,2.840749002,0,1.767758215,3.273784989,0,6.934670788,0,0,7.424522286,6.011067034,0,5.650066289,7.277180943,0,6.445823787,2.656572143,5.432752718
ALG6,6.793110004,0,1.223194084,0,1.495835988,0,6.211138158,0,0,0,8.151462236,0,3.250419625,0,5.407921488,0,0.581198095,3.178859083,6.932633644,1.162476288,0,0,0.783121386,0,0,8.255053141,8.510708349,0,4.679740988,3.141097398,0.535662391,0,7.57779613,5.37205629,5.051935865,0,2.256380766,8.067739504,4.41851801,0.760290405,6.27844052,6.782661434,0.599720979,8.189233101,0.678424673,0,0,0,0.75375575,0,0.84504359,0,0,1.015649869,8.603501261,0,8.641811739,0.688994117,6.432258322,2.08106896,0,0,0.714551015,0,0,1.391129196
ALPK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794538618,0,0,0,0,0,0.833655107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.748446593,0,0,0,5.459471851,0,5.562230841,0,0,0,0,6.896595235,0,0,0,0,0,0,0,0
ALYREF,3.968392759,5.302808381,6.523694258,6.228640541,5.501227827,5.735456864,4.366009398,6.651243521,5.11356023,4.984263456,4.589816837,4.676586933,4.447442095,3.59026509,5.91952167,7.281903301,4.796438029,4.039181192,4.755744886,6.031163125,4.888348261,6.563247446,5.580605388,6.08409732,5.093590903,5.062630808,5.402002679,3.743413166,5.926351178,3.996694986,4.377313475,5.85382612,6.01735873,5.860456317,3.852539879,5.267375127,5.277208756,3.739642306,4.712445766,6.163092208,4.240537588,3.217391016,5.770935763,3.661787341,4.868804787,3.817820388,5.384069512,5.052306487,5.923562221,0,5.961543795,6.285844823,4.929986617,5.887586013,5.264854738,5.261203319,5.389412769,6.068524248,5.657686587,6.409583711,5.464004215,4.538589153,4.899357412,5.636684554,5.411372937,6.509893303
AMIGO2,0.792991764,3.239608452,1.223194084,1.747718472,6.651172012,0.892981304,6.248848289,8.56605489,3.23568587,7.179699997,1.373946352,0,6.225140175,6.185613151,0,6.142743742,2.897082635,1.881782931,7.181929958,0,6.708268481,1.190124312,6.998529594,6.115004092,5.931994165,3.07214662,4.543191793,0,7.164907198,7.796760957,7.447484319,5.376907265,7.285148278,0,5.418757646,0,7.757163797,2.035345414,1.764778869,0,5.335798899,6.677947828,0.599720979,7.41267197,4.293674301,0,6.248899278,2.953076155,6.852891665,2.353119791,0.84504359,2.890249049,8.658052924,5.007433661,4.246048616,6.639726079,6.61122122,3.163187644,5.18556336,5.313770917,0,2.024213105,7.555846476,5.702269522,6.316430804,3.424523531
AMN1,0,0,0,0,6.533259991,0,0.575809162,0,6.35682964,0,6.911498846,5.559757962,0,0,0,0,0,5.908732429,5.196888507,0,1.897402353,0,0,0,0,0,0,2.847300929,0,0,1.699568436,0,0,0,2.651253302,0,0,6.350133417,0,0,0,0,0,0,0,0,0,0,8.012994713,0,0,0,0.869249172,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,3.540805793,0,0,1.816947597,0,0.54024069,1.62282543,7.344002545,0,0.045345182,1.43041996,1.267476304,3.100913379,2.049069528,4.092700228,2.426890106,0,1.457040765,2.0843557,0,1.522921988,1.933494409,0,0.800635135,1.582109406,0,0,1.038021482,0,0,0.781881806,2.102655894,1.94034515,2.419362515,0.579758697,0.649311809,0,1.380641056,2.756110777,1.329153899,1.68061258,0.68238414,0.455338937,1.369544483,1.325951703,4.765739123,1.856118172,0.491987209,2.004435169,3.677353926,1.918063072,0.881144162,1.220129693,0,0,0,0,1.52879633,0.704673392,0,0.651816368,1.732825923,0,3.369536579,1.725880317,1.237426179
ANKMY2,0,4.16114236,0,0,6.963228095,0,0.986248122,0,0.720428743,0.71246462,0,0,0,0,6.442879619,0,5.558772088,0.740992779,6.784862686,0,0,1.190124312,0.783121386,0,0,0,0,3.743413166,0,0,0,0,0,0,2.124776122,0,0,2.683385446,0,0,6.304816799,6.253653345,3.684228456,4.897143329,5.256416643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.863495095,6.848895887,0,0,0.913968847,0
ANKRD1,3.057734142,0.954847907,2.323050297,4.751730229,2.214295979,6.065868294,5.039285757,2.071553912,0,0,4.636728042,0,2.258542305,8.706186401,1.644311481,4.115476293,7.247788438,0,1.691510582,5.623460418,0,3.647949511,6.24732762,5.290981032,5.216683049,3.07214662,0,3.644760383,1.863498198,7.225130572,0,0,0,3.120676657,0,1.710913048,0,3.566477897,0,3.221255114,5.223040161,4.185469967,5.251335518,2.535969754,4.105222518,0,1.197856814,3.205450684,1.700732514,0,4.966251538,2.725138263,1.108518111,0,4.726011995,1.87497378,1.269851135,2.401934489,3.911964312,6.877918787,0,0,0,0,3.298983559,3.005813493
ANKRD13C,0,1.524440125,8.629540793,5.451001837,5.293953408,8.122419702,3.063105656,0,0.720428743,6.498316985,3.504188928,5.311871307,6.276233858,1.506245367,1.04473905,6.496475583,2.845240512,7.890608382,1.990324268,0,0,0,0.783121386,4.925092847,0,0,4.907352698,0.91473152,2.650254191,6.059709385,5.449981207,0,0,3.649263217,6.653956606,0,2.256380766,3.566477897,0,0,0,0,0,0,2.678865512,2.91666072,4.912395653,0,3.582414808,9.201209747,0.84504359,1.380450224,1.108518111,5.996538671,0,5.083413826,0.956734126,0,1.623821462,0,2.215866998,0,0.714551015,1.376186086,5.323630816,0
ANKRD26,7.334973806,3.821429998,6.26817095,0,3.151836019,7.992512703,6.798967555,8.590238992,0,4.957530298,7.279872386,0,0.96071141,4.278503585,2.066598836,0,6.756965796,4.096920739,3.68852188,7.649121489,5.411515269,4.92977456,0,3.18265231,4.101663489,0,4.543191793,6.074112794,0.910448543,0,5.493824762,3.653838468,0,0,0,5.409209291,3.624538528,3.566477897,1.136919471,0,0,8.08049094,1.348385607,4.234756506,6.117790733,3.817820388,1.556296749,2.660301716,1.612838509,8.173175156,1.374420804,0.849397268,7.488958069,7.340141063,0,3.928755375,0,0,3.138672995,3.418678181,6.922495431,0,1.190263953,3.941323356,7.07165007,0.623816586
ANKRD28,0,7.127944366,0,0,4.912860818,9.727453414,7.970358174,2.071553912,6.477083749,6.359351256,7.204025953,0.802942988,6.798518266,6.923515754,6.672203997,0,0,0,5.953249483,1.162476288,7.964019674,3.119413317,3.15855524,0.794538618,0,5.619605123,5.059912166,4.638125495,0,0,0.535662391,4.018604049,0.711712588,0,0,2.140948472,6.929474252,0,1.136919471,0,3.638985751,1.987195251,1.022081485,7.226794016,0,6.812066603,0,0,5.822228295,8.550532914,0,0,0,0,2.457809079,0,0.956734126,2.832199561,7.176435559,7.256130232,8.15182564,6.293874626,3.866771107,3.941323356,6.878098296,3.963987307
ANKRD50,0,1.524440125,0,3.383093538,1.776960383,0,7.786204978,6.424416264,4.749902391,0,0.844701216,0,4.24634107,2.705335108,0,0,4.076808542,3.378311537,3.918672354,7.086799553,5.605696319,6.675320971,0.783121386,0,4.16495293,0,0,0,0,0,3.320795326,5.967049161,0,1.548184745,3.803766694,6.291034369,5.751966842,6.363770782,3.698118926,0,5.361156068,6.432659779,8.834895519,1.245698313,6.890892795,6.191021641,0.719834582,6.039237335,3.095577451,2.840749002,0,2.890249049,2.159862151,0,1.320738411,5.764446751,6.151734752,0,0.604522811,2.08106896,0,6.305252305,9.391151589,3.941323356,4.290472993,6.434209948
ANKRD6,0,0,0,0,0,0,8.022834797,0,0,4.042617091,0,0,3.612614074,0,0,1.062735244,6.019407861,0,0,0,0,0,4.083418607,0,0,0,0,2.4609419,0,0,0.932217896,6.264245648,0,0,0,1.715914368,0,0,0,0,3.378874502,4.185469967,8.359342319,0,3.266279639,3.817820388,2.287460204,5.437177401,0.759614774,11.12407458,0,0.849397268,0,7.300806941,7.445524565,0,6.941945559,0,2.752930001,0,0,0,6.507269668,2.564403043,5.795194506,0.74051609
ANKZF1,4.157954641,0,0,0,1.495835988,0,0,0,3.33161962,0,0,0,0,5.40652649,0,1.062735244,0,1.881782931,0,4.941196174,0,0,0,1.303953219,0,6.772891266,0,2.439913252,1.464281192,0,0,6.226234622,1.542625192,3.40904422,0,0,4.313940037,2.995162367,0,0.760290405,2.195531862,0.671683737,0,4.757840843,0,0,3.020933281,3.710907203,1.904852802,0,0,0,1.108518111,4.644584016,1.320738411,0,2.387941619,5.551883003,0.604522811,0,3.577346632,0,0,6.688348085,0,0
ANXA3,8.766428351,5.464840184,7.690042453,8.884641005,5.828372002,6.009407939,5.102443908,1.379452322,3.421569948,0.71246462,3.779709839,8.208887682,3.925433695,6.90302611,0,0,0,5.458278161,8.969390806,6.714612292,7.625429517,5.893833803,8.671249324,0,0.823677927,8.46214275,5.827506903,6.995328523,6.292918322,5.606261231,0.535662391,0,0,0.715011636,5.369335574,4.385064786,6.327978059,6.455784886,0,6.902618644,9.339078694,6.865690426,1.022081485,6.190267434,2.379271324,2.91666072,8.131862383,0,8.446010688,0,8.695105635,0,0.658207148,0,2.805655073,0,0,0.688994117,7.83900457,0,8.263179781,0.821240702,8.251818203,1.376186086,4.91548846,7.580545739
APBB1,1.677166089,0,0,0,3.049822614,0.892981304,0,0,0.720428743,0,0,0,0,0,0,0,0,0.740992779,3.414555631,5.299786995,4.820392474,0,5.644369786,0,0,0,0,1.470113255,0,0,0,0,0,0,4.874374666,0,2.256380766,0,0,0.760290405,1.654596393,3.39051572,0,0,0.678424673,0,0,0,0,0,0.84504359,0,5.373941107,2.333787822,0,0,0,0,1.029241905,0,0,0,0.714551015,0,0.913968847,0
APBB2,1.880313134,1.663411518,6.787463465,3.319764001,0.689590812,0.995760318,0.599354809,0,3.739586159,4.031392423,1.803700025,3.404790786,2.803314365,1.879005934,6.728532597,2.678271438,5.898879275,3.916911285,2.474183033,0,4.488143943,0,0,0.794538618,5.826923474,3.751434301,0,0,0,4.571051374,1.140744814,2.530957362,0,0.720638697,7.738968121,3.402202398,3.096907346,5.801036225,4.084076858,0,6.609188594,0.199415096,3.02386931,0.793823646,0,0,2.935665275,0.587977512,4.247807194,4.144346121,7.051280015,5.008810266,0,0,0,2.299211178,0,6.75438725,4.034785147,3.070296918,4.068619284,3.284357711,0.725777705,3.171683682,3.30027909,5.99948072
APC,6.242825596,7.166243857,0,3.383093538,2.691718587,7.715003433,4.293161958,3.171283592,4.352627792,7.598852805,2.31599042,0,7.53515622,6.968633413,7.120902563,8.261989434,6.05493603,6.118426309,7.058643366,6.433802427,5.945807902,7.162348355,0,4.479046506,5.186804302,0.945817234,7.157526171,4.829939062,0,6.622404152,3.715827963,6.169305458,0,3.721201219,7.993392749,0,0,6.542160655,7.784222894,1.255599283,2.195531862,7.798630239,5.130022632,0,0,2.91666072,5.721357742,0,1.904852802,2.840749002,0,8.79500796,6.195052892,5.665685923,8.487870129,0,7.364147647,6.655093202,5.70062348,8.590637668,7.565283949,7.0872377,0.714551015,4.332689891,2.656572143,4.693962468
APEX1,6.097112637,6.410562281,8.634394283,7.291145601,7.793427297,3.792349861,8.235935177,7.98533677,8.928333766,7.654784377,8.590035086,8.935280935,8.270850079,8.393098103,4.728564693,7.850084433,7.512300921,8.286232146,8.024722058,8.257954488,8.778687964,7.453801253,8.176658005,8.347218192,8.241734658,7.784819992,6.548553813,9.056021381,7.698447716,8.43434592,8.5406157,9.042819596,9.138204729,6.603152345,8.234199036,7.055512328,8.491459476,7.292185714,8.042233872,8.678893405,7.005274512,8.460173871,9.368505871,7.627798655,6.720662659,9.49873004,8.609021881,6.740782716,6.738974671,9.636255286,8.456824389,7.891927579,8.429940165,8.642114719,8.031447224,7.55271878,4.043703488,7.054948912,8.011462965,7.58226364,7.828961678,8.434984758,7.717952618,8.578935497,8.027691659,7.652245254
APOBEC3C,0,5.582518781,0,0,3.95997433,0,0,1.379452322,1.844259689,0,0,0,0,2.22693869,0,4.021873579,2.005843443,4.528564907,0,0,0,5.205090338,0,0,0,0,0,0,0.910448543,0,0,0.785905677,0,0,5.090469094,0,0,3.743820242,1.136919471,0,6.045844625,1.753486372,0,5.137827414,4.330304426,0,0,0,0,0,0,5.794697842,1.108518111,0,0,2.445351288,4.355259683,0,0,0,0,0,0,1.376186086,0,5.930779045
AR,1.677166089,0,0,0,2.550933901,0,2.299861726,0,3.077541577,0,3.601993445,0,0,1.506245367,3.401485562,0,0.522618482,1.228142107,1.990324268,0,0,0,2.412808691,0,0,3.705053029,2.717818157,5.351727939,0,3.263656997,0,0,5.700988044,7.6612785,4.302139465,0,0,5.767160804,0,0,3.262042815,3.749700526,0,0,0.678424673,0,2.89734151,0,0.75375575,0,0,0,3.837616927,0,0,0,0.956734126,0,0,0,0,0,1.833452723,2.067509538,4.002861956,0
ARFGAP3,0,5.402193893,1.223194084,0,4.55151982,3.601830239,0,0,0,0,0,0,0,0,4.785280058,0,0,0,4.941699298,0,0,0,0,5.026112657,2.277854397,0,3.603779738,0,0,0,0.535662391,0,0,0,0,6.642157393,6.788679114,4.773114052,0,5.631343207,0.779147916,2.911162437,0,0,0,0,0,0,0,0,0,0,0,0,1.320738411,0,4.408004683,0,2.36843481,0,0,1.34133098,0,0,3.537378366,0
ARHGAP28,0.792991764,0,0,0,0.684153039,7.659701424,8.327800189,0,2.083505486,0,5.720852729,0,0,0,5.78470322,0,0.581198095,2.714858482,0,1.162476288,5.721999921,0,0,0,5.673678063,0,0,0,0,0,0,2.418202408,0,0,0,0,0,0,0,0.760290405,0,7.487902674,0,7.507921189,8.563104124,2.91666072,1.197856814,0.569283601,8.146326386,0,6.761592021,5.180979802,5.085460974,1.015649869,2.457809079,0,0,4.895858902,2.856090182,0,0,6.102646931,0,3.605338622,0,0
ARHGAP29,2.775399802,0,3.70173449,6.908004215,7.645376903,5.53752038,8.08620679,4.337736091,2.771683751,7.057346415,4.270942543,7.98549213,0,7.560341827,4.405779368,0,6.840524644,2.815970881,1.691510582,1.162476288,1.605998496,8.505953008,7.030700327,5.51746081,5.673678063,5.140465815,7.734664299,7.928492356,5.211978664,3.019728868,0,7.629177555,0.711712588,3.120676657,3.19586544,7.464310989,0,3.824934474,5.98535689,8.353591598,5.173516567,6.661141486,7.502360362,1.612116365,8.237430024,5.550184791,5.721357742,9.108294373,0.75375575,5.879182595,0.84504359,6.84358469,5.849393473,6.064525109,0,8.825474329,1.269851135,0,7.492077859,2.880778766,8.672001241,5.118720791,7.665854439,8.046081932,7.12745615,7.608807184
ARHGAP42,0,0,0,0,0,4.913527463,1.30541004,0,0,0,0,0,0,0,0,0,0,0,5.309336944,0,1.897402353,0,0,0,0,0,3.846899549,1.470113255,0,3.971738503,0,4.36125657,5.491998942,0,1.765945093,0,2.256380766,0.82765821,0,0,0,6.03744456,0,0,0,0,0,0,3.095577451,0,0,0,2.491843366,0,0,3.749580503,0,0,7.4669599,0,0,0,0,0,0,0
ARID3A,5.174003808,4.911194628,1.223194084,0,4.434947522,4.486500132,5.432429524,8.238666286,4.956311631,5.431210664,4.210205013,3.3126474,5.131988538,4.278503585,6.131230506,4.576924242,5.235004672,4.205373049,5.826514931,5.761598083,4.712051921,4.867794123,4.499877855,1.303953219,4.225582221,5.844869584,4.906816205,4.784323175,4.775519098,2.296009312,4.103151182,3.810971394,4.23702204,5.01940509,0.565785728,5.037009278,3.096907346,4.234229184,5.719227843,2.368206604,5.432506909,4.69505287,2.032996767,5.05425492,2.926816223,6.314906037,6.093545194,3.127729899,2.698088162,7.506274153,4.081201589,4.020876634,2.879573024,6.200628977,5.373103903,3.537239636,3.725942424,6.094605562,5.164781272,5.530972313,3.844709461,6.717755479,3.119633295,0,3.298983559,4.673312541
