X,H9_12h_001,H9_12h_002,H9_12h_003,H9_12h_004,H9_12h_005,H9_12h_006,H9_12h_007,H9_12h_008,H9_12h_009,H9_12h_010,H9_12h_011,H9_12h_012,H9_12h_013,H9_12h_014,H9_12h_015,H9_12h_016,H9_12h_017,H9_12h_018,H9_12h_019,H9_12h_021,H9_12h_022,H9_12h_023,H9_12h_024,H9_12h_025,H9_12h_026,H9_12h_027,H9_12h_029,H9_12h_030,H9_12h_031,H9_12h_032,H9_12h_033,H9_12h_034,H9_12h_038,H9_12h_039,H9_12h_040,H9_12h_041,H9_12h_042,H9_12h_043,H9_12h_044,H9_12h_045,H9_12h_046,H9_12h_048,H9_12h_051,H9_12h_052,H9_12h_053,H9_12h_054,H9_12h_055,H9_12h_056,H9_12h_057,H9_12h_058,H9_12h_059,H9_12h_060,H9_12h_061,H9_12h_062,H9_12h_063,H9_12h_064,H9_12h_065,H9_12h_066,H9_12h_067,H9_12h_068,H9_12h_069,H9_12h_070,H9_12h_071,H9_12h_072,H9_12h_073,H9_12h_074,H9_12h_075,H9_12h_076,H9_12h_077,H9_12h_078,H9_12h_079,H9_12h_080,H9_12h_081,H9_12h_082,H9_12h_083,H9_12h_084,H9_12h_085,H9_12h_086,H9_12h_087,H9_12h_088,H9_12h_089,H9_12h_090,H9_12h_091,H9_12h_092,H9_12h_093,H9_12h_094,H9_12h_095,H9_12h_096,H9_12h_097,H9_12h_098,H9_12h_099,H9_12h_100,H9_12h_101,H9_12h_102,H9_12h_103,H9_12h_104,H9_12h_105,H9_12h_106,H9_12h_107,H9_12h_108,H9_12h_109,H9_12h_110
AGPAT5,6.460414182,1.297207841,8.352941294,7.279149623,5.65703959,8.399747883,7.924426115,6.774325624,9.429117245,2.767586923,4.5213786,8.149458189,4.040437079,2.911500851,4.581301012,8.985715005,10.99628405,7.741034645,9.314421376,8.705861178,8.320995261,6.112019329,10.53075139,7.712368239,6.000358637,7.568920148,4.53812312,7.102609779,5.484620908,3.11619735,7.092639769,5.673246151,6.79949509,5.409595208,7.473843044,3.942237267,7.618091002,9.190756206,3.414230108,5.712993704,5.514764924,5.991388164,7.463685559,8.330483129,7.924887818,6.739078509,7.715368645,6.439989753,6.954407343,6.938126712,8.655281514,3.562725388,8.277895909,6.599395742,6.237977197,9.156050625,8.655517458,8.183250158,7.331280856,8.479214183,9.548800282,4.648606472,8.109267963,6.17086462,7.962546698,7.37939689,5.47957475,8.03971044,9.365076834,9.453043128,6.077633019,7.94691136,7.693377627,8.092873178,7.532665092,2.670385112,8.75637194,1.89288445,7.926709171,0.488054558,10.16334609,3.306706269,6.808069536,10.05926068,8.986031007,8.735025085,8.242753404,8.116584438,8.047623499,8.406525502,7.225554683,5.098539723,3.001822052,0.606249443,5.361007003,4.271798828,6.041835212,8.459704455,6.896599266,8.816803574,7.993374707,7.734760077
AIP,0,0,0,2.252183486,2.807615589,0,0,4.929760151,0,0,7.102401638,1.944302375,0,0,5.100085775,0,0,0,0,0,0,1.412845654,0.966715585,0,3.523894608,0,0,1.284610096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694774038,0,0,0,0,0,4.559092322,2.977849805,0,0,0.933188462,0,0,0,4.825205449,0,0,0.653714081,0,0,0,0,0,4.167805119,0,0,0,0,0,0,0.533230334,0,0,0.952778757,0,0,0,0,5.415235626,0.438563549,0,0,4.228103199,1.928969308,0.710160238,0,0,4.956211348,0,0,0,0,2.83977072,0,0,0,0
AK4,10.0889865,6.972906769,8.307793904,10.23089301,9.043307371,10.07488002,7.413226079,5.651311211,11.12515262,8.541594621,9.186172138,9.170927281,6.382418771,7.017478601,8.621834011,5.112945845,10.19718524,9.795981037,6.248988249,8.960807964,9.430778265,6.912997171,9.952399531,5.246076694,8.355472008,9.024256536,10.47704213,7.518791451,6.160403077,10.39291758,9.417055202,9.619221658,10.08074893,9.480473518,4.764881743,8.612031386,7.670026254,7.235489161,8.276786789,7.996651957,10.7304236,10.58525784,8.762203638,9.123352909,8.664410932,8.512935422,9.669630596,9.189473283,8.616898121,7.498727652,10.53423996,9.744742044,8.734157036,9.241346839,6.097561759,9.818207191,8.38858955,8.271664933,10.51452689,9.743551488,9.36380313,7.004545644,7.470447405,9.76483925,8.324104892,8.068370917,11.17616792,9.621013287,8.797504114,9.615660369,9.558397312,8.82850445,9.743792597,10.01361353,9.509792822,9.575255566,9.18375186,11.18374606,9.202191225,10.74453053,11.08731506,10.60415054,10.74765333,7.277409602,8.15334305,8.313386869,11.22243604,9.566473049,9.45008305,9.719466203,7.684363721,10.32245018,8.753654861,9.585223116,11.14996835,9.919397074,8.878844709,8.966160615,9.38534077,9.867968042,8.817041184,8.237819604
AKAP2,7.391156887,0,3.710615296,0,0,0,6.103938315,0,0,0,4.368285752,5.487587696,7.3281768,6.391425191,3.981803546,0,3.508869609,1.645867077,0,0,0,0,1.540410419,0.679440463,1.858244829,0,0,6.800506295,1.77902575,0,0,0,4.548330051,1.620727577,3.816993416,10.01651205,0,0,3.953362867,2.895275099,5.210417548,7.184931128,0.638729958,8.492957446,4.826507077,3.60114454,6.112672034,2.000278175,6.735800839,0,0,0.556091571,0.755153475,0,0,0,4.771790557,7.706522277,2.106982659,0,0,0,0,6.963243321,0.889040337,6.297834389,0,0,0,5.123258385,0,0,0,0.800788901,5.031239778,0,0,7.71392604,2.916320022,2.077386003,6.13326999,5.93171978,6.212641369,5.114336554,2.458615466,6.416463539,5.976511496,0,2.203175486,4.458613763,7.433900836,1.290651977,0,1.3600213,0.604854013,0,6.284309604,4.747820435,0,4.275520071,3.677661484,0.528629408
ALCAM,2.468419774,1.969032927,1.365815358,3.092218693,3.123651628,6.76494057,2.203317904,1.536994543,2.783128256,9.820414968,3.511541051,1.437818871,8.606634693,3.992044359,3.192147476,3.609041529,3.829376361,3.784101138,3.573563336,4.096445727,4.303966182,3.838038761,4.258016673,7.941446922,4.768535285,3.760571483,3.344103341,2.408300489,3.423278778,3.11619735,3.955746826,2.585660218,3.944754344,3.417479565,2.915888522,5.006272544,3.945074631,1.392221366,3.414230108,2.077218738,2.577472122,2.76133316,6.723941982,2.007290765,2.852279717,0,6.432818968,2.201924129,1.420014656,0.796705863,1.093898351,0.556091571,7.537054317,7.285594292,6.974201813,0,3.660302693,7.284182638,4.481598615,0,0,2.038230064,0.653714081,6.081648287,4.684054046,2.252827599,0,0,0,0.575862874,0,0,3.627588945,1.312727274,0.588019865,0.533230334,2.060873222,7.90138477,0.553654026,0,1.081358505,5.434677054,7.856946315,0,0,0,1.132025689,1.626271648,6.41811068,0,4.614431632,1.770043799,0,5.10546773,0,0.62174495,3.641976441,1.509806702,0,0,6.479778219,1.218889171
ALG6,0,0,0,0,8.10058988,4.804198149,0,10.6997523,7.817310029,2.110970171,10.87176965,2.474468792,1.838266425,2.720717223,7.221765087,8.579251438,2.515955393,2.394711018,0,5.29470079,0,10.17262607,0,2.539071439,7.874252855,1.81174168,0,0,10.09720851,2.486095534,3.416539587,9.066924849,3.405891531,2.15666676,0,6.037254942,2.842459498,0,3.953362867,0,3.451258364,8.523660053,5.561555501,6.456685128,8.755220996,7.702112759,7.189763028,6.040380931,7.740368037,3.403634784,1.708849624,0.556091571,8.021196196,7.25787974,0,6.274210998,7.105396527,6.895512634,1.749654926,1.741646241,5.296948214,0,0,7.537746227,8.925529646,7.375073427,7.97836443,0,1.020556417,0.986328947,4.06330432,1.29780693,8.317754965,3.195755164,1.00458362,7.032635672,2.060873222,7.437330888,0.553654026,3.046498623,9.768159853,8.016564876,8.291721333,1.588955414,7.151801282,8.937402387,9.681941292,5.760809357,4.974599533,7.662543791,8.5920658,8.285945901,2.323594061,0,4.184853142,6.128419231,0.65460619,6.789616017,8.862794831,9.552032715,0,6.166098658
ALPK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALYREF,4.992484469,2.215312036,1.036664806,2.252183486,0.893225161,3.854933191,4.589427043,4.630735584,2.97526426,4.740311351,1.727758539,5.373263028,5.581338503,3.230818875,0.799065011,0.698068518,3.922130211,3.991454865,5.778373831,2.815538034,6.156275661,3.659733761,2.74981682,5.117491916,0,1.81174168,1.206544499,5.148441558,4.662173236,3.11619735,0,0,4.017817449,3.872687168,4.367424781,4.151159592,3.470096309,5.8946652,3.414230108,3.61703414,5.514764924,3.650816258,5.473875152,3.867026093,4.153626665,3.17667409,4.091424105,3.232992193,4.708089786,4.483930213,4.759875213,4.125967023,4.101277054,3.067284444,4.785661097,3.269058408,5.077831371,5.029304505,4.208250445,5.352292895,3.497831885,2.686606522,1.719337801,4.114499216,2.799834736,5.02714928,4.850306919,5.739547434,3.284508285,4.880341943,4.972361309,2.919048106,2.65564075,5.22344648,4.401035616,3.977872927,4.0756985,2.829034112,3.712739465,3.982021357,3.36460475,4.050182019,3.151519217,4.215115707,4.025863698,4.566385103,3.283752721,3.141887391,4.735249908,3.212229336,2.712249939,4.235632027,2.908695305,4.381786528,2.634186311,3.743181974,3.993569391,5.292273363,5.431627311,4.032824694,3.661314243,1.870008958
AMIGO2,2.68734004,0,2.380152696,2.252183486,4.311874944,6.933390871,6.148613442,2.745383706,4.365373619,3.082291805,0,5.660043953,3.624513182,4.42653424,0,7.094534168,4.873743254,4.478556915,0,4.867195456,0,0,0,3.564052884,0,5.072044085,0,0,0,4.278756835,2.545693915,0,6.004391795,3.217417418,0,6.523921898,2.619103396,0,9.6489651,4.344798266,0,0,0,0,0,3.60114454,0,0,6.677943391,0,0,0,0,0,2.689912165,0.933188462,6.343576466,7.753442186,0.558322741,6.530171491,0,0,0,0,4.707764565,3.677096737,1.409360814,0,0,2.148602565,0,5.140610755,6.840443935,1.312727274,0,0,0,0,0.553654026,3.043684177,6.385190262,1.688744903,5.951791396,0,0.535743379,0,0,8.498066161,3.461222241,3.637812465,0,8.398874488,0,0,1.35753768,0,6.519186757,6.99860952,0,3.965187845,0.522961861,2.317021159
AMN1,0.93120991,0.789740926,6.942181748,0,0.893225161,0,1.288151264,0.964174378,0,0,2.159691304,0,0,0,0.799065011,0,0,0,0,0,0,1.412845654,0.966715585,0,1.858244829,0,4.763243781,5.508461081,0,0,0,0,0,0,0,3.40345368,0,5.065938652,0,1.384030194,0,7.590293597,0,0,0,2.715383409,3.704324907,3.232992193,0,5.242469449,0,6.041045798,0,0,5.24054343,0,3.708689084,5.811733186,0,0,0,6.433858493,0,0.565642677,0.511945564,0,0.634188836,0,7.205450442,9.367052448,4.84665241,0,0,0,0,0,0,0,0,0.488054558,0,0,0,0,0,0,3.501788429,0,0,0,0,6.947907716,0,0,0,2.081479732,1.721042197,0,6.47424712,0,0,0
ANGPT2,0,0,0,0,0.893225161,3.854933191,2.256536852,0.964174378,0,0,0,0.650491863,0,0,1.547908816,0,0.944913579,0,0,1.693646405,0,0,0,0,1.939495914,1.81174168,0,0,0,0,0,0,0,3.90435815,0,0,0,0,0,1.263436579,1.164935739,0.973332695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959853593,0,0,0,0,0.304771372,1.648060087,1.07285875,1.073223632,0,0,0,0,0.771797804,0,0.800788901,0.588019865,0.559732482,0,1.269727612,0,0,1.081358505,0,0,0,0,0.931847514,1.132025689,1.540887542,0.542627486,0.698899516,0.51317421,0,1.249133339,0.625914229,1.855889664,1.674755366,1.103244081,1.452519364,0.821265756,1.703323597,1.208334069,0
ANKMY2,0,0,0,0,0.893225161,4.804198149,0,0,0,0,0,0,0,1.924480844,0,0.698068518,0,0,0,1.591331151,0,0,0.966715585,1.139493725,0,1.81174168,7.932265692,0,0,6.098132021,0,0,2.32183903,0,2.915888522,0,2.354718754,0,3.414230108,0,3.079530639,1.959811887,0,0,7.876093775,0.694774038,6.364220546,6.669960996,0,6.397387289,3.16051719,0,0,0,0,0,6.754165839,0,4.348714424,0,0,4.50840713,0,0.565642677,8.189943182,0.618921763,5.406157836,0,1.346560879,0,0,0,0,0,0,0,0,0.747123103,0,0.488054558,0.80241531,7.913884005,0,0,0.535743379,0,0,8.551208866,5.979218244,0,0,0,0,0,6.080350271,1.885057258,2.98006814,0,0,1.523146403,0.522961861,0
ANKRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833002182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522961861,0
ANKRD13C,1.55616524,0,1.859452388,10.9242213,5.069457073,3.854933191,0,0,4.060838967,2.364508323,1.108400089,4.307443673,2.736986238,4.487744687,0,2.971892048,3.247255147,2.394711018,0,3.709250382,0,4.269691628,4.024158241,4.107771507,0,4.706341867,0,0,0,2.835276338,5.124006464,9.808191208,3.292681778,2.707996425,0,6.406620566,7.647996816,0,0,7.705186018,0,5.30505245,3.72825516,0.811525584,4.976587651,1.513941769,3.262503633,0.678210999,0,2.932471599,0,0.556091571,2.846052005,0,8.620501807,0,1.658174527,8.303018036,0.558322741,6.041226446,8.635287165,2.686606522,0,0.565642677,1.830186949,4.929080088,0.634188836,0,0,5.602443943,3.646889819,0,5.132557929,0,0,3.536895325,0,0,0.553654026,0,6.37455672,8.549175856,3.525385386,8.479674182,0,3.77695086,0,0,0.8488726,5.815851179,8.75303709,0,1.001041454,0,3.502478921,0,6.673065727,0,3.981934535,4.95357964,5.694354867,0
ANKRD26,0,0,0.609508944,0,3.700720434,6.094806106,0,0,2.299329259,2.110970171,1.727758539,4.908432426,2.49478467,3.812293918,0,3.680807705,2.515955393,3.991454865,0,4.256969312,0,0,0,3.890925775,10.6556712,3.092879842,0,0,3.423278778,3.351231497,4.347350757,0,3.608707037,2.853177829,0,10.07848557,3.622473466,0,2.543582348,2.895275099,1.800936981,5.619663673,0,0,0,0.694774038,5.073245325,7.035991971,4.753613924,0,1.433894408,0,0,0,0,0.540767008,3.200605225,0,0.558322741,0,0,0,0.653714081,0,0,0.618921763,0,5.976395361,0,0,0,0,0,3.624236193,1.00458362,7.764306924,8.35647809,1.601852168,0.553654026,6.591034463,3.077274551,2.939468026,3.631192321,0,0.535743379,0,0,0,0.485989834,0.710160238,0,0.567670653,5.151770665,1.031813777,0,0.62174495,0,8.436783403,4.977225768,4.43402047,7.576141406,0
ANKRD28,2.68734004,1.67187847,9.783272122,6.513124314,4.954490608,6.933390871,8.655922745,3.740097243,6.854580971,7.941555311,6.528712989,5.593514268,3.360769266,4.7600091,8.971433754,6.038314606,6.983514656,4.478556915,3.319191272,4.963431935,0,2.935549024,0.966715585,9.594292553,5.335745661,4.960136459,0,0,0,7.6580689,4.908492767,7.190656046,7.330806238,6.838570913,0,5.611963728,3.622473466,0,3.953362867,7.648433806,2.240832336,2.953003666,5.361100559,4.418648179,9.964368675,7.490123461,1.443232008,6.449928019,5.274535694,3.500779412,5.221258776,0.956474015,8.175304712,0.610966026,0.749828269,1.495174729,6.123619343,7.015953997,6.707218554,0.833002182,7.865886772,5.525363899,0.653714081,4.801293915,1.830186949,9.033270299,1.073223632,8.983630948,4.498424871,2.299991791,10.07790569,6.497696641,4.142503991,0.800788901,1.00458362,7.284585273,0,8.226482974,3.436131263,4.652666456,1.315007892,8.395696706,1.21058712,7.971687917,0.925526965,1.896524656,3.223675526,2.371359006,6.754164672,6.375772238,4.563213186,7.913488163,0.585656887,0,1.624474992,6.128419231,0,0,5.944297041,5.569231796,9.205118214,0.914653429
