X,H9_72h_001,H9_72h_002,H9_72h_003,H9_72h_004,H9_72h_005,H9_72h_006,H9_72h_007,H9_72h_008,H9_72h_009,H9_72h_010,H9_72h_011,H9_72h_012,H9_72h_013,H9_72h_014,H9_72h_015,H9_72h_016,H9_72h_017,H9_72h_018,H9_72h_019,H9_72h_020,H9_72h_021,H9_72h_022,H9_72h_023,H9_72h_024,H9_72h_025,H9_72h_026,H9_72h_027,H9_72h_028,H9_72h_029,H9_72h_030,H9_72h_031,H9_72h_032,H9_72h_033,H9_72h_034,H9_72h_035,H9_72h_036,H9_72h_037,H9_72h_038,H9_72h_039,H9_72h_040,H9_72h_041,H9_72h_042,H9_72h_043,H9_72h_044,H9_72h_045,H9_72h_046,H9_72h_047,H9_72h_048,H9_72h_049,H9_72h_050,H9_72h_051,H9_72h_052,H9_72h_053,H9_72h_054,H9_72h_055,H9_72h_056,H9_72h_057,H9_72h_058,H9_72h_059,H9_72h_060,H9_72h_061,H9_72h_062,H9_72h_063,H9_72h_064,H9_72h_065,H9_72h_066,H9_72h_067,H9_72h_068,H9_72h_069,H9_72h_070,H9_72h_071,H9_72h_072,H9_72h_073,H9_72h_074,H9_72h_075,H9_72h_077,H9_72h_078,H9_72h_079,H9_72h_080,H9_72h_081,H9_72h_082,H9_72h_083,H9_72h_084,H9_72h_085,H9_72h_086,H9_72h_087,H9_72h_088,H9_72h_089,H9_72h_090,H9_72h_091,H9_72h_092,H9_72h_093,H9_72h_094,H9_72h_095,H9_72h_096,H9_72h_097,H9_72h_098,H9_72h_099,H9_72h_100,H9_72h_101,H9_72h_102,H9_72h_103,H9_72h_104,H9_72h_105,H9_72h_106,H9_72h_107,H9_72h_108,H9_72h_109,H9_72h_110,H9_72h_111,H9_72h_112,H9_72h_113,H9_72h_114,H9_72h_115,H9_72h_116,H9_72h_117,H9_72h_118,H9_72h_119,H9_72h_120,H9_72h_121,H9_72h_122,H9_72h_123,H9_72h_124,H9_72h_125,H9_72h_126,H9_72h_127,H9_72h_128,H9_72h_129,H9_72h_130,H9_72h_131,H9_72h_132,H9_72h_133,H9_72h_134,H9_72h_135,H9_72h_137,H9_72h_138,H9_72h_139,H9_72h_140
HESX1,0,0,0,2.831546352,0,0,0,0,2.721731854,0,0,0,0,0,0,7.877914743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486214671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.283756826,0,0,3.858258141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.409945432,0,0,4.833152974,0.920189758,0,0,0,0,0,2.139269522,0,0,0,0,0,0.847625526,0,0,0,0,0,0,0,0
HIF1A,9.770986529,8.434027095,7.008700715,6.666267496,8.249938199,8.211746326,9.297063721,6.140961612,8.575810248,9.015581415,6.519425117,8.809113298,6.544897777,8.539875074,7.763385039,7.903800426,8.356950243,9.258872252,5.007423226,9.28394048,8.623367928,8.689646009,7.365170757,6.910692727,8.373983338,7.368547259,8.67615179,7.583569883,8.780309448,8.2922855,7.790060661,8.787966798,8.92302521,5.426813584,10.19583145,7.518919785,5.244212034,8.469061261,7.551459245,7.784618284,8.475223261,6.271336415,8.641445817,7.982158122,6.689136066,6.645011375,8.942792227,3.861726241,5.866708512,8.085841786,6.488557078,8.230742648,8.345850636,7.630442364,8.431720961,8.362749337,9.07871646,6.124989839,7.146116235,9.258114993,8.862870591,7.956948005,8.01810382,8.643495963,9.517261487,5.584348908,8.272417443,7.295555283,5.820826787,8.016740133,9.218450626,7.142615748,2.191519836,4.585497003,8.032049844,10.42025765,10.22007526,7.927028294,7.762744607,7.339048089,8.444425302,7.901027404,7.25571038,8.49402515,9.294394802,8.116447271,8.980981983,8.206209308,8.595684939,9.223792049,8.030989746,9.89015358,8.190548235,8.101484903,8.876458531,9.949084352,7.830960432,6.16877622,9.399064181,8.208171922,8.835953137,7.505375111,8.688490624,7.935860818,8.122774234,8.863371266,8.54844408,8.450647988,8.550200059,7.691718184,9.263718445,7.294104094,7.303074414,8.139077818,7.333067621,7.036460668,8.523573775,6.719821517,7.457761259,6.608032512,8.372562683,7.384241625,8.268553463,7.751808657,7.373039038,8.163503356,8.563123562,7.10292375,8.235041483,4.85717408,8.211002936,8.03283594,9.178545693,8.344839362,9.033135775,8.339820411,8.124224877,8.637801194
HIF3A,6.254595626,6.611186442,5.073328898,3.290314693,7.199699948,4.918650071,1.563771267,6.142457942,4.989100191,7.526646953,6.349911744,5.931127896,3.12698028,5.411333767,4.141517734,7.308601514,6.889197131,2.934964356,5.692465451,3.820018353,6.64409957,6.209446044,6.187411174,5.634590488,4.197638406,5.644557355,5.826008498,3.015676886,6.575634659,3.252104386,4.69423374,6.133623784,5.678805675,3.644084563,5.132713184,6.441820729,6.27563103,7.404742247,3.451711653,4.009096881,4.603998269,6.027643836,6.462023913,2.988134546,3.085754425,5.681096049,5.651990147,6.759156438,4.390415766,4.970595793,6.817758658,4.226323598,6.276134154,3.69953522,4.954133431,4.928038299,6.031621824,5.138487732,3.506530843,5.708749474,3.139270163,3.06634067,5.725126309,3.668808783,6.445316232,3.904804891,2.279766186,4.920630904,5.612249205,6.541006626,6.504506043,5.028864435,3.964985509,1.75936315,7.06819982,4.72210746,3.582032869,7.217707902,3.671921138,6.439720939,5.908650952,7.057344301,8.144890282,4.837634577,6.18217759,5.480460296,2.038800875,2.502407983,5.37689346,5.351974845,5.584869027,5.498374016,5.651433849,2.465697401,6.406119391,6.304514626,5.608812293,4.737240786,1.229034396,4.365154528,7.264454611,6.594146861,4.614231045,4.447354314,4.811480446,5.117760508,3.833252594,6.343722173,3.799695338,5.192518839,3.374321253,6.377818557,6.291759066,5.386929789,5.801100499,6.822787266,6.10747427,4.35742232,4.394473387,6.661841196,5.688304615,5.803953188,3.064434812,1.546284333,5.438730177,5.327820889,5.494148682,5.853717289,3.794890266,2.513306586,2.638430926,6.765081308,6.215482298,5.589849636,7.085417763,7.716576597,4.643783919,4.762745963
HIST1H1B,0,0,1.894760268,4.169561428,1.388727947,1.804120827,2.800794112,1.50119036,3.734721847,3.875154747,0.924770262,0,1.960644077,0,5.776345877,0,6.22707005,3.861317718,0,5.73752722,0,0,0,0,1.015596115,2.847810408,0,0,0.902014036,6.27230519,1.500449965,3.776025393,0,0,0,0,0,0,0,3.084407549,1.186717332,0,0,5.077987404,1.732252759,0,0,0,2.985508859,4.341026165,6.078649827,1.792522371,0,1.054803378,0,6.861890829,1.535616886,1.434349113,1.125568161,1.924351124,0.619605369,0,3.379799503,0.964890504,4.567816702,1.932897105,2.762902816,2.536831308,3.754495651,0,5.59177362,0,0.673234448,2.266241211,0,3.223490892,3.66311179,4.143263587,0,3.911470753,0,0,0,0,2.529109202,0,1.988432357,0,5.022656328,0,2.173289074,4.377528032,2.107180007,3.899157495,0,3.351540336,3.452399567,4.747196316,1.587902639,0,3.581860765,4.129433776,5.064082977,4.376458109,2.191820652,4.436300242,0,4.307503004,0,2.643540348,0,4.767782764,3.055360958,0.87076758,0,4.143120906,1.76203243,5.721293971,1.82853875,1.077153136,4.789884781,3.859640789,2.742429725,7.203903349,0,3.602862168,5.009536357,1.521558866,0,0,0,1.264628145,1.111008997,2.062548298,6.69295342,3.455973735,5.045418798,6.091586047
HLA-DQB1,0,8.011647504,7.76955504,2.963138521,8.593588075,7.434288235,0,7.991864823,7.456274209,8.104665859,7.018459372,0.784925584,5.503564841,7.518885928,6.301467024,8.861697693,6.162863637,7.716583004,8.489283719,8.466990763,8.40177192,8.153955978,0,7.24934653,8.634424504,8.657367991,8.000011806,8.141655921,7.518744075,9.059995814,8.879052075,9.497883898,7.459464563,5.980692572,7.964819667,4.800348265,5.142727321,8.063755945,8.027142556,5.956594477,6.723286117,8.971604884,8.668042943,2.026050551,7.640754763,5.933303431,8.075298852,8.144837825,6.499753793,9.046306143,7.632609523,2.231524733,6.588821059,8.623648102,9.32672381,4.272101034,7.673748927,2.150429753,4.622783451,7.779482163,0.619605369,7.242162739,5.310435701,4.575673499,8.095911263,9.435640726,9.654010947,8.891737839,6.84140688,7.512247973,9.155016527,5.877362502,8.589462153,7.449163689,6.566664804,2.760040458,6.887371856,7.674109656,9.644345724,8.987833624,6.564503657,2.381515232,8.696580735,7.578924892,8.078038102,6.795672549,0.800756202,0,7.535571445,0,7.151968919,5.970053322,1.408299655,7.798286803,7.724656382,9.915068849,5.955531002,7.872570779,0,7.094716978,7.82317937,8.473784029,3.300261419,7.690782415,7.530888733,8.11421879,7.48923001,9.236301612,6.041129601,7.121160208,3.289445634,0,5.740579786,7.374517082,7.772496831,8.809335266,6.363165949,7.66416231,4.982822831,8.440227961,8.917812392,7.637326005,8.11607004,8.983106674,7.470516578,9.612019125,6.909982442,7.289613808,6.325826788,6.470491224,6.33640276,9.055136368,7.774661371,6.560878596,0,7.951972876,7.445456557,7.926476473
HLA-DRB1,0,9.410686915,4.466327716,4.885202426,7.378724343,7.979265591,3.052157515,6.003631071,6.902662292,10.37311947,8.289683185,5.804342507,6.535949812,7.498437512,4.537573517,0,7.063436895,6.557389324,6.568815602,5.951990305,9.939538223,7.956214868,0,7.40046263,0,7.909899339,9.665431168,7.635740658,5.865366141,8.97290301,7.764268787,6.575627784,8.423466203,6.823079963,7.463307778,9.082157312,10.61970617,7.307968469,7.245640477,6.193555006,6.109664696,8.240652368,8.052136084,7.809063713,2.994106547,8.804495755,8.729500221,7.429036435,8.197996641,8.928684533,7.317398086,7.896202618,8.49142209,7.774841141,7.709562906,7.667366082,7.373682453,2.622789881,7.08940082,8.309623871,0,7.756424903,5.586357651,6.592826373,6.923449615,8.0946656,5.776755041,9.830452939,7.448154434,8.334351675,8.544895958,9.868158904,9.060399489,7.550061095,4.055862593,0.834078868,8.577684281,7.091696037,8.059271661,9.183671785,8.460549782,6.427151901,8.554025692,7.201754865,8.459788954,7.343711103,0,2.821305202,3.322196003,2.746761467,6.568427661,1.11361516,5.019283319,8.132408591,6.361731128,9.100642399,8.14225498,4.924713653,4.942236435,7.640604241,8.163292987,9.473855275,5.264793595,7.294364311,6.439885278,3.211016984,4.393175315,6.950470181,6.014290264,8.692806906,0.79197826,5.354372829,7.213307234,2.106434048,8.183825295,8.729385497,5.587057697,7.488840634,7.787659036,7.423727634,5.902107304,5.08541459,6.490567957,5.59803979,7.994834286,8.364689698,7.285318852,6.551549029,6.191529477,4.715528539,8.906168472,6.358348346,4.957818679,5.545392283,7.139642628,8.580301033,4.837775562,6.816952614
HLX,0,3.409792188,0,4.372585716,3.184658795,3.750693762,3.962459139,6.064094418,2.453468524,0,1.483758433,0,4.546292713,0,0,7.145032154,0,0,1.738716291,0,6.538633362,3.508937545,1.263385589,0,3.027183544,2.035460156,1.845285959,0,2.990842888,1.420617047,4.224466448,4.49347025,1.329838106,2.644328195,0,2.721752864,4.039792757,0,3.230410175,5.397498346,4.583408132,1.196769419,4.072772267,0,0,1.968688241,0,0,3.625777582,5.779948953,4.535969234,3.266741757,0,4.007562482,0,1.054993178,0,0,2.51790511,4.295556972,2.249501143,1.373770278,1.032436933,1.947010059,4.706401523,5.160191907,4.140726897,3.233501253,1.25609372,2.280719901,1.857475664,5.478283478,0,5.592530216,0,4.293194065,0,0,4.989790853,3.114763448,3.975302258,1.487817962,2.459371023,3.008136604,0,1.344723081,0,0,0,3.63507809,3.633331501,1.11361516,0,0,3.421320868,3.45610419,1.941805348,4.22728917,0,0.870032628,1.997462713,0,0,2.571095162,3.71523201,2.540610398,1.25744645,6.198076689,3.165664696,2.643540348,1.972982325,1.274117899,4.519721622,0,0,2.94126157,3.22822554,2.667707112,4.503988348,1.077153136,0.965137339,0,4.880676757,1.605605077,2.519650013,0,1.877875154,0,4.138066154,0,1.512673571,5.87058079,0,3.48118938,3.253676234,5.087030818,3.620867057,0
HMGA1,3.376265534,6.930392997,7.134989861,6.607836836,5.787092344,6.503314729,6.128588658,6.044220202,6.042667305,7.05721745,6.210027716,6.512706652,5.155385245,5.9157009,6.613279464,4.730755328,5.790380126,6.332873757,6.463724047,5.234496325,4.422025648,5.984226789,5.431074026,7.023282852,5.961259497,6.421570277,6.346788346,7.142668359,5.969836004,6.208468343,6.545090891,6.246514435,6.496828767,6.496410696,6.450274147,5.111883885,6.225053607,7.494059902,6.30858011,6.741403012,7.076985622,5.886975728,7.307413942,6.929160761,6.189751953,6.450423549,5.095991199,6.726791788,6.350524165,5.779948953,6.352659321,5.849914418,6.734057593,7.821352604,6.777843468,7.411089057,7.274532083,4.998033056,6.897088596,5.854122993,6.198128802,5.105211001,5.970004878,7.138850909,6.008248514,6.66556642,6.420275847,6.237420671,6.372688721,6.568446989,6.038231721,4.569049086,4.189403793,6.719904419,6.730077718,6.095188376,5.731098164,5.91264165,7.013528759,5.553799129,5.844459988,6.56762986,4.554517941,4.306504591,6.083428756,6.212203261,6.381344841,6.232305591,5.209742994,0,5.837138067,5.769192849,5.879347216,5.014336457,4.955252067,5.555720679,5.989160437,6.375071778,6.604275431,5.709226181,5.724600336,5.816692769,6.224152877,5.480900543,6.134119254,6.363171125,5.787593426,5.371119053,6.350860714,5.810202325,6.212271742,6.303720787,6.394177651,6.589360359,6.387564505,5.766770383,5.725878139,6.48129981,6.017794692,5.980771145,6.080177007,6.253748828,6.39407982,7.391149714,6.020475551,6.974282986,6.375796382,6.244895441,5.828684285,5.748714065,5.853923026,7.551153097,5.853954812,6.97143343,6.388055994,6.567375959,5.696571673,3.66516774
HNRNPAB,2.859150748,6.864625278,5.499549771,7.387090171,5.677304926,5.262374611,6.221263869,3.207647406,6.684522651,4.572246833,6.416973133,7.034175203,5.524524772,6.034081984,6.57202954,6.960024288,6.025185125,6.581094894,6.344297198,7.099302134,8.423403322,6.507712126,6.433554418,4.852187999,5.030065918,4.689090974,6.624667807,7.230012127,6.139425085,7.149768919,6.119410699,6.037601821,4.141693639,6.132590848,6.676126675,6.017735385,6.173324822,6.769758157,7.078583805,5.805241173,5.430261395,6.171410789,4.282864836,5.355702959,5.297214358,6.877312696,6.105315876,6.280094861,6.259817086,4.408021688,5.713160133,6.836731224,4.258836192,4.424335361,5.775941759,6.54888409,4.017297452,0,3.924336962,7.069584781,6.260028165,4.589542045,4.06023306,6.746279231,3.030974916,6.730309288,4.593976605,7.22782806,6.349293237,0,5.897159278,4.92043666,5.987266915,3.54472122,4.283463393,7.33918754,6.663122798,6.644451922,5.86901904,6.979021617,0,6.134554544,5.999927095,5.354842221,7.203063926,7.283100843,6.261299243,7.19605983,6.508089042,5.93019128,5.596691354,7.05003947,6.139104027,4.778610396,5.110813204,6.157192942,6.454122624,4.533729356,7.921264435,5.513996885,5.611689327,5.087618034,5.452185025,6.215587115,5.522529557,5.305489427,5.823466211,5.487648791,6.871081815,6.149376406,4.91923908,6.317000981,5.759824515,5.837267251,6.946611933,0,5.380585868,6.066841549,6.178905831,5.145918937,5.101344478,7.047723816,5.467896597,6.007649444,6.284189892,5.372188458,5.482109756,6.753178623,7.030959522,4.391521489,5.790926067,3.768065157,4.006115408,5.566438622,7.591315084,5.846376599,6.514424398,6.371596281
HNRNPD,9.491202899,8.321377451,7.233841087,7.785167334,8.629022847,5.47938739,8.012889399,7.51696696,8.695664821,7.539781472,6.765612049,5.608529178,7.559267227,6.526596115,7.34415156,8.988070498,8.147682231,7.655347715,6.761810692,7.23216949,0,7.63151382,8.245677268,8.465022554,5.960549553,7.646763147,7.010480601,8.145745806,7.256080262,6.877148993,7.355273915,6.733405938,7.035426404,8.347627826,7.395142681,7.301118175,8.391006945,6.522871423,7.068604779,7.665527482,7.509700318,6.841956797,6.815106306,7.626835542,7.980136292,7.581975741,7.506356845,6.711342979,7.111899478,7.625843678,7.413771758,6.363146745,7.968568202,8.516686859,6.477844553,6.736272322,6.465316447,6.726665106,7.707427624,8.394373997,7.501785157,7.326975069,6.017344356,8.450546936,6.849693125,8.204734592,7.782849376,6.470164704,7.32600892,8.136660337,6.438102014,8.983389866,6.758936362,8.035693919,7.653703552,8.731588604,8.212317409,8.09345546,8.150377143,8.058276156,8.474555923,8.83617569,8.191824369,8.425713815,6.966660516,7.932454997,9.06420925,8.170010823,8.344592665,9.983375474,8.161023813,7.802836543,7.755230756,7.629104099,6.866359987,8.333114766,6.961402885,7.572121975,8.327824343,7.483464414,7.319196259,8.390328375,8.02175731,7.669924978,7.711967896,8.044654013,8.585503197,8.037940271,6.470993653,8.016642599,6.865035812,8.277217458,7.721654139,8.078452697,6.073966831,7.97459238,7.63151148,7.76715485,8.62195223,7.387847479,8.355886358,7.756900442,7.315028203,7.814259558,6.70007686,9.10168579,7.829796086,8.153653379,8.398801339,7.912057063,7.750704782,8.446495604,7.570421596,7.650143423,7.356357799,7.263727581,8.078811005,9.431445879
HNRNPK,7.760406504,8.542617559,7.972131453,8.52619826,9.078245565,8.148658163,8.824595672,6.659725598,7.669503432,7.552096916,8.613496145,9.297846371,8.348858041,8.320188398,9.030428008,7.229338472,7.3673867,8.624960598,7.87968863,8.507748755,7.118413733,7.946935615,8.543284038,8.490295098,8.926475673,7.801762134,7.011350848,7.084200016,6.937880073,7.636649051,7.4890313,8.111719426,8.150103937,8.506108938,7.320088769,8.233548598,6.208741495,8.529083981,8.164841264,8.366962292,7.11733076,7.286058287,7.568662278,7.87368493,8.608793036,8.38448647,8.357454581,7.916535728,8.727401806,7.372679726,8.575215153,7.310238518,6.895158192,8.647179017,7.215745737,8.101346252,6.914621833,7.184510479,8.675105069,8.435224281,8.90895456,7.774993159,7.447489042,7.622744195,8.338163817,8.302411864,7.128278378,8.108980593,8.233197879,9.872675017,7.784757747,7.748955254,8.13640968,9.219776636,7.930747254,9.374720995,9.487096924,8.616685233,8.688158039,9.621542919,8.66980292,8.952854179,8.320659038,8.484029695,9.080801262,8.065570864,7.663953268,8.516884256,7.267082281,8.782678228,8.640575036,7.913389197,7.847024703,8.823845855,9.306775464,8.649937727,8.297762881,8.613734863,8.682680441,8.630461045,7.611931815,5.371279233,9.153989979,8.247214537,8.884512531,8.817862811,8.688739307,8.496152294,7.106967877,7.378072846,7.877128428,7.929758773,8.350790144,8.314548892,8.343220769,7.769023641,8.157948022,8.270835585,8.78104717,6.821413357,8.215045389,7.593717799,9.093704022,8.123499468,8.081416821,7.811812122,8.513783587,8.537717615,9.034708463,9.396865797,8.195367785,8.419444602,9.011070586,8.350271194,6.849617197,9.379207943,8.385519873,7.256617012
HOPX,0,0,0,0,0,0,0,2.698726427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.555637856,0,0,0,0,0,0,0,0,0,0,3.670339106,0,0,0,0,5.771387234,0,0,0,0,5.458301597,0,0,0,0,2.278966969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.290956022,2.536831308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.843607211,0,0,0,2.173289074,0,6.599109593,0,0,0,6.253787334,0,0,2.930100307,0,0,5.095545793,0.866921644,0,0,6.249805483,0,0,0,5.511539812,0,0,0,0,0,2.531945876,0,0,0,0,2.542849829,0,0,0,0,0,0,0,7.750042579,0,0,0,0,0,0,0,1.971407539
HOXB2,0,3.52396638,0,3.394714434,0,0,1.218021865,2.479464571,3.608014878,1.333019019,4.376040429,0,0.657472439,0,0.767396163,5.445821773,0,2.065010629,0,0,0,0,0,2.075998872,0,0,2.81780684,0,0,3.095333593,1.785440359,1.182644864,0,3.285906493,1.794854779,1.083620263,0,0,3.904539907,3.084407549,0,1.196769419,2.432051645,0,0,0.979201184,2.760048102,1.089593683,0,0.973299584,0,2.231524733,2.138172025,0,0,1.054993178,0,0,0,0,0,0,0,0,0,1.525471481,4.140726897,2.202369975,0,2.280719901,0,0.559425052,0,0,0,0,0,0,1.018500134,0,0,1.13953262,5.721026531,5.082268986,2.529109202,2.028437898,0,0,0,0,0.908909981,1.11361516,3.653024541,0.762128193,0,5.353980804,1.941805348,0,0,3.832208269,2.582143017,0,0,3.739471087,0,1.615890692,0,0,0,5.918076076,1.300354584,0,0,2.109207501,0,0,1.76203243,0,0,0,1.947384912,3.124960624,0,0,2.790362754,3.602862168,4.302124116,1.521558866,0,0.847625526,0,1.264628145,0,3.10858533,1.210094392,1.723172052,0,1.971407539
HOXB3,0,2.170269518,6.286070014,5.622553201,5.787092344,5.519130815,4.473813235,4.684554204,5.651064648,0,5.730807068,5.787256354,6.375075524,7.442447588,0,8.115765729,6.000904951,0,5.320352748,0,5.837981743,3.891939508,4.154373501,5.43128566,6.007818063,4.36669892,5.859256871,4.501251354,0.902014036,6.216461802,5.744580623,6.14661236,4.261536325,0.90715284,5.545084975,4.059257242,1.441687581,4.282056886,7.108113305,3.611529708,5.60310872,3.658819493,5.966994405,2.026050551,0,4.352438717,3.038740887,6.742076917,4.403793451,0,2.595777845,6.103613237,0,3.265958978,0,6.128955561,5.903829663,4.648304435,6.44752701,7.03852592,3.737520362,5.263016653,3.867026034,6.177791309,1.134617276,4.668147589,0,5.301040384,6.220901057,0,0,5.567448604,6.323508093,0,5.922245206,6.765324949,0,3.982757638,6.511767197,4.730165304,0,6.690182311,1.700388445,5.269581064,6.591605115,6.433955923,5.78573416,7.995972065,2.459675174,2.746761467,6.033158291,3.786867309,0,3.328818961,5.681791158,5.326657927,3.251807425,2.230749462,0.738730396,1.800377156,5.456124575,2.643990503,4.38643956,5.65562549,6.246886055,6.635638801,5.440188954,0.76242039,5.222014281,0,0,7.207655508,0,0,6.936665943,0,6.06119928,6.509834882,0,2.443467229,6.544859177,2.764020781,6.413476798,4.711488354,4.229134998,6.10502163,4.648350462,6.91589063,5.484197549,3.699668281,2.031738256,7.298510162,4.849959147,1.183260359,0,4.030698238,6.759858004,0
HOXB4,0,0,0.93069995,3.570110376,3.421002708,0,0,0,0,0,0,0,0,0,0.767396163,0,0,0,0,0,0,4.657032162,0,0,0,1.02373668,1.448281338,0,0,0,2.021140641,0,0,0,1.160212043,0,0,0,0,0,0,0,0,0,3.65676071,0.979201184,0,0,0.705085262,1.959761752,0,0,2.964228308,0,0,0,1.535616886,0,1.750070108,0,0,3.39900911,2.048385949,0.964890504,0,0.955613297,0,0,0,0,2.643269989,0,0.673234448,0,0,0,0,0,0,0,3.064229671,0,0,0,0,0,0,1.146396568,0,0,0,0,0,0,0,0,1.275561684,0,0,3.653961052,0,0,0,0,0,1.615890692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.896973729,0,0,0,0,0,0,0,0,2.992732098,0,0,0,0,0
HOXB6,0,3.28579973,1.894760268,6.256630689,3.624023573,2.581188684,0,2.889019115,2.721731854,1.333019019,2.675881742,0,2.158304943,0,0,0,3.105727497,0,2.291495881,0,0,0,0,4.442991594,4.351417999,3.211857269,0,3.408835743,0,3.931162851,3.06034317,0,0,3.629873117,0,1.083620263,0.893899681,3.153162179,0,3.45628364,0,1.841778315,2.839001096,3.030346941,3.190396382,0,1.958692063,2.132386911,2.738155847,2.278966969,0,2.231524733,2.468857598,0,0,0,0,0,0,0,2.076808442,2.315761302,0,2.74663357,2.197490919,4.373472967,0.785300069,0,1.25609372,0,2.832290098,0,3.394281608,0,0,4.80490338,2.039648961,3.597821434,3.941234498,2.27237858,0,5.041601937,0,3.671528591,3.162465623,2.490427198,3.073844187,2.691805246,0,0,3.527510285,0,3.212757269,0,0,3.553598923,4.283336351,0,0,1.408933801,2.997039397,2.248053748,2.933233663,3.07277561,0,2.701923192,2.552752676,2.554426546,1.470865037,0,2.429932516,1.645131421,2.318716879,3.452019021,2.022575601,3.462214621,1.76203243,0,1.82853875,2.443467229,5.32345019,2.955749078,2.473415828,2.346663979,0,1.921228052,0,1.168218841,2.261593441,3.86711798,2.713728796,0,0.820140516,0.709685002,0,2.835447328,0,1.971407539
HOXB7,0,3.728329965,3.1946868,5.100603903,5.533481018,1.804120827,1.218021865,5.460182361,4.800324391,0,4.865241114,3.881377365,4.590522469,0,5.308183008,5.445821773,4.870827341,0,4.972046965,6.344762571,0,2.157476546,3.433505656,4.399325951,0,0,3.507536717,0,0,2.376429193,4.319479522,0,0,1.696382306,5.049084907,0,0,0,4.759568553,0,0,2.62504411,3.995344429,4.425317636,5.115853143,0.979201184,0,0,4.779791431,4.270767366,1.006498931,4.372506605,3.86870229,0,1.100674783,1.657830567,3.631656352,4.833740262,6.095225048,3.904802437,0,3.028854064,3.759764907,0,4.638772525,1.525471481,3.882209116,0,0,1.193078592,3.408758749,0.559425052,1.477124086,1.716511928,0,4.243240032,4.297831804,2.492647502,3.492893736,0,3.858086037,4.98545298,0,1.743478545,0,0.823673724,5.766197771,0.684191757,4.248209521,0,4.573997612,0,3.449620684,6.03841704,6.241278579,0,1.275561684,1.308891468,0,4.865025214,0,4.189975693,1.683802003,0,0,1.248942687,2.370768677,0,4.587031637,2.643540348,0,4.113771612,4.918949547,6.445893826,2.022575601,7.176300536,2.803101002,0.920189758,5.295597104,0,4.576158371,4.411089761,0,4.3751269,2.790362754,4.919733758,0.919742664,4.431697912,2.006498451,0.847625526,0,5.762901652,0,4.022432432,3.752589485,3.11637327,0,2.77463117
ID1,0,0,0,0,2.901862826,0,0,0,0,0,0,2.762142027,0,0,0,0,1.061360965,0,2.041420916,0,0,0,0,0,0,0,0,0,3.718243273,4.400811002,1.15290919,0,0,0,0,0,0,0,0,3.084407549,0,0,0,0,1.111853327,0,0,0,0,0,0,0,0,0,0,1.054993178,0,0,0,0,1.383698508,0,0,0,0,0,0,0,4.448056683,0,0,0,0,2.478406908,0,5.47984265,0,0,0,0,2.227157634,4.715071013,0,0,0,1.344723081,0,0,2.459675174,0,0,0,1.408299655,0,0,0,0,0,0,0,0,0,0,0,3.14590523,0,0,0,0,0,0,0,0,0,0,0,1.76203243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.527937172,4.917195553
IFI16,4.516997375,7.583523392,8.886094394,0.748305427,6.785550954,6.219532601,7.243481068,9.283663642,7.637502539,9.874041821,9.476656279,6.382362783,6.292053769,10.42885529,8.314660536,8.342786852,6.610789147,5.405884073,8.542376196,5.362404764,10.84173216,9.293476776,8.015178114,8.680290027,8.418563423,8.19158366,7.851337361,8.996331912,6.338387054,8.3240386,7.398551189,8.315065044,9.196772215,0.90715284,7.575811698,7.519271934,7.82313943,8.975277882,8.102875161,8.306024129,6.866350128,9.513950269,8.62547382,9.05415537,6.362578154,7.637785608,9.53998609,8.486314836,8.814940776,6.792063253,8.934187975,6.724220713,9.50294115,8.797347808,3.989061486,1.054993178,8.007765659,9.215122893,8.712126616,9.30363026,9.116698477,9.898199859,7.547625725,9.442752244,9.432255804,8.222993071,8.470729694,1.766198708,8.527272141,8.339345445,8.953565276,6.98598442,0,6.816619581,9.071552746,1.191022482,9.019771399,9.70240138,2.615665562,6.414240062,6.335907773,5.8913266,7.62014614,4.866956704,7.763793585,7.7118036,5.933174435,8.5638154,9.091732513,5.140472886,9.431585843,4.29439666,9.476389495,0.762128193,10.3481545,9.279896711,10.0219519,7.320416381,4.200565088,8.420110119,8.593187207,9.393013697,7.377568946,8.350444531,8.799500297,5.610378546,8.669083794,9.28912377,6.202556784,7.961559868,1.300354584,2.184684151,7.169206796,6.158539459,4.783809585,6.010508014,8.60163891,7.825584993,7.986555274,8.967023778,8.860296892,8.078782485,8.775257505,6.688763359,5.993927772,8.790548319,4.235386751,7.595228503,8.619743851,6.073853348,8.8839086,8.835615078,9.227216328,8.389564659,9.622016004,9.847564651,5.530119815,10.39590519
