X,H9_24h_013,H9_24h_014,H9_24h_015,H9_24h_016,H9_24h_017,H9_24h_018,H9_24h_019,H9_24h_020,H9_24h_021,H9_24h_022,H9_24h_023,H9_24h_024,H9_24h_025,H9_24h_026,H9_24h_027,H9_24h_028,H9_24h_029,H9_24h_030,H9_24h_031,H9_24h_032,H9_24h_033,H9_24h_034,H9_24h_035,H9_24h_036,H9_24h_037,H9_24h_038,H9_24h_039,H9_24h_040,H9_24h_041,H9_24h_042,H9_24h_043,H9_24h_044,H9_24h_045,H9_24h_046,H9_24h_047,H9_24h_048,H9_24h_049,H9_24h_050,H9_24h_051,H9_24h_052,H9_24h_053,H9_24h_054,H9_24h_055,H9_24h_056,H9_24h_057,H9_24h_058,H9_24h_059,H9_24h_060,H9_24h_061,H9_24h_062,H9_24h_063,H9_24h_064,H9_24h_065,H9_24h_066,H9_24h_067,H9_24h_068,H9_24h_069,H9_24h_070,H9_24h_071,H9_24h_072,H9_24h_073,H9_24h_074,H9_24h_075,H9_24h_076,H9_24h_077,H9_24h_078
APC,6.242825596,7.166243857,0,3.383093538,2.691718587,7.715003433,4.293161958,3.171283592,4.352627792,7.598852805,2.31599042,0,7.53515622,6.968633413,7.120902563,8.261989434,6.05493603,6.118426309,7.058643366,6.433802427,5.945807902,7.162348355,0,4.479046506,5.186804302,0.945817234,7.157526171,4.829939062,0,6.622404152,3.715827963,6.169305458,0,3.721201219,7.993392749,0,0,6.542160655,7.784222894,1.255599283,2.195531862,7.798630239,5.130022632,0,0,2.91666072,5.721357742,0,1.904852802,2.840749002,0,8.79500796,6.195052892,5.665685923,8.487870129,0,7.364147647,6.655093202,5.70062348,8.590637668,7.565283949,7.0872377,0.714551015,4.332689891,2.656572143,4.693962468
APEX1,6.097112637,6.410562281,8.634394283,7.291145601,7.793427297,3.792349861,8.235935177,7.98533677,8.928333766,7.654784377,8.590035086,8.935280935,8.270850079,8.393098103,4.728564693,7.850084433,7.512300921,8.286232146,8.024722058,8.257954488,8.778687964,7.453801253,8.176658005,8.347218192,8.241734658,7.784819992,6.548553813,9.056021381,7.698447716,8.43434592,8.5406157,9.042819596,9.138204729,6.603152345,8.234199036,7.055512328,8.491459476,7.292185714,8.042233872,8.678893405,7.005274512,8.460173871,9.368505871,7.627798655,6.720662659,9.49873004,8.609021881,6.740782716,6.738974671,9.636255286,8.456824389,7.891927579,8.429940165,8.642114719,8.031447224,7.55271878,4.043703488,7.054948912,8.011462965,7.58226364,7.828961678,8.434984758,7.717952618,8.578935497,8.027691659,7.652245254
APOBEC3C,0,5.582518781,0,0,3.95997433,0,0,1.379452322,1.844259689,0,0,0,0,2.22693869,0,4.021873579,2.005843443,4.528564907,0,0,0,5.205090338,0,0,0,0,0,0,0.910448543,0,0,0.785905677,0,0,5.090469094,0,0,3.743820242,1.136919471,0,6.045844625,1.753486372,0,5.137827414,4.330304426,0,0,0,0,0,0,5.794697842,1.108518111,0,0,2.445351288,4.355259683,0,0,0,0,0,0,1.376186086,0,5.930779045
AR,1.677166089,0,0,0,2.550933901,0,2.299861726,0,3.077541577,0,3.601993445,0,0,1.506245367,3.401485562,0,0.522618482,1.228142107,1.990324268,0,0,0,2.412808691,0,0,3.705053029,2.717818157,5.351727939,0,3.263656997,0,0,5.700988044,7.6612785,4.302139465,0,0,5.767160804,0,0,3.262042815,3.749700526,0,0,0.678424673,0,2.89734151,0,0.75375575,0,0,0,3.837616927,0,0,0,0.956734126,0,0,0,0,0,1.833452723,2.067509538,4.002861956,0
ARFGAP3,0,5.402193893,1.223194084,0,4.55151982,3.601830239,0,0,0,0,0,0,0,0,4.785280058,0,0,0,4.941699298,0,0,0,0,5.026112657,2.277854397,0,3.603779738,0,0,0,0.535662391,0,0,0,0,6.642157393,6.788679114,4.773114052,0,5.631343207,0.779147916,2.911162437,0,0,0,0,0,0,0,0,0,0,0,0,1.320738411,0,4.408004683,0,2.36843481,0,0,1.34133098,0,0,3.537378366,0
ARID3A,5.174003808,4.911194628,1.223194084,0,4.434947522,4.486500132,5.432429524,8.238666286,4.956311631,5.431210664,4.210205013,3.3126474,5.131988538,4.278503585,6.131230506,4.576924242,5.235004672,4.205373049,5.826514931,5.761598083,4.712051921,4.867794123,4.499877855,1.303953219,4.225582221,5.844869584,4.906816205,4.784323175,4.775519098,2.296009312,4.103151182,3.810971394,4.23702204,5.01940509,0.565785728,5.037009278,3.096907346,4.234229184,5.719227843,2.368206604,5.432506909,4.69505287,2.032996767,5.05425492,2.926816223,6.314906037,6.093545194,3.127729899,2.698088162,7.506274153,4.081201589,4.020876634,2.879573024,6.200628977,5.373103903,3.537239636,3.725942424,6.094605562,5.164781272,5.530972313,3.844709461,6.717755479,3.119633295,0,3.298983559,4.673312541
ARID4B,7.707533342,7.595197281,8.845801959,6.343073752,4.263241239,6.866615024,5.90355858,1.379452322,5.791929067,1.543893283,0,5.256739834,5.941064648,5.275539952,7.382208434,8.123466348,6.520181533,4.614497507,3.845959988,1.162476288,6.58057183,6.541179083,3.15855524,2.781607438,0.823677927,2.713185166,5.646542505,3.164619584,1.863498198,7.163493392,0.925403335,0,7.568131997,2.759894703,7.919203643,8.223259963,3.096907346,5.16454885,0,6.807522981,8.845025706,5.597962444,6.076593837,7.131877704,4.460329404,8.416375721,7.282109027,7.210146488,0,9.730582503,5.106239377,7.686156263,7.311310836,2.933910093,2.457809079,4.362116576,8.517861127,1.153363174,6.068137998,7.532774724,3.572933776,6.527696876,5.10142179,2.067509538,6.705990398,0
ARNT2,0,0,0,0,3.336479982,0,0,2.537317836,0,0,0,0,0,5.663880857,0,0,0,0,3.197939768,5.728283769,0,1.190124312,0,0,0,0,0,5.660273194,0,2.509232007,4.633965932,0,0,0,0,0,0,0,0,0,0,4.556513801,0,0,0,0,0,0,0,0,1.760841356,0,0,0,0,0,0,0.688994117,0,0,0,0,0,0,0,0
ASB4,3.373431567,0,1.875489338,3.560822447,1.154228047,0.892981304,0,3.407376572,2.901154493,1.599675447,1.72599807,2.111421268,1.54174486,2.412954869,1.345589464,1.857670708,1.577423841,1.435717608,2.433074055,3.205245913,3.342523141,2.350926286,0,1.947588669,2.878093005,1.914402426,2.345867709,1.497509927,0.827066368,2.15109815,0,3.274352446,2.066514775,0,1.086547815,2.471801048,3.624538528,1.049091903,4.271306349,2.519021281,1.265190418,1.980707852,2.088250839,2.602630842,2.729372263,0,0.719834582,3.171768203,0,5.763355755,2.897276068,1.380450224,2.232651441,1.15125294,1.998512741,1.909535481,3.69797391,3.745730662,1.351072935,0,4.970378591,3.122274307,2.142865339,4.025727123,4.081823448,0
ASB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH2L,7.62464125,3.722343451,5.358920428,0,0,0,6.191906899,0,4.56489678,3.117027439,5.865529883,7.003784987,5.092521578,4.278503585,7.427454501,0,6.557892997,4.900804608,4.291522032,4.095871253,1.605998496,0,4.012376564,0.794538618,0.823677927,0,7.857739269,0,0,0,5.682462265,0,2.883126331,6.012556806,2.411898288,5.409209291,2.256380766,6.265485864,5.577890182,0,0,5.409566322,0,0,0,0,0,6.092679671,0,0,0.84504359,0.849397268,4.158497538,0,0,0,5.143363189,3.432230586,3.221507788,2.08106896,2.393198636,0,0,2.884255879,0,0
ASXL1,0,3.615946296,2.323050297,5.692170992,1.495835988,1.440430968,0.575809162,1.379452322,3.022259108,6.46741546,4.810461323,4.978695136,4.094791719,1.506245367,0,3.432958517,5.198437746,2.947339905,3.602853062,0,3.488041652,2.276547909,1.957320383,0,5.186499317,0,2.94383237,0.91473152,6.24302435,2.859484413,0,3.276510411,0,0,0,1.435767022,6.394275741,0,5.299079972,3.511907361,2.750378401,2.36471717,0.599720979,4.007613873,1.138016612,0,5.324752582,5.305007483,5.301071658,1.611002188,5.67470083,6.489055794,4.241971941,4.984334268,0,2.304415281,0,4.739344894,2.36843481,3.418678181,1.77837867,2.670947747,6.789289601,4.813976598,2.656572143,4.013149244
ATP11B,0,5.104988388,1.223194084,6.774529412,4.351647385,0,4.673876389,0,7.859300529,0,0.844701216,0,0,0,0,5.163676673,0,7.106038807,1.314192708,1.162476288,0,6.846411059,0,0,0,0,0,2.657939314,0,0,3.03451878,0,0,0,5.325434985,0,0,5.497092506,0,6.877298859,1.950269821,3.469091097,5.534723507,5.05425492,2.000705449,0,0,4.164507175,0,0,7.181397471,0,3.511741858,0.595414586,0,4.644522307,0,0,5.595840592,0,0,0,3.788628184,3.166564688,6.250939942,6.077593263
ATRX,9.102306433,9.840371429,9.500555608,7.043125924,7.329250115,10.45961148,8.294334102,8.377431989,9.548913913,8.422640398,9.20447493,7.530429913,8.2648708,9.669927516,6.109184253,7.029125485,9.300829262,8.067098562,8.841980954,8.763028316,8.029438696,7.162606508,5.395352563,8.023956506,9.484270049,7.43370838,9.558677321,7.394944865,8.761163632,3.987475756,8.886046851,9.00535432,5.471408671,7.428607683,7.061056717,0.664912808,7.249033258,8.326399328,9.156277868,8.74047699,8.027434227,9.438606774,9.450556102,8.323470646,7.144572183,7.965418419,8.834806412,8.086476242,5.325964632,11.64027242,8.437071767,9.040195618,8.586564726,4.300064085,5.896500153,4.538098123,6.063153124,9.291462178,6.921601747,9.833206549,7.857060137,8.061484279,8.362864093,7.383397429,9.681503983,6.111849979
BAMBI,8.642327731,7.650213946,7.019758918,7.930017504,7.332566743,8.200738161,7.443586648,8.025177021,6.709117722,6.336731977,5.458716975,8.077211842,7.937670142,7.908858106,4.597241597,7.333852068,8.027282805,6.920936213,6.684177116,6.393991294,7.583354215,8.37294416,7.855939969,6.233393366,5.818484783,8.524365717,3.846899549,7.315554636,8.050871754,8.098411435,7.02512502,7.755420299,7.82702486,7.233380864,6.142169336,7.131989282,8.521434057,7.094857289,6.188768291,8.205778692,6.522616021,7.372312885,9.04219507,8.151219469,7.965543324,8.330904358,6.61809378,7.258217281,9.110119444,8.621792853,4.542068106,7.716004779,7.352772415,6.961557525,7.789188496,7.525122983,5.004160281,5.141066128,6.994136314,7.481527699,8.255398202,5.926477239,7.76713156,8.516431621,7.274770462,8.444851843
BCL11A,0.792991764,6.415962923,5.963312085,3.210068838,2.38990856,0,5.239874996,8.349082998,5.823126757,0,1.760296891,6.397031663,4.094791719,6.269415935,8.707438007,9.688754427,4.381535811,5.892357261,5.900189197,1.162476288,7.26357421,4.867794123,4.135826321,7.411126392,4.722854405,1.512256973,3.954643508,5.734110045,1.863498198,7.494588765,0,4.411214849,7.582604028,3.649263217,7.123945346,6.342469398,2.256380766,4.928014076,6.782919192,5.070822188,1.654596393,3.545073475,4.211354703,2.97391711,5.138417336,6.314906037,1.197856814,6.672016492,7.31318563,0,2.316607764,0,1.727912193,1.513284238,4.355665464,0.917864406,4.723745361,2.401934489,6.700036306,6.353678847,1.147438398,5.752690165,0,5.236633577,6.889978535,3.860332907
BCL11B,0.792991764,4.0012622,0,1.123755766,0,0,0,0,0,0,0.844701216,0.802942988,0,5.053641893,5.085458162,3.108058879,1.799276277,1.228142107,0.801833881,0,0,1.833273897,0,0,0,2.903801503,0,0,0,0,0.925403335,2.910266251,5.735935366,0.715011636,2.411898288,0,0,3.657872317,5.903912655,0,5.735428515,2.663658542,0,2.146763607,4.154693037,0,2.901095073,0,0,0,0,2.890249049,0,2.083774523,0,0,0.556263231,1.504100302,5.143695435,0,0,0,0,0,0,5.61894986
BCLAF1,9.517259848,8.95837307,8.799060992,10.5391318,8.217356715,7.772680428,8.175366006,6.715759294,8.837970014,9.608706912,7.841855068,7.695521887,9.32132347,8.756697743,7.087464258,9.194099209,8.824720847,9.460556603,9.159384517,7.144637465,8.513771196,9.340623551,7.866450648,7.396357723,8.209676652,8.170659791,9.347982833,9.857279758,6.648830517,8.353919884,9.388913221,9.273178331,10.02723205,9.10874384,10.44032367,9.556510679,8.397607515,8.370973816,8.837744533,7.551775525,8.879040623,8.445084531,7.115025081,9.747392549,9.921521673,9.656010937,9.967858954,11.11294978,8.622708071,12.20873317,8.450565765,7.332252939,6.737463797,9.11402236,8.281111372,9.327212157,9.383028891,9.18660468,8.765126208,9.144021384,8.204957123,9.170966734,8.42695167,6.154124288,8.762444201,8.270521674
BHLHE40,3.826594123,0.954847907,1.223194084,3.539035812,3.247109954,0,0,5.179403919,0,0,3.504188928,0,4.829941486,7.396634753,0,0,1.991516232,0,4.254919381,7.163703509,1.605998496,1.833273897,4.827427905,6.825047228,6.070656871,0,4.3196051,5.038605422,0.910448543,3.263656997,3.963775001,6.267504109,6.575714247,0,0,2.315838333,0,0,3.699451183,0,4.622453728,4.519695714,3.287206112,4.829172764,1.486031519,0,3.022082783,0.569283601,4.431977355,5.529885642,0.84504359,3.038389169,2.879573024,5.220112316,4.457538478,6.275774752,4.559606172,2.560047912,4.72810075,6.660600507,5.9189199,2.273403805,2.276745188,0,6.552181769,0
BLM,6.734758256,7.318185051,1.223194084,7.055967305,7.960917835,1.440430968,7.564965499,6.648251778,6.709117722,8.486298349,1.760296891,4.944214646,3.250419625,0.941368455,7.680146331,0,7.341893536,4.152438084,6.915146787,0,8.37564029,4.803030909,0,5.319390201,8.282864924,5.891312825,5.51156332,3.922530059,3.292236655,7.409001317,8.054299639,7.271696122,6.311846246,8.662286577,7.815385452,1.09547869,5.534029322,5.497092506,8.197623289,0.760290405,4.184820452,7.383882829,7.291473551,5.824843684,5.06268857,0,0,5.681275096,5.399104446,1.611002188,7.359709146,3.789517315,4.368495201,6.288116988,5.207523653,7.797271196,6.161249638,9.213274364,5.771066903,2.899642052,4.553436746,4.985363578,3.318116406,4.213653339,4.153822789,5.740706095
BMP2,1.677166089,6.779411176,5.800119224,7.973982877,7.775121515,0,5.33059629,9.717488498,0.720428743,7.274981918,8.27151207,5.7313449,7.205695312,1.506245367,0,1.062735244,8.569643752,6.245258193,5.196888507,0,6.981501449,7.738851467,4.404889587,6.581251994,0.823677927,1.512256973,0,0,7.603763971,4.361408494,6.440869917,0.785905677,6.100161736,7.287639828,3.036134323,1.435767022,7.249033258,4.731643304,6.25821553,0.760290405,8.219699908,6.82854123,7.065865775,6.726934046,3.888402264,5.332914846,6.988780014,6.513134906,6.660806025,5.24730145,5.866289073,3.408844491,7.507411251,5.570869187,8.638790749,4.790745722,0.556263231,2.021762357,4.756157994,7.025120111,0.684909474,1.722804636,8.14809652,8.179123017,10.02966664,5.994103389
BMP4,0,1.931730637,0,0,1.146340359,4.692275395,6.017180719,0,3.990632464,0,0,0.802942988,1.532336298,2.22693869,5.255680539,2.913287516,0,0,6.344794759,0,0,0,6.640338309,0,0,0,0,3.164619584,0,2.509232007,0,0,0,7.486521435,5.762919398,0.649311809,0,0,2.535166659,4.447245025,0,4.231734119,0,0,0,0,4.943062687,0.569283601,0,0,0,0,0,0,4.457538478,0,0,0,0,0,0,2.670947747,0,3.605338622,0,3.858719972
BMPER,0,0,0,0,0,0,0,2.071553912,0,7.448731487,0,0,0,0,0,0,0,0,0.801833881,0,0,0,5.467638241,8.438626091,0,0,1.081172069,0,0.910448543,0,0,1.66563066,0,0,0,0,3.624538528,7.175555451,0,0,0,4.851387009,3.74094513,3.49633426,6.80828705,5.550184791,6.035246898,0,0,6.188092028,0,0.849397268,6.396593088,0,0,0,0,0,6.440927279,0,0,0,0,5.236633577,8.202425839,0
BMPR1A,6.413735209,6.953348604,3.171171839,3.537571605,7.223455848,6.480135726,4.617335755,7.415993207,7.324875559,4.545414639,6.274368022,5.756403491,6.24327457,6.823782044,6.315810653,1.062735244,5.43304209,8.037656615,6.50603652,8.850779612,6.679787253,7.516040875,8.04527218,6.160157169,5.629487152,6.879108372,4.675059032,4.739609915,6.243526904,8.4636659,0.535662391,7.825721929,7.661978147,2.072957197,7.910591927,7.892040254,5.411326231,6.956446352,6.651426201,8.025100787,5.735428515,8.884691465,8.277306329,6.471924173,6.518205951,4.765739123,6.579086791,5.895743136,5.923562221,8.193568861,7.621278846,5.664380305,6.376656371,7.54311093,2.805655073,7.162800569,1.934604684,7.86404798,4.578995042,8.772191905,8.849733649,8.572237176,8.242718879,5.702269522,4.290472993,6.546755557
BNIP3,2.924855135,0,0,0,5.665455053,0,0,7.012743738,0.638766714,0,0.844701216,7.459384644,0,3.696498641,1.04473905,0,0,5.522897286,5.074928913,1.162476288,1.605998496,0,0,0,5.091963455,0.945817234,6.200143876,2.439913252,0,3.266005048,5.74427105,0,0,7.233319358,0,6.22678943,5.277208756,6.919987552,0,0,0,0,4.28948365,0,2.202369975,2.91666072,1.197856814,0,3.811199499,2.840749002,6.507541737,3.611700298,2.335380866,6.792399142,0,0,5.902241266,0,0,0,6.711781226,0,5.890653225,0,1.469075193,1.057895644
BRWD1,7.02991107,5.863960539,0,6.188386137,5.501227827,6.834474492,6.142676381,6.625028574,3.421569948,4.425775282,2.716167704,6.399197147,1.940658465,4.134736823,3.539770729,2.688055165,0.994349702,1.907826991,6.841036453,8.373545069,6.968295206,2.889204868,6.88855015,4.698983391,7.187287971,7.166384863,4.960018847,4.225303017,6.966105119,3.756502223,4.851782472,3.88355365,6.790413665,0,6.683710619,6.609272946,3.624538528,5.940978756,0,6.904458056,5.735428515,5.368744085,4.925008968,5.05425492,5.73427719,8.416375721,5.338659165,5.73481227,7.997583519,2.840749002,6.118597186,8.933004449,6.396593088,0,8.700194098,5.787858343,8.306948146,7.829715525,6.405934453,0,5.814850327,6.858462617,6.259926802,4.213653339,10.24137749,7.001378696
BTG2,0,0,0,0,0,0,0,0,0,0,0,1.693306027,0,0,0,0,0,0,0,0,4.511173558,0,0,0,0,0,0,0,0,0,0.535662391,0,0,0,0,2.967360138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556263231,0,0,0,0,0,0,0,0,0
BUB1B,6.744648921,0,2.323050297,7.484214102,5.12839536,8.562563907,0.986248122,9.217301408,6.607279924,5.611617299,7.444816643,5.22864992,0.96071141,7.903045279,4.785280058,8.777235338,4.764669507,6.648985677,6.249348421,0,0,4.664070714,4.903757548,7.991013205,6.407255063,0,0,2.657939314,1.464281192,2.045715389,2.953100096,0,7.103055677,2.616351028,6.578910157,3.859108833,5.849716697,4.688945094,0,5.341573019,0,7.632602735,8.523489417,6.998289267,7.23842153,2.91666072,3.989215606,6.949097077,8.325805893,0,0,0,6.865721539,6.615773443,7.346756978,0,3.443549337,8.407369648,7.079778517,0,5.905382364,2.834994106,4.034157486,4.813976598,8.920040903,1.661651652
CA2,6.920732364,6.677157896,4.299011879,1.747718472,9.915264149,0,4.69997621,2.537317836,7.89506831,8.90091451,8.199125299,9.431606011,7.436470268,8.104623755,3.888332309,2.688055165,8.611526586,8.109831645,6.2064272,7.496413568,9.633331753,1.833273897,9.304841012,8.49258043,1.344728939,7.405925806,7.452146102,7.757321582,3.006663969,8.662821701,8.633308709,9.746711901,10.50962689,8.397221726,8.708518755,1.09547869,9.814011102,9.069216369,9.072001465,0.760290405,8.352442498,8.84898098,9.42202755,8.932403042,7.730216938,7.114473546,9.144195734,8.648466097,7.762519363,3.204541177,6.275130481,2.072789116,9.50347606,8.274418389,8.432650611,8.485850373,8.423894223,1.504100302,8.242632737,6.234917811,5.948603429,8.114226222,9.549998218,8.16314852,9.361931772,7.694187505
