"Gene1","Gene2"
"APEX1","DECR1"
"APEX1","NPM1"
"APEX1","HIF1A"
"APEX1","RFC3"
"APEX1","DECR1"
"APEX1","POLB"
"APEX1","TP53"
"APEX1","NPM1"
"APEX1","XRCC6"
"APEX1","ILF2"
"APEX1","EXO1"
"APEX1","PARP1"
"APEX1","YBX1"
"APEX1","RFC3"
"APEX1","XRCC5"
"APEX1","HIF1A"
"AR","SIRT1"
"AR","CCND1"
"AR","NR3C1"
"AR","KAT7"
"AR","STAT3"
"AR","EGF"
"AR","CDK6"
"AR","TP53"
"AR","PA2G4"
"AR","DYNC1I1"
"AR","EZH2"
"AR","PGR"
"AR","CTNNB1"
"AR","XRCC6"
"AR","ZEB1"
"AR","ZNF521"
"AR","DCAF6"
"AR","PRKACB"
"AR","SRC"
"AR","NRIP1"
"AR","TGFB1I1"
"AR","NR3C1"
"AR","SRC"
"AR","DYNC1I1"
"AR","WWTR1"
"AR","NR0B1"
"AR","SIRT1"
"AR","DCAF6"
"AR","CTNNB1"
"AR","ZNF521"
"AR","RNF14"
"AR","KAT7"
"AR","PA2G4"
"AR","XRCC6"
"AR","TP53"
"AR","ETV1"
"AR","EGF"
"AR","NKX3-1"
"AR","CCND1"
"AR","PRKACB"
"AR","STAT3"
"AR","TPD52"
"AR","CDK6"
"AR","PGR"
"AR","ZEB1"
"AR","EZH2"
"AR","NR0B1"
"AR","NKX3-1"
"AR","RNF14"
"AR","TGFB1I1"
"AR","NRIP1"
"AR","ETV1"
"AR","WWTR1"
"AR","TPD52"
"ARID3A","TP53"
"ARID3A","TP53"
"ARID4B","ATRX"
"ARID4B","RBBP4"
"ARID4B","DNMT3B"
"ARID4B","DNMT1"
"ARID4B","SAP18"
"ARID4B","DNMT3B"
"ARID4B","DNMT1"
"ARID4B","ATRX"
"ARID4B","RBBP4"
"ARID4B","SAP18"
"ARNT2","HIF1A"
"ARNT2","HIF1A"
"ASB4","VHL"
"ASB4","RNF138"
"ASB4","COMMD10"
"ASB4","SH3RF1"
"ASB4","LRR1"
"ASB4","ASB9"
"ASB4","WWP1"
"ASB4","GLMN"
"ASB4","CDC20"
"ASB4","VHL"
"ASB4","SH3RF1"
"ASB4","COMMD10"
"ASB4","RNF14"
"ASB4","MEX3C"
"ASB4","CUL1"
"ASB4","RNF19A"
"ASB4","RNF138"
"ASB4","NEDD4"
"ASB4","LRR1"
"ASB4","CUL1"
"ASB4","GLMN"
"ASB4","CDC20"
"ASB4","ASB9"
"ASB4","RNF14"
"ASB4","MEX3C"
"ASB4","NEDD4"
"ASB4","WWP1"
"ASB4","RNF19A"
"ASB9","VHL"
"ASB9","RNF138"
"ASB9","COMMD10"
"ASB9","SH3RF1"
"ASB9","LRR1"
"ASB9","ASB4"
"ASB9","CUL1"
"ASB9","GLMN"
"ASB9","CDC20"
"ASB9","WWP1"
"ASB9","GLMN"
"ASB9","CDC20"
"ASB9","VHL"
"ASB9","SH3RF1"
"ASB9","COMMD10"
"ASB9","ASB4"
"ASB9","RNF14"
"ASB9","MEX3C"
"ASB9","CUL1"
"ASB9","RNF19A"
"ASB9","RNF138"
"ASB9","NEDD4"
"ASB9","LRR1"
"ASB9","RNF14"
"ASB9","MEX3C"
"ASB9","NEDD4"
"ASB9","WWP1"
"ASB9","RNF19A"
"ASH2L","POLR2I"
"ASH2L","APC"
"ASH2L","LEF1"
"ASH2L","MEIS1"
"ASH2L","POLR2D"
"ASH2L","TCF7L1"
"ASH2L","CTBP1"
"ASH2L","RUNX1"
"ASH2L","POLR2G"
"ASH2L","HCFC1"
"ASH2L","EZH2"
"ASH2L","HOXB4"
"ASH2L","HOXB2"
"ASH2L","MEIS1"
"ASH2L","RARG"
"ASH2L","APC"
"ASH2L","POLR2G"
"ASH2L","WDR5"
"ASH2L","RUNX1"
"ASH2L","TLE1"
"ASH2L","SPP1"
"ASH2L","HOXB3"
"ASH2L","POLR2D"
"ASH2L","TLE3"
"ASH2L","TLE2"
"ASH2L","PBX1"
"ASH2L","KDM6A"
"ASH2L","CXXC1"
"ASH2L","POLR2H"
"ASH2L","RBBP4"
"ASH2L","LEF1"
"ASH2L","POLR2I"
"ASH2L","HOXB4"
"ASH2L","POLR2F"
"ASH2L","POLR2K"
"ASH2L","HOXB2"
"ASH2L","CTNNB1"
"ASH2L","NCOA6"
"ASH2L","EZH2"
"ASH2L","TCF7L1"
"ASH2L","POLR2A"
"ASH2L","CTBP1"
"ASH2L","HCFC1"
"ASH2L","PRMT6"
"ASH2L","POLR2K"
"ASH2L","CTNNB1"
"ASH2L","WDR5"
"ASH2L","PRMT6"
"ASH2L","RBBP4"
"ASH2L","NCOA6"
"ASH2L","TLE1"
"ASH2L","KDM6A"
"ASH2L","SPP1"
"ASH2L","RARG"
"ASH2L","CXXC1"
"ASH2L","POLR2F"
"ASH2L","PBX1"
"ASH2L","POLR2H"
"ASH2L","HOXB3"
"ASH2L","TLE3"
"ASH2L","TLE2"
"ASH2L","POLR2A"
"ASXL1","DNMT3A"
"ASXL1","SETBP1"
"ASXL1","U2AF1"
"ASXL1","NPM1"
"ASXL1","HCFC1"
"ASXL1","EZH2"
"ASXL1","FOXK1"
"ASXL1","RBBP4"
"ASXL1","SETBP1"
"ASXL1","U2AF1"
"ASXL1","RBBP4"
"ASXL1","SRSF2"
"ASXL1","DNMT3A"
"ASXL1","FOXK1"
"ASXL1","NPM1"
"ASXL1","EZH2"
"ASXL1","PHC1"
"ASXL1","HCFC1"
"ASXL1","SRSF2"
"ASXL1","PHC1"
"ATRX","TRIM28"
"ATRX","ARID4B"
"ATRX","TP53"
"ATRX","EZH2"
"ATRX","BRWD1"
"ATRX","BLM"
"ATRX","XRCC6"
"ATRX","XRCC5"
"ATRX","DAXX"
"ATRX","RAD51"
"ATRX","ARID4B"
"ATRX","TRIM28"
"ATRX","BLM"
"ATRX","XRCC6"
"ATRX","TP53"
"ATRX","BRWD1"
"ATRX","EZH2"
"ATRX","DAXX"
"ATRX","RAD51"
"ATRX","XRCC5"
"BCL11A","RBBP4"
"BCL11A","RBBP4"
"BCL11B","GATA3"
"BCL11B","SATB2"
"BCL11B","RBBP4"
"BCL11B","CUX1"
"BCL11B","EOMES"
"BCL11B","CUX1"
"BCL11B","RBBP4"
"BCL11B","GATA3"
"BCL11B","EOMES"
"BCL11B","SATB2"
"BCLAF1","ALYREF"
"BCLAF1","ALYREF"
"BHLHE40","RORB"
"BHLHE40","PER3"
"BHLHE40","STAT3"
"BHLHE40","RMI1"
"BHLHE40","BLM"
"BHLHE40","STAT3"
"BHLHE40","RMI1"
"BHLHE40","BLM"
"BHLHE40","RORB"
"BHLHE40","PER3"
"BMP2","BMP4"
"BMP2","FST"
"BMP2","SMAD2"
"BMP2","EGF"
"BMP2","SMAD6"
"BMP2","BMPER"
"BMP2","COL1A2"
"BMP2","GATA4"
"BMP2","ZFYVE16"
"BMP2","BMPR1A"
"BMP2","BAMBI"
"BMP2","ID1"
"BMP2","ZFYVE16"
"BMP2","ID1"
"BMP2","BMP4"
"BMP2","FST"
"BMP2","SPP1"
"BMP2","SMAD2"
"BMP2","BAMBI"
"BMP2","EGF"
"BMP2","SMAD6"
"BMP2","MSX1"
"BMP2","SMAD5"
"BMP2","GATA4"
"BMP2","CER1"
"BMP2","COL1A2"
"BMP2","BMPR1A"
"BMP2","BMPER"
"BMP2","CER1"
"BMP2","MSX1"
"BMP2","SPP1"
"BMP2","SMAD5"
"BMP4","NANOG"
"BMP4","HAND2"
"BMP4","SPP1"
"BMP4","GPC3"
"BMP4","MATN3"
"BMP4","NANOG"
"BMP4","FOXF1"
"BMP4","SMAD2"
"BMP4","BAMBI"
"BMP4","SMAD6"
"BMP4","MEPE"
"BMP4","OTX2"
"BMP4","MSX1"
"BMP4","WNT5A"
"BMP4","TBX3"
"BMP4","CTNNB1"
"BMP4","GATA4"
"BMP4","BMPR1A"
"BMP4","FN1"
"BMP4","BMPER"
"BMP4","ZFYVE16"
"BMP4","TNC"
"BMP4","ID1"
"BMP4","SHOX2"
"BMP4","FST"
"BMP4","MIA3"
"BMP4","POU5F1"
"BMP4","BMP2"
"BMP4","SOX17"
"BMP4","SOX2"
"BMP4","LEF1"
"BMP4","FBN1"
"BMP4","EOMES"
"BMP4","PRSS23"
"BMP4","STAT3"
"BMP4","SMAD5"
"BMP4","DKK1"
"BMP4","CER1"
"BMP4","PENK"
"BMP4","LTBP1"
"BMP4","GATA2"
"BMP4","FST"
"BMP4","TBX3"
"BMP4","POU5F1"
"BMP4","SMAD2"
"BMP4","FOXF1"
"BMP4","WNT5A"
"BMP4","STAT3"
"BMP4","TNC"
"BMP4","LEF1"
"BMP4","PRSS23"
"BMP4","SMAD6"
"BMP4","BMPER"
"BMP4","SOX17"
"BMP4","SOX2"
"BMP4","PENK"
"BMP4","FBN1"
"BMP4","GATA4"
"BMP4","ZFYVE16"
"BMP4","MIA3"
"BMP4","OTX2"
"BMP4","CTNNB1"
"BMP4","GATA2"
"BMP4","FN1"
"BMP4","HAND2"
"BMP4","BMPR1A"
"BMP4","DKK1"
"BMP4","BAMBI"
"BMP4","ID1"
"BMP4","BMP2"
"BMP4","CER1"
"BMP4","MSX1"
"BMP4","SHOX2"
"BMP4","GPC3"
"BMP4","SPP1"
"BMP4","MATN3"
"BMP4","LTBP1"
"BMP4","EOMES"
"BMP4","MEPE"
"BMP4","SMAD5"
"BMPR1A","BMP4"
"BMPR1A","FST"
"BMPR1A","SMAD2"
"BMPR1A","SMAD6"
"BMPR1A","GATA4"
"BMPR1A","ZFYVE16"
"BMPR1A","SMAD2"
"BMPR1A","BAMBI"
"BMPR1A","SMAD6"
"BMPR1A","GATA4"
"BMPR1A","ZFYVE16"
"BMPR1A","BMP4"
"BMPR1A","FST"
"BMPR1A","BMP2"
"BMPR1A","SMAD5"
"BMPR1A","CER1"
"BMPR1A","BAMBI"
"BMPR1A","BMP2"
"BMPR1A","CER1"
"BMPR1A","SMAD5"
"BRWD1","ATRX"
"BRWD1","ATRX"
"BTG2","CCND1"
"BTG2","EGR1"
"BTG2","TP53"
"BTG2","TP53"
"BTG2","CCND1"
"BTG2","CHAF1A"
"BTG2","KLF6"
"BTG2","EGR1"
"BTG2","CHAF1A"
"BTG2","KLF6"
"CBFA2T2","TCF4"
"CBFA2T2","PRDM14"
"CBFA2T2","PRDM14"
"CBFA2T2","TCF4"
"CBX3","TRIM28"
"CBX3","YAF2"
"CBX3","HIST1H1B"
"CBX3","RBBP4"
"CBX3","YAF2"
"CBX3","TRIM28"
"CBX3","CDC7"
"CBX3","HIST1H1B"
"CBX3","TFDP1"
"CBX3","GATAD2A"
"CBX3","EHMT2"
"CBX3","GATAD2A"
"CBX3","RBBP4"
"CBX3","TFDP1"
"CBX3","EHMT2"
"CBX3","CDC7"
"CCND1","MYBL2"
"CCND1","SFRP1"
"CCND1","APC"
"CCND1","YBX1"
"CCND1","SRC"
"CCND1","POU2F1"
"CCND1","RUNX1"
"CCND1","MYBL2"
"CCND1","GATA3"
"CCND1","SMARCD3"
"CCND1","MAML3"
"CCND1","MAMLD1"
"CCND1","CCNA2"
"CCND1","WNT5A"
"CCND1","CTNNB1"
"CCND1","EGR1"
"CCND1","E2F4"
"CCND1","CTBP1"
"CCND1","MCM7"
"CCND1","BTG2"
"CCND1","ID1"
"CCND1","TP53"
"CCND1","TLE1"
"CCND1","TFDP1"
"CCND1","PSMD9"
"CCND1","CUL1"
"CCND1","SFRP1"
"CCND1","SMARCC1"
"CCND1","EGF"
"CCND1","POU5F1"
"CCND1","SMARCD1"
"CCND1","E2F3"
"CCND1","SOX2"
"CCND1","LEF1"
"CCND1","DNMT3A"
"CCND1","CHEK2"
"CCND1","STAT3"
"CCND1","CDK6"
"CCND1","PGR"
"CCND1","AR"
"CCND1","SNAI2"
"CCND1","EZH2"
"CCND1","RBPJ"
"CCND1","EGR1"
"CCND1","SMARCC1"
"CCND1","APC"
"CCND1","POU5F1"
"CCND1","SMARCD3"
"CCND1","E2F3"
"CCND1","WNT5A"
"CCND1","STAT3"
"CCND1","DNMT3A"
"CCND1","LEF1"
"CCND1","EGF"
"CCND1","CDK6"
"CCND1","TP53"
"CCND1","CCNA2"
"CCND1","BTG2"
"CCND1","CTBP1"
"CCND1","RUNX1"
"CCND1","MCM7"
"CCND1","EZH2"
"CCND1","SOX2"
"CCND1","PGR"
"CCND1","CUL1"
"CCND1","CTNNB1"
"CCND1","RBPJ"
"CCND1","POU2F1"
"CCND1","YBX1"
"CCND1","SRC"
"CCND1","AR"
"CCND1","TFDP1"
"CCND1","ID1"
"CCND1","TLE1"
"CCND1","GATA3"
"CCND1","E2F4"
"CCND1","CHEK2"
"CCND1","SMARCD1"
"CCND1","SNAI2"
"CCND1","MAMLD1"
"CCND1","MAML3"
"CCND1","PSMD9"
"CDCA7L","PSIP1"
"CDCA7L","PSIP1"
"CEBPZ","UTP18"
"CEBPZ","UTP15"
"CEBPZ","POLR1B"
"CEBPZ","PA2G4"
"CEBPZ","POLR1A"
"CEBPZ","WDR12"
"CEBPZ","TRUB1"
"CEBPZ","WDR3"
"CEBPZ","PDCD11"
"CEBPZ","DDX54"
"CEBPZ","TEX10"
"CEBPZ","NOC3L"
"CEBPZ","UTP18"
"CEBPZ","MYBBP1A"
"CEBPZ","WDR12"
"CEBPZ","POLR1A"
"CEBPZ","UTP15"
"CEBPZ","TRUB1"
"CEBPZ","PA2G4"
"CEBPZ","WDR3"
"CEBPZ","DDX54"
"CEBPZ","PDCD11"
"CEBPZ","NOC3L"
"CEBPZ","TEX10"
"CEBPZ","MYBBP1A"
"CEBPZ","POLR1B"
"CENPK","NCAPG"
"CENPK","ESPL1"
"CENPK","NDC80"
"CENPK","BUB1B"
"CENPK","CCNB2"
"CENPK","NPM1"
"CENPK","PLK1"
"CENPK","RUVBL1"
"CENPK","DYNC1I1"
"CENPK","ERCC6L"
"CENPK","TTK"
"CENPK","CDC20"
"CENPK","CDCA8"
"CENPK","RBBP4"
"CENPK","DYNC1I1"
"CENPK","RUVBL1"
"CENPK","RBBP4"
"CENPK","CDC20"
"CENPK","NDC80"
"CENPK","ERCC6L"
"CENPK","CCNB2"
"CENPK","TTK"
"CENPK","ESPL1"
"CENPK","NPM1"
"CENPK","CDCA8"
"CENPK","BUB1B"
"CENPK","PLK1"
"CENPK","NCAPG"
"CHAF1A","MCM5"
"CHAF1A","SUPT16H"
"CHAF1A","TRIM28"
"CHAF1A","SMARCC1"
"CHAF1A","NDC80"
"CHAF1A","MCM4"
"CHAF1A","MCM6"
"CHAF1A","MCM2"
"CHAF1A","BTG2"
"CHAF1A","MCM7"
"CHAF1A","BTG2"
"CHAF1A","MCM5"
"CHAF1A","MCM6"
"CHAF1A","SUPT16H"
"CHAF1A","NDC80"
"CHAF1A","SMARCC1"
"CHAF1A","MCM2"
"CHAF1A","SMARCD1"
"CHAF1A","RBBP4"
"CHAF1A","EXO1"
"CHAF1A","TRIM28"
"CHAF1A","MCM3"
"CHAF1A","MCM4"
"CHAF1A","BLM"
"CHAF1A","MCM7"
"CHAF1A","BLM"
"CHAF1A","EXO1"
"CHAF1A","RBBP4"
"CHAF1A","SMARCD1"
"CHAF1A","MCM3"
"CIITA","NFYB"
"CIITA","IRF1"
"CIITA","RFXANK"
"CIITA","TRIM25"
"CIITA","TRIM2"
"CIITA","SP100"
"CIITA","HLA-DRB1"
"CIITA","PRDM1"
"CIITA","HLA-DQB1"
"CIITA","TRIM22"
"CIITA","TLR7"
"CIITA","OAS1"
"CIITA","NCAM1"
"CIITA","NCAM1"
"CIITA","OAS1"
"CIITA","IRF1"
"CIITA","TRIM22"
"CIITA","TLR7"
"CIITA","TRIM2"
"CIITA","SP100"
"CIITA","NFYB"
"CIITA","TRIM25"
"CIITA","RFXANK"
"CIITA","HLA-DRB1"
"CIITA","PRDM1"
"CIITA","HLA-DQB1"
"CITED2","TP53"
"CITED2","PITX2"
"CITED2","HIF3A"
"CITED2","TFAP2A"
"CITED2","NRIP1"
"CITED2","PPARA"
"CITED2","HIF1A"
"CITED2","NRIP1"
"CITED2","HIF3A"
"CITED2","TP53"
"CITED2","PPARA"
"CITED2","PITX2"
"CITED2","TFAP2A"
"CITED2","HIF1A"
"CNBP","HNRNPK"
"CNBP","HNRNPK"
"CNTRL","PLK1"
"CNTRL","CEP55"
"CNTRL","CEP290"
"CNTRL","PLK1"
"CNTRL","CEP55"
"CNTRL","CEP290"
"CRABP2","CYP26A1"
"CRABP2","RXRG"
"CRABP2","RARG"
"CRABP2","RARG"
"CRABP2","RXRG"
"CRABP2","CYP26A1"
"CREB3L2","CREB3L4"
"CREB3L2","PRKACB"
"CREB3L2","CREB3L4"
"CREB3L2","PRKACB"
"CREB3L4","CREB3L2"
"CREB3L4","CREB3L2"
"CRX","RAX2"
"CRX","RAX2"
"CSDE1","HNRNPD"
"CSDE1","YBX1"
"CSDE1","YBX1"
"CSDE1","HNRNPD"
"CTBP1","AES"
"CTBP1","CCND1"
"CTBP1","SNAI1"
"CTBP1","APC"
"CTBP1","SMAD2"
"CTBP1","MECOM"
"CTBP1","LEF1"
"CTBP1","TCF7L1"
"CTBP1","SMAD6"
"CTBP1","APC"
"CTBP1","RUNX1"
"CTBP1","RBBP8"
"CTBP1","ZNF516"
"CTBP1","SNAI1"
"CTBP1","SMAD2"
"CTBP1","TLE2"
"CTBP1","SMAD6"
"CTBP1","RBBP4"
"CTBP1","ZEB2"
"CTBP1","CTNNB1"
"CTBP1","E2F4"
"CTBP1","TCF7L1"
"CTBP1","MECOM"
"CTBP1","TLE1"
"CTBP1","TFDP1"
"CTBP1","TLE3"
"CTBP1","ZBTB38"
"CTBP1","CCND1"
"CTBP1","ASH2L"
"CTBP1","SATB1"
"CTBP1","LEF1"
"CTBP1","ZEB1"
"CTBP1","SAP18"
"CTBP1","PHC1"
"CTBP1","AES"
"CTBP1","RBPJ"
"CTBP1","RUNX1"
"CTBP1","ASH2L"
"CTBP1","CTNNB1"
"CTBP1","RBPJ"
"CTBP1","ZEB1"
"CTBP1","RBBP4"
"CTBP1","TFDP1"
"CTBP1","TLE1"
"CTBP1","E2F4"
"CTBP1","RBBP8"
"CTBP1","ZNF516"
"CTBP1","SATB1"
"CTBP1","ZBTB38"
"CTBP1","PHC1"
"CTBP1","TLE3"
"CTBP1","ZEB2"
"CTBP1","TLE2"
"CTBP1","SAP18"
"CTNNB1","SIRT1"
"CTNNB1","SFRP1"
"CTNNB1","AES"
"CTNNB1","TGFB1"
"CTNNB1","CCND1"
"CTNNB1","NANOG"
"CTNNB1","EGR1"
"CTNNB1","SNAI1"
"CTNNB1","SOX4"
"CTNNB1","BMP4"
"CTNNB1","APC"
"CTNNB1","POU5F1"
"CTNNB1","SMAD2"
"CTNNB1","KDR"
"CTNNB1","WNT5A"
"CTNNB1","STAT3"
"CTNNB1","LEF1"
"CTNNB1","EGF"
"CTNNB1","CDK6"
"CTNNB1","LGR5"
"CTNNB1","CDH11"
"CTNNB1","TP53"
"CTNNB1","MEF2D"
"CTNNB1","FER"
"CTNNB1","TCF7L1"
"CTNNB1","CA2"
"CTNNB1","CTBP1"
"CTNNB1","MITF"
"CTNNB1","SOX17"
"CTNNB1","PITX2"
"CTNNB1","MAGI3"
"CTNNB1","RUVBL1"
"CTNNB1","EZH2"
"CTNNB1","SOX2"
"CTNNB1","CUL1"
"CTNNB1","ASH2L"
"CTNNB1","APC"
"CTNNB1","TGFB1"
"CTNNB1","FER"
"CTNNB1","SRC"
"CTNNB1","KDR"
"CTNNB1","NANOG"
"CTNNB1","SNAI1"
"CTNNB1","SMAD2"
"CTNNB1","TLE2"
"CTNNB1","MEF2D"
"CTNNB1","FZD5"
"CTNNB1","PITX2"
"CTNNB1","SOX3"
"CTNNB1","WNT5A"
"CTNNB1","SIRT1"
"CTNNB1","EGR1"
"CTNNB1","CDH11"
"CTNNB1","RUVBL2"
"CTNNB1","LGR5"
"CTNNB1","TCF7L1"
"CTNNB1","FN1"
"CTNNB1","CTBP1"
"CTNNB1","SOX13"
"CTNNB1","MAGI3"
"CTNNB1","BMP4"
"CTNNB1","MITF"
"CTNNB1","TP53"
"CTNNB1","TLE1"
"CTNNB1","CA2"
"CTNNB1","PSMD9"
"CTNNB1","TLE3"
"CTNNB1","CUL1"
"CTNNB1","SFRP1"
"CTNNB1","EGF"
"CTNNB1","POU5F1"
"CTNNB1","TJP2"
"CTNNB1","CCND1"
"CTNNB1","ASH2L"
"CTNNB1","SOX17"
"CTNNB1","RUVBL1"
"CTNNB1","SOX2"
"CTNNB1","PRKACB"
"CTNNB1","TCF4"
"CTNNB1","LEF1"
"CTNNB1","SOX4"
"CTNNB1","STAT3"
"CTNNB1","CDK6"
"CTNNB1","DKK1"
"CTNNB1","AR"
"CTNNB1","SNAI2"
"CTNNB1","EZH2"
"CTNNB1","HIF1A"
"CTNNB1","AES"
"CTNNB1","FN1"
"CTNNB1","FZD5"
"CTNNB1","SOX13"
"CTNNB1","SOX3"
"CTNNB1","PRKACB"
"CTNNB1","SRC"
"CTNNB1","DKK1"
"CTNNB1","AR"
"CTNNB1","TLE1"
"CTNNB1","SNAI2"
"CTNNB1","TCF4"
"CTNNB1","HIF1A"
"CTNNB1","TJP2"
"CTNNB1","PSMD9"
"CTNNB1","TLE3"
"CTNNB1","TLE2"
"CTNNB1","RUVBL2"
"CUX1","STAT3"
"CUX1","BCL11B"
"CUX1","BCL11B"
"CUX1","SATB2"
"CUX1","MAN1A1"
"CUX1","SATB1"
"CUX1","EOMES"
"CUX1","STAT3"
"CUX1","MAN1A1"
"CUX1","EOMES"
"CUX1","SATB1"
"CUX1","SATB2"
"CXXC1","HCFC1"
"CXXC1","ASH2L"
"CXXC1","WDR5"
"CXXC1","DNMT1"
"CXXC1","WDR5"
"CXXC1","ASH2L"
"CXXC1","DNMT1"
"CXXC1","HCFC1"
"DAB2","TGFB1"
"DAB2","SMAD2"
"DAB2","VAMP7"
"DAB2","WNT5A"
"DAB2","EGF"
"DAB2","TGFB1"
"DAB2","SNX18"
"DAB2","SMAD2"
"DAB2","EGF"
"DAB2","VAMP7"
"DAB2","WNT5A"
"DAB2","SNX18"
"DACH1","TP53"
"DACH1","SIX6"
"DACH1","SIX6"
"DACH1","TP53"
"DAXX","TGFB1"
"DAXX","STAT3"
"DAXX","TP53"
"DAXX","SP100"
"DAXX","MDM4"
"DAXX","ATRX"
"DAXX","TGFB1"
"DAXX","TP53"
"DAXX","ATRX"
"DAXX","MDM4"
"DAXX","SP100"
"DAXX","ETS1"
"DAXX","STAT3"
"DAXX","ETS1"
"DDX54","UTP18"
"DDX54","CEBPZ"
"DDX54","WDR12"
"DDX54","POLR1A"
"DDX54","UTP15"
"DDX54","PA2G4"
"DDX54","WDR3"
"DDX54","TTC27"
"DDX54","POLR1B"
"DDX54","POLR1A"
"DDX54","WDR12"
"DDX54","WDR3"
"DDX54","TTC27"
"DDX54","TFB2M"
"DDX54","NOC3L"
"DDX54","UTP18"
"DDX54","MYBBP1A"
"DDX54","UTP15"
"DDX54","PA2G4"
"DDX54","PDCD11"
"DDX54","TEX10"
"DDX54","CEBPZ"
"DDX54","TFB2M"
"DDX54","PDCD11"
"DDX54","NOC3L"
"DDX54","TEX10"
"DDX54","MYBBP1A"
"DDX54","POLR1B"
"DEK","POLR1A"
"DEK","U2AF1"
"DEK","POLR2K"
"DEK","POLR1C"
"DEK","TFAP2A"
"DEK","MLLT3"
"DEK","MYBBP1A"
"DEK","U2AF1"
"DEK","POLR1B"
"DEK","POLR1A"
"DEK","RNPS1"
"DEK","MLLT3"
"DEK","UPF1"
"DEK","POLR2H"
"DEK","POLR2F"
