X,H9_12h_001,H9_12h_002,H9_12h_003,H9_12h_004,H9_12h_005,H9_12h_006,H9_12h_007,H9_12h_008,H9_12h_009,H9_12h_010,H9_12h_011,H9_12h_012,H9_12h_013,H9_12h_014,H9_12h_015,H9_12h_016,H9_12h_017,H9_12h_018,H9_12h_019,H9_12h_021,H9_12h_022,H9_12h_023,H9_12h_024,H9_12h_025,H9_12h_026,H9_12h_027,H9_12h_029,H9_12h_030,H9_12h_031,H9_12h_032,H9_12h_033,H9_12h_034,H9_12h_038,H9_12h_039,H9_12h_040,H9_12h_041,H9_12h_042,H9_12h_043,H9_12h_044,H9_12h_045,H9_12h_046,H9_12h_048,H9_12h_051,H9_12h_052,H9_12h_053,H9_12h_054,H9_12h_055,H9_12h_056,H9_12h_057,H9_12h_058,H9_12h_059,H9_12h_060,H9_12h_061,H9_12h_062,H9_12h_063,H9_12h_064,H9_12h_065,H9_12h_066,H9_12h_067,H9_12h_068,H9_12h_069,H9_12h_070,H9_12h_071,H9_12h_072,H9_12h_073,H9_12h_074,H9_12h_075,H9_12h_076,H9_12h_077,H9_12h_078,H9_12h_079,H9_12h_080,H9_12h_081,H9_12h_082,H9_12h_083,H9_12h_084,H9_12h_085,H9_12h_086,H9_12h_087,H9_12h_088,H9_12h_089,H9_12h_090,H9_12h_091,H9_12h_092,H9_12h_093,H9_12h_094,H9_12h_095,H9_12h_096,H9_12h_097,H9_12h_098,H9_12h_099,H9_12h_100,H9_12h_101,H9_12h_102,H9_12h_103,H9_12h_104,H9_12h_105,H9_12h_106,H9_12h_107,H9_12h_108,H9_12h_109,H9_12h_110
APC,4.037106907,2.918171704,0.609508944,7.534790222,5.337599906,0,1.288151264,1.945922334,5.101795171,0.871807566,3.894601419,6.83037256,1.021707396,0,1.687024545,6.078726285,0,3.784101138,2.759908037,1.591331151,3.375215929,1.412845654,5.956073316,0,1.858244829,0,0,3.265582753,0,0,0,0,0.847947427,2.364741009,0,4.151159592,5.287739789,0,0,6.229941013,6.140881041,0,4.575026362,1.707170961,6.58759101,4.849918733,1.443232008,3.406328262,7.882800348,5.756846423,1.708849624,0,5.329311443,1.038831614,3.398117351,5.566330037,0.517259394,6.200890097,8.379865811,1.741646241,0.846549682,6.683244209,7.913944202,7.433232463,0.511945564,5.811981626,9.20065961,2.527635977,5.930348681,7.444236661,1.630262453,1.29780693,8.075931322,4.539878669,6.168896449,0.921689069,0,1.89288445,0,1.384165417,6.361757404,5.822578001,0,8.631624168,2.335483401,7.609190081,2.062731972,3.579843076,6.886941487,2.446759284,5.064632812,7.057916579,1.586350939,5.504468106,5.799258551,1.387475868,3.502757216,7.046447798,7.110752465,2.882092239,7.780940331,6.587214769
APEX1,9.185635077,9.290679639,8.148974826,7.647413547,4.54166428,6.76494057,7.778077163,8.845887006,8.866664438,10.430637,10.14560172,8.693588616,7.650353567,6.469366196,8.030504567,8.881060436,9.361551498,7.783482554,8.126186408,8.713561612,3.913071693,9.038795884,9.61663587,3.235919865,8.385459881,7.692608528,7.603202895,7.614090765,6.277195837,7.793925923,8.801474919,9.847815333,8.423635221,10.07363898,8.442889228,9.050139408,6.886012759,7.033269015,9.274346519,9.396943719,7.998069202,8.141107221,7.977718578,8.926229179,9.131667991,8.160823618,8.332370224,8.643728334,8.981397659,8.765434195,8.985966708,9.908163693,7.585672907,9.01594031,9.280610498,8.496125421,8.598332653,8.820700042,9.011481756,7.705832899,8.502197045,8.202861105,8.509469498,8.837810803,7.305456546,8.870674061,8.832088893,7.470468803,7.571558872,8.03067703,9.137586888,8.37473571,7.185974035,7.695512715,8.557642045,8.600211132,7.67265738,8.806301385,8.984800518,8.370355269,7.497207549,8.733823408,7.450618114,7.270764282,8.604978891,8.32016344,8.523360637,7.362322563,7.995024757,8.555477332,8.853224858,7.983867306,7.278193139,9.20105241,8.327809877,6.868243026,9.104904724,7.164310056,7.762795803,7.444381273,7.432145666,8.3099684
APOBEC3C,0,0.789740926,0,0,0,0,0,0,0,0,0,5.659556228,0.599470328,0,7.548945419,0,0,0,6.593424938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.994203134,0,0,0,0,0.638729958,2.007290765,0,4.082015465,1.101781725,3.515596744,2.591594901,5.497255948,0.663816083,1.744765297,0.755153475,0,2.657550091,3.199346172,2.900819956,0,0.558322741,5.858815186,0,0.829324561,6.333976182,0,0,2.785131355,1.023156872,2.527635977,3.429302854,0,0,0,0.81337948,0,0,0.533230334,0,4.101019688,0,0,0,0,0.588633721,0.625031897,0,0,4.207404479,2.509966509,0,3.873909173,5.669342894,0,0,0,0,2.233001621,5.654615138,0,0.489194367,3.768123188,0.905970348,4.387084349
AR,0.93120991,0.789740926,0.609508944,2.252183486,0.893225161,8.403769857,4.075844046,1.536994543,0,5.291967966,0,0.650491863,0,0.950095652,0,1.519538924,2.515955393,0,0.715017749,0,2.507955623,2.112779088,2.268298087,1.768109778,0,0,2.639548981,0,3.423278778,0,0,4.000784908,2.32183903,1.620727577,0,1.763556454,7.959569882,0,0,0,1.164935739,2.279020548,5.985939539,3.330672601,3.68039987,0,0,3.828163796,0,0,4.171327276,6.534571011,0,0,0,0,0,0,0,5.533579941,0,0,4.862324457,0,5.838656654,0,0,6.358016863,1.612306479,0,0,0,0,0,1.327426694,4.885598131,0,4.947267301,1.265074256,2.440440705,6.070768047,2.445600251,4.837977456,0,0.535743379,0,4.981213602,3.579843076,0.485989834,0,0,0,7.43273172,0,0,0,0,0,0,4.032824694,2.633083594,2.439777592
ARFGAP3,1.492493658,0,0.609508944,2.252183486,1.440764666,3.854933191,0,0,5.329944708,0,0,0,0,0.950095652,1.310308835,0,0,1.645867077,1.834312225,1.591331151,0,0,0,0,0,0,0,0,0,0,0,0,9.090001292,3.507985445,0,0,4.286678102,1.392221366,8.54278776,1.384030194,0,0,0,0,3.993798787,6.256877986,0,0,4.840566854,0,2.61005067,0,0,0,0,0,6.343576466,0,0,2.044587859,4.443147555,0,0,6.607173198,0,0,7.869983906,0,0,0,0,0,0,3.509537312,1.00458362,7.054348665,0,0,0,7.592587415,0,0,0,6.521619794,0,0,0,0,0,5.732020498,0,2.280074093,0,0.606249443,0,0.62174495,1.103244081,1.792282778,3.031429141,5.499700899,0,6.540309547
ARID3A,0,0.789740926,0,0,0,3.854933191,0,0,0,0,2.159691304,1.437818871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284610096,0,0,0,0,0,0,2.915888522,0,0,1.392221366,0,3.61703414,0,0,2.587994101,0,0,2.033213115,2.325295862,2.678384848,0,0,0.648235458,0,0,1.038831614,5.38872542,1.495174729,0,1.955851043,0,0,0,4.735314117,0,3.269158885,0.511945564,0.618921763,0.634188836,5.456028854,0,0,0.607790269,0,0,0,1.00458362,0.921689069,3.775003206,0,0,0,0.80241531,0,0,2.812486641,0,0,0,0,0,1.825355504,3.190514585,1.960797749,1.32317775,0.606249443,0,0.62174495,0.65460619,0,3.441916928,0.459257856,0.905970348,0.914653429
ARID4B,2.877375507,1.969032927,1.859452388,3.619659479,3.961113981,6.76494057,4.673360478,2.524749143,2.299329259,2.364508323,2.761353499,1.944302375,1.613833715,8.68977093,2.627562896,3.453820671,3.508869609,4.945374681,3.120690501,4.256969312,2.507955623,2.935549024,3.110211153,4.423015301,3.150070402,1.81174168,3.943570943,0,6.344369265,3.11619735,3.416539587,0,3.510860354,3.822074656,2.915888522,0,3.945074631,0,0,0,2.240832336,3.757430915,3.787644787,6.528181745,2.722305402,0.694774038,3.173666481,3.945767242,0,3.187202694,0,4.470057155,1.907369311,6.029637229,0,0.540767008,0.897215375,5.843478559,1.939353528,0.833002182,3.167029099,0,4.648174869,0.565642677,0,0,0,2.527635977,8.435167114,7.882535511,0,5.199061496,7.611663728,0,2.329254913,0.533230334,7.06867386,4.743127935,8.28590827,4.742186621,0.80241531,5.434677054,8.800225305,8.541536135,0.925526965,2.469518034,0.482560079,5.249701811,5.729199419,5.359911388,7.474595205,7.467417638,5.444646118,4.991420908,7.161738415,9.300491054,2.15222144,8.60242438,5.151186081,8.20026354,0,4.258886817
ARNT2,0,4.157773237,0,0,0,0,0,0,0,0.871807566,0,3.254828181,0,0,0,0,0,2.394711018,0,0,0,0,0,0,6.654996742,0,0,0,0,0,0,0,3.608707037,0,0,0,2.030762934,0,0,3.41410672,0,0,0,0,0,0,1.443232008,1.137705838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.973410672,0,0,0,0,0,3.627588945,0,0,0,0,0,5.991291509,0,0,2.445600251,0,0,0,0,0,0,0,2.063478461,3.696130877,0,6.884707573,0,0,0,0,3.803725799,5.504705881,0,0,0
ASB4,0.93120991,0,0,0,0.08408148,0,2.20105727,0.964174378,2.299329259,0,2.035008649,2.736139522,0,0,1.687024545,0.681369577,1.00042537,0,1.582592425,3.988964914,0,0,2.268298087,0.399231048,2.007020513,0,0,0,3.052386353,0,0,0,0.815527355,2.544844186,0,0,1.692586865,0,0,0,1.795784498,1.600608726,0,2.284955416,0,2.792123197,1.954922705,1.763248185,0,0.802814813,3.099764697,3.077215643,2.309861006,2.229886497,1.60633702,1.495174729,0.482058455,1.731545755,2.091069513,0,0,1.124868707,1.963643596,2.105249345,0.511945564,0,0.639311355,0,2.875150882,2.150197858,0,0,2.032057916,0,0,2.418581998,0,1.253397957,0,0,2.68093963,3.59917569,0.524170022,0,0.925526965,1.446077887,1.105638171,3.005121351,1.478421625,2.409250751,0.668589199,0,0.585656887,2.010536412,0.528772456,0,0,1.776807562,2.460234246,3.523920693,1.202868109,0
ASB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540767008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH2L,0.93120991,0.789740926,0,3.092218693,0,0,6.565897036,2.264172146,6.238853417,0,1.108400089,7.72649209,0,0,0,5.13865987,0,7.055502022,0,3.915798854,0,8.416883042,0,5.368130638,6.496215319,6.253984656,1.206544499,0,0,0,0,0,0,0,0,0,2.354718754,4.569706971,0,2.543469542,5.392099808,0,0,0,0,0.694774038,0.653608475,0,6.61779145,0,0,0.556091571,0,6.333057133,0,0.540767008,0.897215375,0,0,3.66912061,6.944060243,0,0,4.616021643,4.422680528,7.196899512,0,0,1.346560879,0,3.223555157,5.079691521,0,0,0,4.489540618,0,0.747123103,7.628942774,3.240863531,5.740207148,0,0,0,5.780380275,0,0,0,6.183840095,2.267809894,0,5.56329079,8.149279743,0.606249443,0,0,0.65460619,0,2.049485851,0,5.998058166,0
ASXL1,0,4.767416639,0,0,0,4.804198149,6.463524676,0,6.495568322,0,3.195633076,3.758460096,0,9.353880171,3.59688705,0.698068518,0.958993055,3.250572835,8.122936562,0,0,0,0,0,0,0,1.206544499,1.284610096,0,2.024460648,0,8.536110341,0,0,0,3.033162695,0,7.05105494,0,2.077218738,0,0,1.920213112,2.962659562,0,0,0.653608475,0,0,0,0.648235458,0,0.426431767,0,0,0,0,0,1.273616584,0,0,0,7.299090485,2.757142785,2.140050678,4.093544084,0,0,0,0,0,0,0,0,0,4.489540618,0,7.071286004,3.084876845,0,6.71141637,7.927125944,0,0,0,2.469518034,0,0,6.877241395,1.183944818,0,4.376239915,0,0,0,0,6.346709922,0,6.391652066,0,0,0
ATP11B,5.321769545,0,5.463055556,2.252183486,3.123651628,3.854933191,0.783309576,2.524749143,0.985917265,0,3.511541051,0,0,0.950095652,5.660443743,1.166498683,4.2227113,1.645867077,3.721215676,1.591331151,0,4.139648226,4.024158241,0.679440463,4.276469932,1.81174168,4.692036523,4.58367508,3.052386353,2.024460648,0,4.000784908,0,3.822074656,2.915888522,0,3.738209594,4.357404403,2.543582348,2.895275099,3.277334043,8.116278618,6.89572771,0.811525584,7.557235404,0.694774038,5.700598259,0,0,1.306997306,1.097727273,0,6.975262914,5.970208052,0.749828269,3.826561306,0,6.16660294,0,4.121774557,0,0,8.472673296,0,0.889040337,0,0.634188836,0,2.942337718,0.575862874,0.607790269,0,7.992673519,0.800788901,0.588019865,0,3.394673702,6.623923529,3.864548633,6.793073603,0.80241531,0,0,0,3.665837584,0,0,8.845503148,0.485989834,2.74929233,7.301748293,0,0,0,4.784612205,0,1.103244081,0,6.632619148,1.85751958,0.522961861,0
ATRX,4.325124801,4.090244369,8.496381503,3.619659479,3.879429046,6.574189324,5.239627624,8.527541048,2.97526426,7.009133847,4.659773129,3.631577579,5.231753926,5.987412965,3.408664372,8.806819982,6.800155152,3.541860968,3.97769925,5.29470079,7.047317759,4.601497861,4.74656959,3.635621083,4.276469932,7.67499262,5.994951192,3.466383619,8.793160093,3.730486718,2.545693915,4.000784908,10.90209499,6.799593641,5.549313684,3.033162695,6.062620867,3.807210835,2.543582348,8.446059069,1.164935739,5.901243944,7.209595815,3.435076842,6.695620788,4.334679659,8.915805746,7.675620459,5.478367397,8.446774975,5.62106318,7.699908933,5.131204688,6.32359038,1.60633702,7.837429063,7.845261724,3.352508634,7.846679968,8.207421746,9.335545506,2.850964655,2.868952174,0.97092237,8.344950902,2.893114393,6.379511144,6.51662896,3.123543583,8.033326914,5.780417649,9.090214764,8.272468179,9.438953855,9.315587404,7.685081768,6.383394648,4.111250012,1.521651014,9.838730332,9.792256924,6.690598923,8.584604216,5.271679407,5.682591976,5.448330113,5.260582294,8.688782352,7.322694631,7.292875268,7.031933253,8.602133415,8.653182503,7.918073154,5.247113471,4.885230919,9.837158762,8.209546477,7.526246828,3.425686813,8.26540566,3.300293858
BAMBI,7.57392566,7.991194453,7.088683611,6.571386051,2.619164438,6.76494057,1.288151264,7.330461938,0,5.642912348,5.413401432,8.372997542,4.899609268,6.010330735,7.419486773,6.105051919,3.096197907,5.921770641,8.044483734,2.329567108,5.716153598,5.302186054,0.966715585,7.141124264,5.592813816,2.59007909,7.42900755,2.753743185,4.354420213,4.415723215,3.955746826,6.313709647,7.562131681,4.696621599,9.248776819,2.533733248,8.106811993,5.588562689,4.344927726,7.982670485,8.499668263,6.50133545,6.739065069,5.128375333,5.086335859,6.442772592,8.448915542,7.781768261,3.229497399,3.675741434,5.793272004,5.655167966,6.683351365,6.933982733,4.674536096,5.275897103,5.81211294,4.280099738,6.23149672,5.144906745,6.688865623,5.596578904,6.554559525,7.184768746,7.366315097,7.115467821,5.614932387,5.102818618,5.148181308,4.674033204,8.453243875,8.122910872,5.0022636,6.550849623,6.848276825,6.177273617,6.925414782,7.236169019,4.6090436,1.384165417,8.161353011,6.690598923,3.350529225,6.838822854,6.542044939,6.147596592,5.842913901,6.037851965,6.335082606,6.309758505,6.729117136,2.655029718,6.296124936,6.281282719,6.573939457,6.315699075,0,8.237637416,7.274881614,6.975215801,7.489495595,7.512467362
