X,H9_00hb4s_001,H9_00hb4s_002,H9_00hb4s_003,H9_00hb4s_004,H9_00hb4s_005,H9_00hb4s_006,H9_00hb4s_007,H9_00hb4s_008,H9_00hb4s_009,H9_00hb4s_010,H9_00hb4s_011,H9_00hb4s_012,H9_00hb4s_013,H9_00hb4s_015,H9_00hb4s_016,H9_00hb4s_017,H9_00hb4s_018,H9_00hb4s_019,H9_00hb4s_020,H9_00hb4s_021,H9_00hb4s_022,H9_00hb4s_023,H9_00hb4s_024,H9_00hb4s_025,H9_00hb4s_026,H9_00hb4s_027,H9_00hb4s_028,H9_00hb4s_029,H9_00hb4s_030,H9_00hb4s_031,H9_00hb4s_032,H9_00hb4s_033,H9_00hb4s_034,H9_00hb4s_035,H9_00hb4s_036,H9_00hb4s_037,H9_00hb4s_038,H9_00hb4s_039,H9_00hb4s_040,H9_00hb4s_041,H9_00hb4s_043,H9_00hb4s_044,H9_00hb4s_045,H9_00hb4s_046,H9_00hb4s_047,H9_00hb4s_048,H9_00hb4s_050,H9_00hb4s_051,H9_00hb4s_052,H9_00hb4s_053,H9_00hb4s_054,H9_00hb4s_055,H9_00hb4s_056,H9_00hb4s_057,H9_00hb4s_058,H9_00hb4s_059,H9_00hb4s_060,H9_00hb4s_061,H9_00hb4s_062,H9_00hb4s_063,H9_00hb4s_064,H9_00hb4s_065,H9_00hb4s_066,H9_00hb4s_067,H9_00hb4s_068,H9_00hb4s_069,H9_00hb4s_070,H9_00hb4s_071,H9_00hb4s_072,H9_00hb4s_073,H9_00hb4s_074,H9_00hb4s_075,H9_00hb4s_076,H9_00hb4s_077,H9_00hb4s_078,H9_00hb4s_079,H9_00hb4s_080,H9_00hb4s_081,H9_00hb4s_082,H9_00hb4s_083,H9_00hb4s_084,H9_00hb4s_085,H9_00hb4s_086,H9_00hb4s_087,H9_00hb4s_088,H9_00hb4s_089,H9_00hb4s_090,H9_00hb4s_091,H9_00hb4s_092,H9_00hb4s_094,H9_00hb4s_095,H9_00hb4s_096
APC,5.927974081,7.000640098,2.809597351,7.163088924,5.644869415,6.681252506,6.921274778,6.967991035,4.216420224,4.086177331,7.017739781,5.087905996,7.682342334,7.982695791,2.334121145,7.112477233,7.375365298,4.459225554,7.75247257,6.73667521,6.3967376,9.065219848,5.497199739,6.01519742,9.449290601,6.792083978,7.909143504,5.824490895,6.845487899,5.866177783,2.790458818,0,6.036243824,4.271948066,7.15069626,0,5.304259229,4.840607385,2.283629645,0,6.257122912,1.018487632,1.674550215,6.294289805,5.190901975,6.085298153,0,4.65781711,7.089282777,8.061898893,6.067843178,4.992383853,7.133689237,6.132075269,7.47485389,7.610073277,8.156479349,5.767749987,5.520842991,7.810680282,7.25236421,7.418932998,2.086459696,6.458174179,3.262484025,6.645213864,7.197259031,0,7.543575258,3.782577905,8.048970347,7.593307295,6.967991086,0.827459997,2.618936735,2.707682162,0,6.991382178,1.704049663,8.964193799,0.648603758,7.681786115,8.247733626,2.337207095,4.72137314,8.258470189,2.258047436,7.433761551,5.660042237,1.527142424,5.191633156,5.880469616
APEX1,8.648882505,8.646289028,8.694353028,7.610865292,8.408768975,8.676496299,8.784833819,8.552184588,9.29320389,9.105010499,8.049536661,8.481957692,7.659275414,8.326297967,8.94890463,7.800219927,8.70420317,8.142860166,7.948317411,8.132927611,8.586803291,8.020784042,8.261704756,7.644465141,7.974441012,8.183508799,9.081183463,8.692500216,8.859141443,8.894658935,9.579909496,8.92806427,8.689208014,8.443724964,7.602454271,8.098642053,8.978148588,9.233500398,9.352938972,8.356529715,8.373235335,8.556278747,8.880276884,9.690906133,9.052335976,8.338307799,7.163254812,8.81216872,9.891559103,8.562179426,8.92943893,8.838652217,8.617584345,9.12037793,9.075119383,8.768384249,8.246784451,8.102052303,8.157101619,8.912037014,8.508013137,8.312157366,7.813400507,8.659265086,7.703119133,8.611773766,8.830357408,7.556593331,6.430765042,7.693206113,6.943574335,8.589708168,9.058664591,7.832545693,8.131477457,8.017884352,8.787758387,8.072179081,7.869359808,9.285476279,7.418426324,8.150150041,7.144999514,7.263708897,7.824489712,8.112173619,7.59958009,8.661963229,8.464978046,7.699251818,8.444996646,7.692342664
APOBEC3C,0,5.748710703,0.808476572,4.442569424,4.905218858,3.71307527,6.007673851,0,3.42921078,3.541972225,3.867747449,0,1.980949495,4.40385375,4.469587779,0,3.904139978,0,0,0,0,0,5.23725961,0.792379018,4.915760023,3.878709516,1.742887271,5.635141501,0,5.939825463,6.464112861,0,6.873301657,5.734311379,6.514995434,3.945829887,0,4.870390438,3.278770055,4.542042066,4.435150318,4.579918861,3.992578886,0,2.274096139,4.573262543,3.068310338,1.5946719,0,3.642542498,0,6.165919306,6.783723466,0,4.554342416,0,4.935956008,5.860735871,5.410934146,1.891278005,5.519003246,1.15220203,5.970252525,6.148307064,5.710183115,4.499044409,3.249627432,6.052283729,5.471789252,4.267038606,3.242826086,4.23977608,0,0,0,3.970017004,4.54335758,2.902041553,0,5.312244973,5.220273061,4.17211367,0,3.612052748,0,0,4.566852821,0,4.846690522,3.092304886,0,0
AR,2.651641501,1.394477585,4.069194891,0,0,0,0,3.446164932,3.140382661,2.186561051,1.239110495,3.531486584,6.504318871,5.07700889,0,6.812376101,4.567032535,4.939131238,0,4.400735676,0,5.518657464,1.305530156,3.39438586,0,1.53287753,0,2.99252192,0,3.486654614,0,0,0,0,0,0.726846001,2.453719779,0,0,0,0,0,2.696104108,0,0,2.660252205,1.090615616,0,4.383924516,1.627065389,2.945592895,5.330562279,3.507248562,2.233794057,0,3.449605329,0.880652751,4.272974428,3.703568514,0.851236585,4.863318736,3.95731638,0,6.344769836,0,0,0,0,6.650641157,0,3.385560783,0.81014476,0,0,1.440592886,5.557837026,0,1.659138176,0,4.377912271,0.648603758,0,1.498307082,0,1.904497483,0.703140185,0,0,0,5.844594559,0.719215881,0
ARFGAP3,1.743456268,0,5.968358297,0,2.15483529,3.854035325,0,0,0,4.878604065,4.982396442,5.028154,0,4.580637889,4.579369816,0,4.939663156,0,1.316642429,0,1.816789046,0,7.714162037,0,1.779084676,5.052746709,0,7.507197146,1.62850854,0,1.751634723,5.322704077,0,4.061948521,6.986079551,0,0,0,0,6.216764714,0,5.763977158,5.714703176,0,0,1.333658518,7.514702031,0,0,0,5.187253505,0,3.773499962,0,7.421916723,0,6.494544676,0,0,4.453202203,1.740837424,6.570473055,6.272500616,5.810062304,3.415607337,3.987695833,0,2.615992743,0,4.904163408,0,6.606347217,5.503159606,0,0.893099627,4.58814308,0,4.426509066,4.753210742,0,0,1.645432366,0,0,2.354925205,0.703140185,0,1.928539409,0,4.959506079,4.205529321,4.408306148
ARID3A,0.666384796,0,0,0,0,1.594099263,4.024645561,3.944764454,0,3.018702132,0,0,3.918053513,0.863036923,0,0,2.64138087,0,1.993389886,2.122280386,0,0,1.979473287,2.220218614,0,2.259196619,2.170902463,0,0,4.522920074,0,5.239998253,0,1.456630648,4.388140308,1.207914035,4.097759432,4.840607385,2.766281568,0,1.45170396,5.164987492,4.518659869,0,1.010826247,0.815743517,1.090615616,6.672607945,3.162093144,0,4.028856233,0,0,2.842540932,0,3.554888892,0,0,0,2.728644565,3.223199576,1.438202512,0,3.195935222,4.491266016,4.687818675,1.64514831,0,4.186010969,0,1.749635075,0,0,0,0.886425541,0,2.129171547,4.191106539,5.299699676,2.779072013,1.434535285,0,0.935501266,1.23332248,0.753558485,0.703140185,3.626475279,2.381295608,0,4.773469781,2.286207567,3.332052842
ARID4B,8.360174376,7.647777435,6.003420098,7.242312721,6.425395178,5.205768264,2.51422241,5.605751412,8.764459141,6.624762549,8.165199075,7.464468721,3.863130951,7.783002025,7.525629486,7.892095589,6.985760626,6.409177598,7.442441434,7.151052784,8.548430552,8.434432142,8.003324888,1.676170003,7.388858742,8.003598057,8.589343308,6.381004822,8.796005727,8.423764151,8.392413966,4.906285272,1.509199147,6.943998975,2.485780649,4.990310362,6.052735604,7.77251115,5.162738778,8.117971861,6.207170332,7.811362746,6.378640476,5.068881281,6.043610227,7.704152538,4.071684155,10.33307118,1.8680644,8.898744719,6.758392927,8.627545669,6.524058317,6.387428402,7.584899107,7.187297012,7.466076525,5.349090189,3.871053802,7.746931216,7.551535476,8.261089083,4.87831589,7.790646658,7.520989391,8.131780548,6.428142456,7.176448166,7.840609914,9.40548418,8.598917703,7.355189607,8.852629882,8.367140779,7.348760091,7.64460535,5.689856271,6.767044292,5.380125545,6.08117376,6.969420057,6.596617951,7.407885354,6.984860188,6.927499803,7.996377706,6.458502912,7.675854517,7.277049,0,7.930531215,6.751570027
ARNT2,1.465333436,0.859545573,0,0,0,0,1.468497933,2.677987092,0,4.479821984,1.239110495,0,1.429739998,0,2.675796956,4.839874048,4.855135435,0,0,1.420567515,1.816789046,1.446131746,0,0.792379018,1.147985079,0.961113618,4.116661365,0,0,0,0,7.450588489,0,6.650275836,3.644252465,2.481587947,0,0.919933311,4.042299026,6.788878627,4.389295357,0,0,1.698598517,0,0,3.32728372,0,0,0,3.40286266,0,0,0,4.735329993,0,0,0.522551843,0,2.893822829,6.491966338,0.891353198,0.857393029,0,0,0,0,0,0,1.191985332,3.846877527,0.81014476,0,0,5.397247593,0,4.686361639,0,0,0,2.739092622,5.372948754,0,4.266003502,2.354925205,1.173824055,0,2.870870936,0,0,0,0
ASB4,2.646239819,2.749684609,2.647784502,3.15102381,3.284432221,2.963011802,1.495877432,2.880206834,3.352613304,2.86011588,3.301155484,4.298945075,2.573392193,1.772158464,1.226965677,1.812224616,4.172141721,4.048315987,3.272304155,3.089590942,3.099107822,3.789964019,2.923350921,3.187413533,3.481054672,2.5290545,4.379592239,3.382523004,2.639192733,2.479898992,3.361797061,3.3998134,3.331477694,3.147261229,2.70693214,3.333214049,1.878923094,3.465221376,0.990300376,2.778270469,3.83630717,2.727125898,2.921549537,0.501294586,1.025288326,2.272451318,2.496425804,4.422570299,1.919510239,2.634978195,0.99711975,2.171072638,0,1.222390152,3.711539519,2.929201791,1.414456073,3.926332599,3.066487175,2.330063078,2.501097555,1.819892481,3.571157556,3.112148863,3.366851166,2.322909862,1.045373105,2.87375247,3.132697934,2.609907658,2.28069915,3.413922504,0,0,3.882533269,1.252886795,2.713023439,2.410492,2.524412211,2.912869992,2.891443442,3.394242412,2.023675831,3.073377917,4.531607525,0.686346531,2.335791079,3.338388139,1.467949881,3.453720612,2.635878862,3.549679052
ASB9,0,3.969049199,0,3.931848339,0,0,0.668220873,0,0,0,0,0,0,4.676148435,0,0,0,1.291638426,0,0,0,0,0,0,0,0,0,0,0,0,0,5.579717941,0,0,0,0,3.315643826,0,6.395470741,0,1.45170396,0,0,7.277570858,0,0,0,2.333571557,0,1.031691796,0,0,0,0,0,0,5.483584441,0,0.849504211,0,0.83249611,0,6.299068709,6.638726835,2.671907342,0,0,0,0,0,0,0,0,0,5.209484631,0.942697477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH2L,5.269550125,5.837897885,5.783928024,4.442569424,4.972139669,4.768066548,6.027092458,1.485362208,6.955671706,0.916895228,5.470968619,5.246852643,6.312354314,0,0.743075,0,0,6.396834259,6.450711919,6.124188011,0,0,5.496729568,1.300918028,7.291431788,7.123040375,0,2.163279736,6.946941538,0,3.926416475,6.458812534,8.975141182,6.933741324,4.278393276,6.698186004,5.750701881,5.768757845,7.112178798,0,0,6.0361744,6.48838688,0,0,7.725037658,4.489499872,1.5946719,1.217362539,0,5.796729351,0,7.157173446,3.071657485,5.810401218,8.367731625,0,4.741636255,4.339505015,4.783118046,6.93095464,0.891353198,0,7.002456716,0,6.446453287,3.40259946,6.992511345,0,0,5.246448015,2.253062511,6.861962065,4.401802233,6.009660336,0,0,7.92319161,7.962292578,4.956686191,2.139437315,6.065677768,6.400391218,4.541811492,6.860949875,4.931592967,3.09876869,6.951785409,4.762019785,6.483183248,7.47115783,0
ASXL1,1.120472633,4.960477773,2.001962316,1.199450967,0,4.450460149,0,0,0,5.476198202,1.604448181,4.234627048,0,5.865929049,4.312135525,3.629995027,2.423866253,1.291638426,5.606070156,0,1.816789046,0,0.795661158,0,3.718133382,0,0,0,0,3.381862934,4.135189569,0,0,3.984558529,2.982228866,3.601136479,5.625425147,3.310380597,0,4.291940884,3.618181116,2.838904445,0,0,0,0,3.32728372,0,0,3.640127433,4.262760628,2.379703381,0,2.570039778,0,0,6.961827046,0.522551843,5.49516709,0,1.740837424,0,5.099388645,3.486027564,1.65493251,1.990165075,1.045373105,0,0,0,0,0,0,0,0,0.942697477,0,0,0,4.696130404,3.626790217,1.645432366,0,0,6.092180497,0,2.258047436,3.003015741,0.926884427,0,0,0.763602868
ATP11B,6.783966207,5.295421446,1.323498161,0,0,3.55683625,4.128882139,4.177822826,5.055174609,0,2.68753506,0,4.560229979,0,6.523381902,0,6.760292236,7.317715751,0,0,6.212684256,1.446131746,3.498534004,0.792379018,4.266083882,4.317321525,0,0,1.032782132,4.791911074,4.757097419,0,0,0,0.821216795,3.601136479,1.882432019,0,0,3.293534794,6.412146388,0,0,0,4.775666127,8.278000843,1.704561193,2.333571557,0,0,0,2.171072638,6.132123734,0,2.615249204,0,0,7.810446316,0,6.775396784,0,0,8.191909861,6.648543134,1.052793069,0,5.216167758,0,0,4.362316282,0,0,0,0,3.879175555,0,0,0,0,7.412155592,5.808953312,4.17211367,0.935501266,3.642027317,0,5.319717729,4.505695677,1.928539409,0,0,5.000981458,0.763602868
ATRX,9.516703542,10.19500685,9.077227465,8.333555492,9.000198212,7.962229254,9.379611277,9.916824016,8.614336291,8.947977253,9.660938332,4.74136707,8.471869463,10.02163787,9.12286826,9.437925417,9.972985983,10.06191143,9.839812303,11.05809237,9.716213203,10.52183691,10.06606467,10.27551176,9.826833385,8.901450042,10.30102076,8.885568753,9.084499032,10.19562952,9.128525894,8.222395519,5.614989978,9.690242178,9.600856668,10.60989583,8.437301247,8.079006006,10.26715384,8.926076775,9.404801021,8.544436319,9.089254771,8.524335156,10.06725666,10.10848046,8.731595665,11.30959111,8.673265913,8.765004821,9.539502999,9.067211854,8.691824498,7.977417318,9.744856965,10.2379442,8.669096221,8.367479364,9.10112024,8.062404036,9.107055992,7.734664312,10.02557062,10.23376724,8.746498299,7.827581399,9.413092816,8.521122169,10.18619133,9.362824571,10.46921215,9.735264453,8.579107963,9.257229616,9.655072082,10.56610195,9.518594901,9.833023983,10.64991287,9.991383098,10.31763645,9.190283933,10.74085519,9.88381721,9.937429745,10.12327528,9.898489518,9.450981056,10.08961788,10.08363217,8.847230614,10.14656681
BAMBI,1.976530333,0,0,0,0,0,0,0,0.983456932,0.916895228,0,0,1.090393502,0,1.231112245,4.299867266,5.201703859,0,0,2.122280386,0,0,3.905118016,0,0,0,0,0,0,0,0,0,1.509199147,4.657762057,0,0,1.480940859,0,0,0,0,3.941211416,0,1.698598517,0,0,0,0,1.8680644,0,0,0,0,1.15999369,3.49244039,0.869564339,0,0,0,0,2.29390562,0,0,0,3.796442795,0,0,1.547903038,3.422605601,0,2.053220241,0,0,0.827459997,0,0,2.459313393,3.268001952,3.746289465,2.432446397,0,5.296879066,4.333685328,0,0,0,0,0,3.037263984,1.527142424,0,0
BCL11A,6.532725061,7.275511872,7.001552447,8.810947838,9.269914516,6.892129663,6.965129599,5.436196922,7.306779761,7.212206617,6.648446048,6.885895304,8.577979593,8.820535303,8.590296164,4.468268684,6.09249288,7.292351488,8.714315521,7.699375284,7.046513333,10.29619409,8.158774965,9.167748552,8.156942678,7.932691337,9.539175409,8.11984496,9.97568253,8.520392719,8.701975347,8.045152629,4.282825133,5.63954043,8.975344395,9.957271938,7.736536496,9.926174176,6.952347477,8.769420954,4.389295357,2.351395646,7.663075807,6.431998742,5.743358966,4.662579356,1.090615616,6.080412958,8.324040842,2.637401888,7.949124408,6.557582512,8.237210734,4.750920227,1.190186617,6.536197923,8.181776474,4.062966108,5.441604,8.909940488,2.043713671,8.622944522,6.930943086,8.552712099,5.716388185,7.766322898,8.47712122,8.439874159,6.078173704,5.579870247,9.025528152,7.587667957,7.679681698,2.683002067,9.814152168,6.895307741,2.954070457,3.268001952,9.039030592,2.221897736,8.616684049,6.747129559,6.080082433,6.354884337,6.943668442,6.250092381,8.680507766,6.41279649,7.358528372,5.98239313,8.48530956,6.739845175
