X,RamDA_mESC_00h_A04,RamDA_mESC_00h_A05,RamDA_mESC_00h_A06,RamDA_mESC_00h_A07,RamDA_mESC_00h_A08,RamDA_mESC_00h_A09,RamDA_mESC_00h_A12,RamDA_mESC_00h_B01,RamDA_mESC_00h_B02,RamDA_mESC_00h_B03,RamDA_mESC_00h_B04,RamDA_mESC_00h_B05,RamDA_mESC_00h_B06,RamDA_mESC_00h_B07,RamDA_mESC_00h_B08,RamDA_mESC_00h_B09,RamDA_mESC_00h_B10,RamDA_mESC_00h_B11,RamDA_mESC_00h_B12,RamDA_mESC_00h_C01,RamDA_mESC_00h_C02,RamDA_mESC_00h_C03,RamDA_mESC_00h_C04,RamDA_mESC_00h_C05,RamDA_mESC_00h_C06,RamDA_mESC_00h_C07,RamDA_mESC_00h_C08,RamDA_mESC_00h_C09,RamDA_mESC_00h_C10,RamDA_mESC_00h_C11,RamDA_mESC_00h_D01,RamDA_mESC_00h_D02,RamDA_mESC_00h_D03,RamDA_mESC_00h_D04,RamDA_mESC_00h_D05,RamDA_mESC_00h_D06,RamDA_mESC_00h_D07,RamDA_mESC_00h_D08,RamDA_mESC_00h_D09,RamDA_mESC_00h_D10,RamDA_mESC_00h_D11,RamDA_mESC_00h_D12,RamDA_mESC_00h_E01,RamDA_mESC_00h_E02,RamDA_mESC_00h_E03,RamDA_mESC_00h_E04,RamDA_mESC_00h_E05,RamDA_mESC_00h_E06,RamDA_mESC_00h_E07,RamDA_mESC_00h_E08,RamDA_mESC_00h_E09,RamDA_mESC_00h_E10,RamDA_mESC_00h_E11,RamDA_mESC_00h_E12,RamDA_mESC_00h_F01,RamDA_mESC_00h_F02,RamDA_mESC_00h_F03,RamDA_mESC_00h_F04,RamDA_mESC_00h_F05,RamDA_mESC_00h_F06,RamDA_mESC_00h_F07,RamDA_mESC_00h_F08,RamDA_mESC_00h_F09,RamDA_mESC_00h_F10,RamDA_mESC_00h_F11,RamDA_mESC_00h_F12,RamDA_mESC_00h_G01,RamDA_mESC_00h_G02,RamDA_mESC_00h_G03,RamDA_mESC_00h_G04,RamDA_mESC_00h_G05,RamDA_mESC_00h_G06,RamDA_mESC_00h_G07,RamDA_mESC_00h_G08,RamDA_mESC_00h_G09,RamDA_mESC_00h_G10,RamDA_mESC_00h_G11,RamDA_mESC_00h_G12,RamDA_mESC_00h_H01,RamDA_mESC_00h_H02,RamDA_mESC_00h_H03,RamDA_mESC_00h_H04,RamDA_mESC_00h_H05,RamDA_mESC_00h_H06,RamDA_mESC_00h_H07,RamDA_mESC_00h_H08,RamDA_mESC_00h_H09,RamDA_mESC_00h_H10,RamDA_mESC_00h_H11,RamDA_mESC_00h_H12
Aire,1.930187565,0.209997251,0.361029745,0.948887256,1.325418055,2.327686303,0.268642459,0.942669748,1.267599624,1.405954362,1.216820573,0.761332257,0.529551528,0.207572312,0.743959178,0.388479057,0.509821914,0.332165333,0.483293238,1.22193463,0.429224788,0.310557923,0.670782374,1.1939929,1.171466512,1.040679058,0.834788568,1.125157203,1.044100086,1.989916339,0.6653249,1.568358717,0.281382264,0.378621808,1.148251156,0.479870159,0.530473978,0.630232606,0.06661857,1.123376386,2.146033987,0.252977361,1.644856079,1.424965856,0.839457461,0.635137444,2.541627022,0.849543907,1.039316937,0.727980749,1.479503478,0.513201293,1.40083921,1.517744157,0.042320018,1.74559516,0.459995066,0.923493793,0.706787868,0.495237301,1.158081233,1.543362537,0.80015219,1.162933918,0.196270383,2.259901306,1.004906444,1.861223363,0.640972915,1.587484386,1.345709345,0.139782029,0.92825227,1.258670206,0.739454322,1.35270337,0.695806579,1.098957377,1.666653879,0.282970068,1.545881167,0.812996791,0.014224325,1.330641427,1.099735101,0.865087292,1.270238046,0.847815148,1.178961807,0.96711634
Akr1b8,0.444448459,0.366040549,0.680041617,0,0,0.664030752,0.888725119,0.213540964,0.230753399,1.044038041,0.327774737,0.170258472,0.376935885,0.297849331,0.159683154,0.160183935,0.471773671,0.169353933,0.824846395,0.165743228,0.512923977,1.219553158,0.109777789,0.411036777,0.102824827,0.337864106,0.286802735,0.104692694,1.037633395,0.438825498,0.121064478,0.657164751,0.635870393,0.316630319,0.830716477,0.624796169,0.266824454,0.266848599,0.321341826,0.069617257,0,0,0.62001093,0.350437056,1.424296285,0.492137711,0.631074473,0.275034038,0.657557591,0.65413144,0.450167875,1.08897954,0.598973957,0.8229675,0.59994115,0,0.637726513,0.45476251,0.520587486,0.397510437,0.340447445,0.366120387,0.264137195,0.494107779,0.117583748,0.410930536,0,0.652202332,0.123385668,0.305783357,1.124098396,0.186965884,0.841663815,1.000959213,0.569128878,0.384405583,0.567099077,0,0.407145444,1.019717531,0.339876964,0.33742243,0.635676932,0.403416159,0.825798807,0.313167661,0.548092314,0.212464153,0.414156625,1.009573637
Akt1,0.747313298,1.048582077,0.72553109,0.795836212,0.358918942,0.827714867,0.890728207,0.835567626,0.806566467,0.561960688,0.515779111,0.842542028,0.975063981,0.252383201,0.707733126,0.574601568,1.028150697,1.519051246,1.434698424,0.356599172,0.890875,0.677132137,1.152416162,0.779019064,1.496741608,1.334602772,0.490375445,1.258380226,1.280364827,0.970413126,0.553864618,1.499326559,0.570852617,0.767469749,0.853303081,1.344247135,0.981343554,1.04986049,0.855835206,0.725839754,1.825670199,0.725501629,1.159494764,0.639603104,1.070772176,1.283237182,1.200557447,1.391390763,1.04758985,0.989733777,0.973374428,1.560399588,0.525953338,1.343652524,0.717681349,1.617543972,0.797959463,0.509276112,0.749866897,0.759908692,1.154921582,0.283500299,0.525005724,0.714948321,0.666071129,1.094413549,1.397407981,1.315638873,0.387888885,0.498042519,0.756666524,0.958390636,0.99502305,0.945711369,0.947995317,0.902195017,1.173329692,0.503208504,1.129081949,0.655000139,0.478283243,1.152253826,1.361584285,0.431857058,1.313866308,1.762038317,0.859121706,0.705780485,0.795827112,0.644832872
Alg13,3.470242015,3.804688743,4.651194014,3.487517868,3.730831911,3.96932853,2.682754225,3.551309112,3.66702373,3.512655361,3.468421292,3.980799078,3.731172917,3.854128752,4.163365622,3.43740019,4.455651815,4.194480387,3.534393942,3.931099245,4.152834567,3.795193641,3.946714132,3.213455797,4.043064156,3.753090367,3.139567615,3.964845656,3.475096084,4.076825905,3.69540041,2.972245475,4.330424415,4.184994221,3.933196162,4.402813267,4.01385337,4.338224023,4.306492104,4.312788937,3.962877624,4.331159833,3.499726865,3.261087618,3.693487467,3.69351389,3.156002365,3.791228115,3.822185582,3.606652894,3.656154144,2.776615842,3.496730465,3.499833473,3.087200873,3.957003788,3.729457902,3.136543008,3.150961816,3.504715478,4.011507554,4.08670928,4.0016172,3.456942285,4.054430836,3.109660031,4.177889181,3.736799765,3.878705922,2.992092664,3.039743417,3.796013776,3.750712655,4.453426345,3.536405761,4.171800662,4.678744936,4.28873552,4.100366757,4.022998563,3.501114782,3.729618878,3.63043982,4.112431816,3.224540767,4.097782483,4.262363616,4.444115834,3.989616193,3.732175804
Alpl,1.438819204,1.71584989,2.655799183,0.902307614,2.031912212,2.280728993,1.796484425,2.521530407,2.689771024,1.978893352,1.904490179,2.387931073,2.030748345,1.796968384,1.448877954,1.560728536,1.807939754,2.218576301,1.842574333,1.385163722,1.471148732,2.796098771,2.06208583,1.953155879,1.336561899,1.660174725,1.781476527,2.186663659,2.32360827,2.106083197,2.089256227,1.65748204,2.135067516,2.220865775,2.194772597,1.730335805,2.002945236,2.337830303,2.063620865,2.133870252,1.511178022,2.021076261,1.175179375,0.545097213,0.670297094,1.840138272,2.671557604,2.495026839,1.963195718,0.865257426,1.159779061,0.958947969,1.753172438,1.808484159,2.206606759,2.200883545,1.570469766,1.112963546,1.409821394,1.363672565,1.75934434,1.540592916,2.240554218,1.310017747,2.381330568,1.070592496,1.716287018,2.139792161,1.765963926,1.130101987,1.983784523,2.740864233,1.587366916,1.56731204,1.214154497,2.054410853,1.719430954,1.67402278,1.99297666,1.764442832,2.049230976,1.24335663,1.830039742,1.870019234,1.152173595,2.055640933,2.097238332,1.92780989,1.902329031,1.830193048
Amot,0.07775274,0.187416052,0.03863919,0.306868422,0,0,0.124560317,0,0.059422413,0,0.029954227,0.115610099,0.182560551,0,0.024478937,0,0.240760451,0.339525646,0.193994033,0.006186228,0.19886257,0.084187427,0.3799778,0.109575134,0.006676708,0,0,0.108674537,0,0.013818911,0.14225128,0.173487876,0,0.379853401,0.278441461,0.498287785,0.226706784,0.057487132,0.355957209,0.019566452,0,0,0.136525277,0.058633705,0,0.145006255,0.045719461,0.101110386,0.499220767,0.277963019,0,0,0.046168812,0.298553882,0.095334695,0.371995032,0,0.084365974,0.012387708,0.167207473,0.03536466,0,0.03628954,0,0.062633162,0,0.612577233,0.095885233,0,0,0.292115814,0,0,0,0.098752845,0,0.184606876,0,0.137603442,0.087720314,0,0.155957432,0,0.104305816,0.175054609,0.129898927,0.182092128,0.017796637,0.005314767,0
Amotl2,2.858550517,1.256696289,1.208751657,2.745795849,1.719665272,2.42088921,2.070325252,1.120204613,2.001748162,2.510218529,1.157648414,1.808326584,1.454113785,1.541970524,1.804937841,1.966148294,1.567684406,1.830408748,1.844412352,2.217528056,1.917366713,2.166685567,1.450439011,1.996530626,1.780538595,2.913180099,2.188994009,2.740941503,1.904965469,1.804040265,1.970604397,1.845857364,1.391268808,2.400826431,1.5512655,0.859390774,0.753224974,2.104969188,2.634246255,2.030347924,2.685929367,3.388636425,2.018344408,2.784325009,1.008801876,2.8083445,2.792510719,1.844724039,1.833099237,2.522917905,2.791152724,1.815329823,2.652405625,1.668690893,1.410988626,1.855509253,1.37158131,2.825520521,1.661566823,3.014361193,2.183067998,0.911486074,1.484827344,2.155041835,2.305200805,3.329636075,0.775471315,1.810206499,1.214615479,3.018927426,3.339572471,2.975177537,2.17980162,1.491617274,2.857220729,2.100591863,1.590394178,2.54461292,1.954950073,2.535033186,1.600401034,2.735882876,1.788144155,2.579227657,0.236067857,2.099686674,2.770151807,2.701235495,2.788153514,2.013847106
Ampd2,0.641806347,1.252037071,1.21360516,1.819297789,0.885905793,1.85037917,0.249829461,1.448080018,0.88543554,1.122477088,1.324714971,1.927805218,1.135736947,1.861242842,0.56388349,1.786047513,1.922813081,2.046299353,1.088671415,1.391826397,1.368925437,1.823551789,0.97499961,1.875016399,1.405547396,1.700464541,1.396887725,2.033158579,1.687695573,1.675000199,1.097456598,1.885212526,1.779832521,0.532559046,1.600375712,2.00968119,1.720738668,1.881931459,2.06295757,1.807189932,1.648500154,1.612496791,1.997122924,1.81212525,1.336432898,1.137567633,2.489765535,2.216662,1.234669975,2.221570864,2.406237332,2.252185583,1.958194881,2.24662158,0.69965823,1.384953899,2.272128762,1.706379695,1.436488419,1.456773805,1.798095543,2.046061632,1.279598719,1.499311558,0.880436025,2.016981442,1.586155992,1.728553876,1.168671796,1.142466152,1.197081167,0.843544691,0.96828609,1.475049979,1.546524965,0.974519754,1.205791412,1.873804488,1.409679391,1.377175513,1.298111633,1.78598846,1.252737717,2.215629506,1.687072969,1.248919458,1.643008427,0.785143083,1.785650946,1.419814874
Ankrd49,0.200473862,0.216164486,0.281392751,0,0.371132756,0.294280147,0.158206714,0.32280284,0.353703228,0.346283775,0.349964623,0.256786264,0.135037448,0.713427466,0.357393482,0.625362663,0.784252174,0.220969095,0.218889465,0.188610409,0.481991011,0.239496082,0.060688496,0,0.223410517,0.100416988,0.549004552,0.677201942,0.194400854,0.542371212,0.370222913,0.089872813,0.404212397,0.251211243,0,0.337032832,0.489465266,0.158203535,0.694146382,0.909783558,0.426337159,0.240243315,0.064225361,0,0.020731517,0.709980962,0.098848,0.278000774,0.466795082,0.634336758,0.840554306,0.509712435,0.604846899,0.536684049,0.651308642,0,0.559233929,0.405398858,0.049431352,0.676870952,0.546451525,0.246714856,0.251619382,0.192862844,0.39249522,0.022591775,0.226010881,0.078043035,0.061566486,0.407110511,0.683520868,0.267013962,0.340294431,0.129274927,0.632613287,0.219603185,0.489865022,0.494258642,0.245179503,0.311850421,0.338600674,0.300885606,0.209343445,0.471220306,0.135848807,0.761103659,0.655029386,0.397961054,0.520372537,0.600742156
Ankrd54,1.022640511,1.052114695,0.894162746,0.527170049,0.792517381,0.504827339,0.750414376,0.463109476,0.766121349,0.760468981,0.795503962,0.423033087,0.832286858,0.651459877,0.744373335,0.608931805,0.725328015,0.700386529,0.022003168,1.12442448,0.571865153,1.13833313,0.17681041,0.240410889,0.195398147,0.682073406,1.028387357,0.473825628,0.62481253,0.819206637,0.75009658,0.658998525,0.63893249,1.062457425,0.670429478,0.394950664,0.702949617,1.189577303,0.945046484,0.850848983,1.135199967,0.29246841,0.716017912,1.128617124,0.935703401,0.567020041,0.312410203,0.764814043,1.404610952,0.578625794,1.694900352,0.366989496,0.716331093,0.194757499,0.595053938,0.865427397,0.510739672,0.730408379,0.871285056,0.084594426,0.464570229,1.016769249,0.87887493,0.715200256,0.524489834,0.61255682,0.884425357,0.333823888,0.800018791,0.806116305,0.539001835,0.592591668,0.542888112,0.75697375,1.051428083,0.783314729,1.228686689,0.312197107,0.528173447,0.501667769,0.455380892,1.096139703,0.528748778,0.498491073,0.808272819,0.337511937,0.252202864,0.801603518,0.701010778,0.855615881
Ankrd6,0.496361794,0.685227466,0.774457758,0.819069657,0.01948299,0.864529336,0.651056364,0.479879828,0.423711513,0.194185019,0.260419032,0.216036257,0.619565162,0.229000388,0.046308852,0.390783866,0.424449966,0.141606118,0.461243111,0.087863319,0.16124457,0.198231998,0.473649128,0.37504645,0.251929429,0,0.54916893,0.076944382,0.2412608,0.558146163,0.47135175,0.579530246,0.903304302,0.050036112,0,0.559416102,0.27781706,0.122787037,0.715088545,0.619207685,0.531237884,0.308170292,0.31026968,0.05108102,0.652611108,0.416673479,1.042636235,0.197026857,0.183766682,0.236762494,0.097615808,0.326326046,0.248392008,0,0.664917943,0.567002966,0.347096873,0.262617939,0.461740024,0.723995481,0.492920659,0.637139126,0.674266033,0.373148631,0.093212715,0.157147761,0.378763735,0.55081023,0.885525728,0.246012357,0.132911439,0.770906875,0.194145426,0.383076352,0.192361578,0.075759195,0.352755567,0.594847463,0.213118039,0.13292461,0.298435444,0.503200347,0.120209975,0.127535614,1.233690813,0.567747995,0,0.086704454,0.177180898,0.287812825
