X,RamDA_mESC_12h_A04,RamDA_mESC_12h_A05,RamDA_mESC_12h_A06,RamDA_mESC_12h_A08,RamDA_mESC_12h_A09,RamDA_mESC_12h_A12,RamDA_mESC_12h_B02,RamDA_mESC_12h_B05,RamDA_mESC_12h_B06,RamDA_mESC_12h_B07,RamDA_mESC_12h_B08,RamDA_mESC_12h_B09,RamDA_mESC_12h_B10,RamDA_mESC_12h_B11,RamDA_mESC_12h_B12,RamDA_mESC_12h_C02,RamDA_mESC_12h_C03,RamDA_mESC_12h_C04,RamDA_mESC_12h_C05,RamDA_mESC_12h_C07,RamDA_mESC_12h_C09,RamDA_mESC_12h_C10,RamDA_mESC_12h_C11,RamDA_mESC_12h_C12,RamDA_mESC_12h_D02,RamDA_mESC_12h_D04,RamDA_mESC_12h_D05,RamDA_mESC_12h_D07,RamDA_mESC_12h_D08,RamDA_mESC_12h_D09,RamDA_mESC_12h_D10,RamDA_mESC_12h_D11,RamDA_mESC_12h_D12,RamDA_mESC_12h_E01,RamDA_mESC_12h_E02,RamDA_mESC_12h_E05,RamDA_mESC_12h_E07,RamDA_mESC_12h_E08,RamDA_mESC_12h_E09,RamDA_mESC_12h_E10,RamDA_mESC_12h_E11,RamDA_mESC_12h_E12,RamDA_mESC_12h_F01,RamDA_mESC_12h_F02,RamDA_mESC_12h_F03,RamDA_mESC_12h_F06,RamDA_mESC_12h_F07,RamDA_mESC_12h_F10,RamDA_mESC_12h_F11,RamDA_mESC_12h_F12,RamDA_mESC_12h_G01,RamDA_mESC_12h_G03,RamDA_mESC_12h_G05,RamDA_mESC_12h_G06,RamDA_mESC_12h_G07,RamDA_mESC_12h_G08,RamDA_mESC_12h_G09,RamDA_mESC_12h_G12,RamDA_mESC_12h_H01,RamDA_mESC_12h_H02,RamDA_mESC_12h_H05,RamDA_mESC_12h_H06,RamDA_mESC_12h_H07,RamDA_mESC_12h_H08,RamDA_mESC_12h_H09,RamDA_mESC_12h_H10,RamDA_mESC_12h_H11,RamDA_mESC_12h_H12
Aire,0.087729264,0.050478181,0.759624704,0.417746184,0,0.091041709,0.183361558,0.259779859,1.085579048,0.374482628,0.152567518,0.349693735,0.075589585,0.050013072,0.652336373,0.392063039,0.667442567,0.503490724,0.053936804,0.015526866,0.269141514,0.161339569,0.040340792,0.209084219,0.078715291,0.226877486,0.382517813,0.583045557,0.179505679,0,1.17681221,0.179582403,0.791868902,1.472678981,0.385881792,0.084838977,0.131457772,0.338740245,0.000814625,1.464361315,0.017717145,0.182897084,0.369854786,0.291057086,0.267241383,0.198401067,0.17008837,0.078488358,0.004869671,0.021233629,0.252209173,0.196349403,0,0.268989675,0.695417712,0.098987441,0.02607715,0.096868212,1.492074162,1.689023412,1.210975092,0.095879826,0.70286371,0.293804581,0.066995619,1.545977239,0.406191339,0.702371774
Akr1b8,0.284390238,2.31591015,1.618711772,2.27211658,0.549832357,1.102118277,1.86084991,1.333728675,1.957896275,1.864438874,1.984124979,1.986359633,2.480643224,2.003530055,1.042378812,1.897333438,0.339137747,1.75008215,1.387042021,1.223802412,2.193741877,2.632933027,2.543296078,1.835301554,1.348915255,2.489126677,0.900609477,0.367277946,2.656015105,1.636495225,2.461260472,1.406629838,2.781044736,2.008113626,2.052405164,2.217959764,2.139404797,2.005658515,2.190304263,1.427011825,1.14865693,1.838893235,2.110904234,1.898989477,1.916637893,1.170918349,1.237260395,0.795869731,1.057910811,1.794515677,1.352245988,1.068984388,1.404948471,1.924002421,2.372662578,1.097007371,1.561323282,0.221653888,2.901708514,2.220972367,0.970391374,1.801244132,1.988283705,1.15398091,1.380746724,2.074680811,2.387322481,1.638459827
Akt1,1.697588874,1.80741517,1.372943271,1.453395757,1.15085105,1.257843382,1.923067768,1.459992931,1.688704677,1.723825397,2.052825867,1.964949934,1.544725125,1.151786349,2.196305858,2.185604516,2.506908397,2.20172962,1.52209174,1.517122645,1.404468586,1.849493678,0.94375337,1.729183784,1.735689994,1.58974523,1.785446586,2.324245764,0.571605193,1.762183867,0.961805816,1.394808513,1.330260895,0.903197541,1.662855873,1.612457129,2.205822747,2.077191634,1.796893442,1.782226139,2.136143069,1.463332597,1.889134183,2.052769408,1.236182582,1.233295846,1.896004015,1.739295986,1.482544537,1.311368999,2.265219014,1.476637103,1.353334677,2.091588749,1.567005222,1.630558746,1.418374501,1.986208143,1.956966732,0.822972889,1.390737119,2.019031248,1.825948135,1.756461748,2.193514444,2.004972415,1.368521062,1.589017136
Alg13,4.429652026,2.510797749,2.752907077,2.11539471,3.998847811,3.284867247,2.862427687,2.634167664,3.618175448,2.348750196,2.961281505,3.827590495,2.395860089,2.06989936,2.867662211,2.113672084,3.876117761,3.126833661,3.33164664,2.322649842,3.298347027,3.535745339,3.088653791,3.325825744,2.429633061,2.54766904,4.00877321,3.49800695,3.127831707,3.851036903,3.142255114,2.813036408,2.302011032,2.579768186,2.8728308,2.671507758,3.275218372,2.142909381,2.96871834,3.930475937,3.07830074,2.962468163,2.179765315,2.121404243,3.61519175,3.506463012,3.152115171,2.923531653,2.470470366,2.959415122,2.82599058,3.669450305,3.825538259,2.529151654,3.243014348,2.502925217,2.44804554,4.133495892,2.279855831,2.723350661,3.562063873,2.47033387,3.938842493,2.358243276,2.607070695,2.460827106,3.501117581,3.381605669
Alpl,2.143157848,2.072311961,0.653170532,1.185859201,1.661916541,0.731845304,1.180679339,1.025416465,1.988645575,0.083610359,1.548384138,1.192286871,1.609785793,0.852586223,2.028876693,1.592466492,2.262333043,1.940109934,2.084182495,0.801417187,1.828334833,1.538929889,0.458983762,1.221161146,0.238667381,1.002722499,0.904531245,2.057133066,0.929189545,2.297343551,1.128925463,0.938508644,2.325205476,0.887476484,1.538513703,0.757169691,0.887995437,1.75912648,0.814904509,1.511202138,1.512869083,1.056645427,1.23864963,0.824105752,2.2988573,0.377140028,1.750674995,1.797720525,1.421977515,2.094535627,1.507690683,0.399462859,1.430051122,1.360930269,1.963264361,1.72866331,1.151400866,2.584636945,0.573474545,2.470337517,0.75031987,1.361695496,1.413443197,0.62915643,1.821462401,1.977930535,0.911935564,2.009232694
Amot,0.149886146,0.817645793,1.374669121,0.171701774,1.079269689,0.38502535,1.843062999,0.488987864,0.197755168,1.523691272,2.00670488,1.589288081,1.845942148,1.793861458,1.443639076,1.707921267,0.267793406,1.820011066,1.509427452,2.162313163,1.068977158,1.85546816,2.499531902,1.358663217,1.014952125,0.700882911,1.482020422,2.476817783,5.61E-09,1.95160968,1.74586335,1.40314961,2.266945225,1.022585066,1.270560992,1.29794152,1.584163589,1.019087761,2.385085608,0.190441085,2.860789765,0.407897175,0.920679362,1.737078078,0.75164859,0.780395183,1.606447689,1.200876755,1.746541267,2.067645571,1.434029944,0.057722824,1.535193745,1.481536327,1.46026734,1.107261068,1.344326675,0.808647252,1.327516553,1.937472668,0.062404099,2.069478494,0.784079674,1.35676475,2.036275466,0.243063188,0.645936143,0.429202186
Amotl2,1.55387331,3.712748872,3.814809827,3.880983719,3.815169356,3.407704791,4.00047274,3.988159004,3.146522658,3.107540955,3.147504648,3.80591479,3.711914887,4.497989156,3.054257151,2.937739446,3.071863065,2.998202899,2.5479562,4.011450424,3.210685696,4.020934116,1.835634675,2.945354553,3.953312276,3.743812373,2.323787872,3.442120834,3.371538419,3.440769865,3.639292979,3.072016185,3.804566123,3.300969088,4.414279476,3.635960956,4.19524059,3.407874986,3.116426776,3.34439616,2.242254083,1.677262389,3.364986726,3.236774166,3.928836005,2.877495066,2.865760489,2.087856478,3.020540626,1.954009304,3.543287011,2.651709421,3.196899884,3.633959347,2.482065099,2.370409875,2.784602827,2.544228755,2.925599718,3.578634966,4.405622658,3.485715178,4.139278596,3.416310422,3.067503772,3.74987206,3.142055265,3.933095496
Ampd2,1.411409111,1.334707417,1.11066384,1.618915178,1.874480379,1.016524641,2.17093483,2.74467019,2.245521338,2.740766452,2.370271551,2.015238088,2.423657961,2.677636177,2.306568704,1.773929102,2.162581525,1.573273557,2.025537472,1.757218125,2.253847209,2.533202085,1.790344409,1.889341066,1.891399377,2.376590928,1.091775275,2.695368271,1.547599592,1.990440465,2.221708737,1.674449155,2.02841217,1.56446032,2.651667923,2.344058887,2.876393717,1.639616543,1.464013865,1.472406812,3.043212857,2.064467786,2.132753914,2.108544603,2.237455262,0.795444598,2.430752009,2.286691781,2.274082898,1.803846336,2.518665785,1.171111231,1.634229359,2.232084467,1.368079984,1.488853287,1.341569572,1.742559878,1.954436777,1.68006282,2.61172899,1.86999561,2.338457865,1.962537803,1.76435947,2.068449517,2.500673148,2.747188097
Ankrd49,0.459862439,0.89147565,0.475402831,0.721073392,0.992271379,0.116379475,0.477143976,0.84117629,0.647164921,1.041240652,0.57513093,0.437086762,0.507132165,0.747501439,0.526287803,0.335814325,1.361726277,0.571552991,0.381226445,0.038023106,0.843846305,0.418799108,0.706419613,0.768553598,0.212537199,0.750671586,0.813748524,0.186598686,0.267589672,0.303830315,0.438022778,0.539153764,0.651658465,0.124797253,0.321633801,0.802365274,0.59450314,0.544923794,0.467848945,0.432860501,0.499028039,0.809641075,0.583405,0.731144242,0.254824943,0.441072073,0.513702962,0.867416652,0.539677284,0.737665937,0.703131951,0.35355404,0.837703513,0.771970034,0.430941333,0.579892189,0.907488408,0.484262444,0.445945761,0.422200513,1.033867732,0.159066089,0.443036142,0.750662515,0.509569475,0.143763547,0.850658449,0.790636327
Ankrd54,0.590224042,1.361372644,1.344221732,1.139549427,1.174811689,0.779427546,0.682847407,0.827305442,1.000702195,1.98729027,1.184527834,1.145998448,1.567166241,0.967373626,1.055810353,0.740724547,1.010326968,1.112472568,1.254122292,0.928714263,0.87924964,0.505099615,0.605814451,0.760393582,1.585048769,0.499309565,1.126561875,1.899876569,0.792341211,1.12716525,0.994412843,0.929947452,0.639296332,1.304575123,0.847974989,1.20003171,1.232213159,1.222257587,1.184427791,1.136302192,1.337071163,1.119816116,1.286066335,0.628566244,0.443328619,0.825231339,1.051838734,1.310193647,1.439444817,1.030493114,0.843758687,0.983340215,0.979587525,0.903951884,0.513983317,1.253566406,0.773206094,1.56805183,0.557812275,0.779126706,1.283676961,0.559062327,1.017813174,0.893516105,0.788474576,0.869617184,0.695488381,0.51468519
Ankrd6,0.536953185,0.094783267,0.064199831,0.617728908,0.41734878,0.082537226,0.136395122,0.402224299,0.006824303,0,0,0.509150745,0,0,0,0,0.159413266,0,0.446475019,0.107172487,0.306910081,0.659254815,0.516601378,0.313037144,0.260453186,0,0.644734702,0.239705953,0.321193459,0.412442413,0.191705573,0.214283976,0.478151221,0.232182877,0.162082466,0,0,0.105116799,0.248160647,0.135640694,0.383863406,0.096411331,0.008644678,0,0,0.222673729,0.542714747,0.126326287,0.414387872,0.380077764,0.125273052,0.180566804,0.094641574,0.138477046,0.253300744,0.228927039,0.755320749,0.299379577,0,0.18911461,0,0,0.354973388,0.306483618,0.320967732,0.499346329,0.238112168,0.112886261
Anks1,0.514027123,0.255642757,0.295759907,0.660867489,0.539048107,0.410714015,0.313499148,0.455454811,0.423957962,0.056640446,0.338904077,0.509832005,0.460757736,0.435488345,0.49302131,0.446115335,0.597588284,0.583807502,0.078004171,0.49969728,0.582283278,0.596259794,0.206418932,0.380112176,0.384572127,0.248021355,0.739365144,0.280370144,0.651213518,0.21446049,0.757468661,0.1992508,0.388175755,0.334841976,0.278148921,0.53674134,0.38674714,0.464594716,0.189980066,0.478617796,0.42963126,0.443349148,0.645019513,0.398083662,0.283665949,0.603973726,0.749450656,0.396106476,0.09988547,0.34091769,0.580779809,0.547123821,0.534724215,0.192148327,0.665274793,0.363911821,0.464928111,0.61986446,0.455201184,0.576717572,0.624870653,0.218673373,0.597511363,0.477440842,0.491737025,0.226454271,0.052980823,0.18925572
Anp32a,3.067037558,2.191030654,1.593541071,1.066069095,2.230045574,2.40470066,2.455158462,1.406196813,2.631734667,3.070733485,1.836781145,2.694581122,2.46970183,2.641918559,2.643405798,2.548516123,3.159107595,2.575125035,3.054254746,2.833854994,2.907900669,1.979728828,2.243364474,2.626183556,2.248288099,1.916181978,3.3394844,2.309460491,2.191127882,2.686325592,1.956484532,2.658029514,2.585603943,2.103684437,1.948644776,2.683643563,2.421627955,2.470823217,2.075271248,3.327122724,2.562180951,3.217104869,2.022530067,2.731087906,2.460653391,2.268560759,2.211722857,3.110079392,1.504089441,3.156086426,2.108829816,3.097920515,2.309664166,2.325360754,2.941716347,2.166609118,1.854753883,2.705917068,2.19304004,1.873958097,2.398110405,2.671370595,2.847706723,2.754084708,2.923200834,2.922385318,2.822825314,2.421541214
Anxa2,0,1.278966001,1.888455348,3.124940556,0.701668108,1.572769023,1.563024865,2.154248524,1.601813139,1.037422797,3.276031886,1.323826778,1.042902182,0.802855988,1.141109662,1.166665044,1.368734252,0.917900434,1.064929685,1.115857896,0.83318965,2.441262212,2.065227356,1.261077877,1.8510446,0.790554927,0.963456817,1.10088249,2.9175739,1.28465822,1.490324506,2.594991753,2.031273518,1.8587603,2.331958201,1.083983905,1.258222002,0.864902283,1.768498731,1.99137492,2.074143737,1.1657318,1.338974113,1.037903733,0.631753092,1.864225432,1.588630761,1.553634627,1.199962216,2.505597254,1.917182054,1.91414751,1.17317076,0.405056334,0.730519282,1.159825596,2.940677712,1.065010813,1.346841511,0.858042834,1.987501915,1.241430047,0.460733845,1.606836976,1.023816503,2.020068653,1.153089602,1.541014313
Anxa5,0.05573002,0.192678879,0.671844595,1.068432031,0,0.145320243,0.258520938,0.550450237,0.375859908,0.419666808,0.592280634,0.566560597,1.512414876,0.408631224,0.997375678,0.502640599,0.423885877,0,0.241441413,0.823470548,0.292312971,0.665953697,0.689033107,0.191863302,0.99209631,0.186274445,0.575203995,0.882776168,0,0.108975539,0.421193408,0.425727914,0.638903905,0.579624769,0.34265001,1.273811365,0.671233862,1.363751091,0.810051636,1.028959484,0.663741269,1.289643301,0.590330648,0.503555365,0.663989974,0.527983617,0.540400456,1.419904822,0.664696129,0.341324922,1.294577658,1.326480406,0.225657008,0,0.739960884,1.231933413,1.499489659,0.196416669,0.321069599,0.333983907,0.810926498,1.116249839,0.029458923,0.847441315,0.112678093,0.637443167,0.844282848,0.106086073
Apbb1,0.391965394,0.254242299,0.58149288,1.254154491,0.909805717,0.542750215,0.720641797,1.036303079,0.251354583,1.371838287,0.87649669,1.197486588,1.237424757,0.342392686,0.583005578,0.514767399,0.450790347,0.270945992,0.843469923,1.421371536,0.679590951,0.758987953,0.989151816,0.864020566,0.632650628,0.536540357,0.765412656,0.473857589,0.938216052,1.371141873,0.664757609,0.33992478,0.881777106,0.375492905,0.820034417,1.286263088,0.477021555,0.551773916,0.679347515,1.24244695,0.280208854,0.578812562,0.827219586,0.692780662,0.794548394,0.698543067,0.262024954,0.721622532,1.322880924,1.023784432,1.618739039,0.810596757,0.945065672,0.802723661,1.23125711,0.962531442,0.818819612,0.57531591,1.175044147,1.028010807,0.725288848,1.396031726,0.760007821,0.619493141,0.897917644,0.423479958,0.337114607,0.061150237
Apex1,3.124072384,3.535983405,3.377193095,2.558492512,2.692508071,2.745447939,2.904032902,3.30784375,3.356412006,2.944445524,2.849674973,3.390093481,3.823255222,3.341978429,3.636009367,3.014395347,3.26120147,3.522753786,3.242378184,2.683710774,3.356519783,3.086936942,3.396298569,3.32318585,3.286678602,3.572075538,3.313711162,2.506850946,2.62125369,3.542782989,2.969261521,3.295279303,3.242930503,2.904680254,2.403751681,3.138673151,3.349846596,3.06457175,3.041185864,3.239533861,3.069999663,2.957909367,3.136119474,3.951045718,3.228439852,2.909618805,3.198386114,2.584939822,2.546042512,3.115797161,3.420234944,3.014267605,3.116944714,3.592709694,3.124507121,3.505342969,2.979199595,2.889291517,3.324931057,3.064576904,2.599180394,2.690223969,3.410663553,2.989421029,3.438982291,3.311982283,3.123746341,3.049733235
Apobec3,2.555109659,1.598573788,0.766161104,0.949663819,1.868997477,1.592948378,2.317501808,1.38147911,2.158261283,0.938678367,1.371660482,2.041587503,1.139999224,1.110854195,2.210081796,1.984761706,1.786457162,1.356979643,1.906356163,0.830099401,1.34531341,1.660717123,1.414119309,1.512035627,0.901595226,1.460532712,2.119230892,1.416233176,1.449507646,1.836652218,2.024626496,1.756027853,1.847677163,1.597591348,1.342619744,1.405241039,1.4263628,1.43981514,0.862775822,2.388180358,1.550576494,1.38175212,1.404554078,1.691639272,1.757021716,1.198606155,1.415944309,1.51050679,0.87474252,1.152240556,0.859276776,1.465161176,1.180657762,1.228535811,1.381813346,2.378497338,0.775042599,2.055157067,1.943217383,0.88134869,2.02553128,1.91688482,1.467135267,1.19200384,2.47738387,0.724668243,1.46172751,1.03110648
Apoe,3.853196895,4.678141525,3.596741254,5.083829939,4.762092606,3.015353216,4.559301623,5.811895765,3.587396814,5.514167561,5.490456351,4.750755668,5.212245512,4.623568238,5.377758427,5.598726285,3.197982816,5.065937946,4.354124673,4.582492395,4.954462737,4.658746876,4.321597248,4.826194575,4.437488147,4.79435384,4.253764621,4.716831739,3.866455088,4.721045554,4.707939203,4.377938549,4.899437028,4.671896392,5.838938565,5.145024408,5.199428877,4.889252558,5.327760104,4.288976437,5.180704868,3.768356535,4.393977991,5.068063012,5.434617952,4.018114257,5.631920236,3.911266187,4.933020901,4.29524959,4.812913359,3.945184945,3.773325499,3.925268504,4.84586287,5.119898723,4.326822305,3.44365855,4.365637999,4.830747115,4.583345726,4.620000408,5.295204384,4.781817933,5.140445324,5.236407807,5.066377194,4.468733738
