X,RamDA_mESC_72h_A04,RamDA_mESC_72h_A05,RamDA_mESC_72h_A06,RamDA_mESC_72h_A07,RamDA_mESC_72h_A08,RamDA_mESC_72h_A09,RamDA_mESC_72h_A11,RamDA_mESC_72h_B01,RamDA_mESC_72h_B02,RamDA_mESC_72h_B03,RamDA_mESC_72h_B04,RamDA_mESC_72h_B05,RamDA_mESC_72h_B06,RamDA_mESC_72h_B07,RamDA_mESC_72h_B08,RamDA_mESC_72h_B09,RamDA_mESC_72h_B10,RamDA_mESC_72h_B11,RamDA_mESC_72h_B12,RamDA_mESC_72h_C01,RamDA_mESC_72h_C02,RamDA_mESC_72h_C03,RamDA_mESC_72h_C04,RamDA_mESC_72h_C05,RamDA_mESC_72h_C06,RamDA_mESC_72h_C07,RamDA_mESC_72h_C08,RamDA_mESC_72h_C09,RamDA_mESC_72h_C10,RamDA_mESC_72h_C11,RamDA_mESC_72h_C12,RamDA_mESC_72h_D01,RamDA_mESC_72h_D02,RamDA_mESC_72h_D03,RamDA_mESC_72h_D04,RamDA_mESC_72h_D05,RamDA_mESC_72h_D06,RamDA_mESC_72h_D07,RamDA_mESC_72h_D08,RamDA_mESC_72h_D09,RamDA_mESC_72h_D10,RamDA_mESC_72h_D11,RamDA_mESC_72h_D12,RamDA_mESC_72h_E01,RamDA_mESC_72h_E02,RamDA_mESC_72h_E03,RamDA_mESC_72h_E04,RamDA_mESC_72h_E05,RamDA_mESC_72h_E06,RamDA_mESC_72h_E07,RamDA_mESC_72h_E08,RamDA_mESC_72h_E09,RamDA_mESC_72h_E10,RamDA_mESC_72h_E11,RamDA_mESC_72h_E12,RamDA_mESC_72h_F01,RamDA_mESC_72h_F02,RamDA_mESC_72h_F03,RamDA_mESC_72h_F04,RamDA_mESC_72h_F05,RamDA_mESC_72h_F06,RamDA_mESC_72h_F07,RamDA_mESC_72h_F08,RamDA_mESC_72h_F09,RamDA_mESC_72h_F10,RamDA_mESC_72h_F11,RamDA_mESC_72h_F12,RamDA_mESC_72h_G01,RamDA_mESC_72h_G02,RamDA_mESC_72h_G03,RamDA_mESC_72h_G04,RamDA_mESC_72h_G05,RamDA_mESC_72h_G06,RamDA_mESC_72h_G07,RamDA_mESC_72h_G08,RamDA_mESC_72h_G09,RamDA_mESC_72h_G10,RamDA_mESC_72h_G11,RamDA_mESC_72h_G12,RamDA_mESC_72h_H01,RamDA_mESC_72h_H02,RamDA_mESC_72h_H03,RamDA_mESC_72h_H04,RamDA_mESC_72h_H05,RamDA_mESC_72h_H06,RamDA_mESC_72h_H07,RamDA_mESC_72h_H08,RamDA_mESC_72h_H09,RamDA_mESC_72h_H10,RamDA_mESC_72h_H11,RamDA_mESC_72h_H12
Aire,0,0.120966695,0.057661017,0.067335428,0,0.070750851,0.08839117,0,0.050418605,0,0,0.023522318,0.102692544,0,0,0.019467161,0.076869536,0.342999521,0.041638695,0,0,0,0,0.041662603,0.044346097,0,0,0,0.030009434,0.063435935,0,0.015468136,0.009417742,0.100942872,0.057701013,0,0,0.019729636,0,0,0.012707067,0.061951513,0.017014843,0,0.033820654,0,0.041321488,0,0,0.037862505,0,0,0.032897182,0,0.018717644,0.016041783,0,0,0,0,0.059845681,0,0.016130456,0.017907183,0,0,0,0.221548682,0.122549973,0.014418509,0.095748622,0,0.013848821,0.117478188,0.045796793,0.067859383,0,0,0.018496436,0.039575926,0.183461891,0.023111871,0,0.087994565,0,0.004471943,0.031849404,0.023659013,0,0,0
Akr1b8,2.212704675,2.187296737,2.692011552,2.958826254,2.77891787,2.530982601,1.631106298,2.261471379,2.560379879,2.323826861,2.039388405,2.078341915,1.618676528,2.710808709,2.944162989,1.819257552,2.78543025,2.320878473,0.151536759,2.251298549,1.666504312,1.912873057,2.054047486,2.13214895,2.58851044,1.82684061,1.905024023,2.594769754,1.968850042,1.341896331,1.435744837,1.769604643,2.271573359,2.359726234,2.581238394,2.475802675,2.685640215,2.210166009,2.530890924,2.197679683,1.374788293,2.113733311,1.688262587,2.929103855,1.825827759,2.32674352,2.016335,2.226721845,2.205677707,1.892003388,1.381306705,2.089270217,2.023783142,1.432085402,2.910432881,1.662611373,2.777107856,1.442707378,1.347256131,1.692912595,1.73810827,2.224906,2.235015549,1.91883747,2.285202566,1.760869836,1.342652248,1.747832135,2.10354428,1.696668499,1.349622694,2.322056774,1.927074608,1.926846587,1.385298961,2.143769756,2.334113211,2.249330007,2.550515538,2.518732697,1.810274681,1.479474998,1.546662648,2.2652063,2.056478399,1.806936236,2.523930923,1.282530666,1.350691703,1.801848366,2.308958562
Akt1,2.016255498,2.758013146,2.001444615,2.936750337,2.545435917,2.378900483,2.179768679,2.235317988,2.379553688,2.618373871,1.770518051,2.72718104,2.570250044,1.963873538,2.917619978,2.771624904,2.357709475,1.548714337,2.664841824,2.334703979,2.97683654,2.992453948,2.447986555,2.664991195,3.142174719,2.593792336,1.79437662,2.65488659,3.143558574,2.6827644,2.665843921,2.573050635,3.050412498,2.347521023,2.592062152,2.291080196,2.433478754,1.925403623,3.129703934,2.736332222,2.519123026,3.021402531,2.819754852,2.009997749,2.981237513,2.175259187,2.302391705,3.24244154,2.532694247,2.603182228,2.5551367,2.235709587,2.449221432,2.461172278,2.724847386,2.483006364,2.548991605,3.160333973,2.918090737,2.682042518,2.632883519,3.120786811,2.294248962,3.299846159,2.78939674,3.105391796,2.548124628,2.299833266,2.386971352,1.943282149,2.246615543,2.420903776,2.800993133,2.8596659,2.829303577,2.710075016,2.469773669,2.675806688,3.375677248,1.967783784,2.899911992,1.64031211,2.487487488,2.725981096,2.075050888,2.4105583,2.258759259,2.447429446,3.107211337,2.321221194,2.449644994
Alg13,1.86519359,1.490572452,0.884073759,1.0304805,1.904216741,1.80589794,0.681621635,0.802612161,1.892377738,0.935807666,1.543472084,1.800832249,1.954499524,1.581308542,1.042674364,1.312658378,2.068358357,1.306122635,1.611358941,1.453232658,1.615124646,1.792041985,0.455173795,1.248206581,0.667390726,1.523145165,1.50082822,1.085871336,1.347708287,2.070718422,0.94890648,1.960337098,1.625792691,0.690509906,1.85161813,1.276414089,1.518829681,1.455860657,1.502524775,1.322723277,1.117205944,1.312562232,1.29500579,1.16263078,1.58443079,1.328582768,1.105782124,0.662440323,1.040172381,1.590941273,1.111314584,1.420850765,1.953801328,1.064239492,1.302777788,0.322670804,0.813393078,1.785552068,1.564581898,0.97422,1.407167275,1.411315663,1.107080524,1.843967458,1.43423459,1.089568827,0.712161607,2.3545595,1.224742716,1.274722867,1.245258582,1.145673141,1.117570609,1.344878184,1.128351412,1.560529254,1.325263902,1.038031781,2.011143213,1.691938429,0.964111471,0.96174314,0.983321656,0.901590456,1.182884836,1.992727709,1.439529974,1.808518807,1.241299994,1.301674642,1.739915487
Alpl,0,0,0,0,0,0,0,0,0,0,0,0.036371437,0,0,0,0,0,0,0,0,0.085077119,0,0,0,0,0,0.064677353,0,0,0,0,0.157089447,0,0,0,0,0,0,0,0,0.221590135,0,0,0,0,0,0,0,0.552748549,0,0.6868021,0,0,0.334863963,0,0,0,0,0,0,0,0,0.149610179,0,0,0,0,0,0.354120947,0,0.303842305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082107865,0,0
Amot,0.620776019,0.070818738,2.208276727,0.24478436,0.747199783,0.952150774,0.479830447,0.674291958,0.690632199,0.826192965,1.43517398,2.680848899,0.545758889,0.996621667,2.059916649,0.76842883,1.719248534,1.060482983,1.784978828,0.329566029,0.835066445,0.450729441,0.706245008,0.460988776,0.321807423,1.516720602,0.279892296,0.245713462,0.946320476,1.078019802,1.501457471,0.396790133,0.978160046,0.815207172,0.584471579,1.582573298,0.822601725,1.043355733,1.738356465,1.179309634,0.709895302,0.747789045,2.209657175,1.240526429,0.641520997,0.440679955,0.225258984,0.644613409,0.883070028,0.343503772,1.729054602,0.840014145,0.486251705,2.281916099,0.449370334,0.481881612,0.202933245,0.499562689,1.192088373,0.471481015,0.701627393,2.740406869,1.148765099,0.785840353,0.438935451,3.467339882,0.438147714,1.135674617,0.615409776,0.186695337,2.213991394,0.473782634,0.457786497,1.047006936,0.939995353,0.252621568,0.704337437,0.713842518,0.389949498,1.018561276,0.715243058,1.332374283,0.579173979,0.111003176,0.473358642,0.621731315,0.754553839,0.44350342,0.171696626,1.05004343,0.822188229
Amotl2,4.112028485,4.874096121,3.219126109,3.261394034,4.251642253,5.160086712,3.72036824,3.359206041,4.5966918,4.569432262,4.757725764,4.038391589,4.820280746,4.178864394,4.264031397,4.376458972,3.831561959,4.592944562,4.071673178,3.894765342,3.846110083,4.047821551,3.575282837,4.759370967,4.267224908,4.526199768,4.344020752,4.472556236,5.315709288,3.9007464,3.048168846,4.611628429,3.131165724,4.429844642,3.368060774,3.423909108,4.783782273,3.716568419,2.460523554,3.963314765,3.593188411,4.667404107,4.27873313,4.453492326,4.957077433,4.847215642,4.825174262,3.69543291,4.304676284,5.688581396,1.36897763,4.674438243,4.271234193,3.662353238,5.143421831,4.629609466,4.261358971,4.495464965,2.578954174,4.590501374,3.818026585,2.697204401,3.691519982,5.64846359,4.447335756,3.289431435,4.702078932,2.924829125,4.637487603,3.028343688,3.86447474,4.293161825,3.96244305,3.215528757,4.629050284,4.12812017,5.128242758,3.901438362,2.849265883,4.184212871,4.923356399,4.415110823,3.7280538,4.827782264,4.561232538,4.931255834,4.890431402,5.614147981,3.087201886,4.641843695,4.34789148
Ampd2,4.669524886,4.769822737,2.06665887,4.014858752,3.826781735,4.451380221,4.151122649,4.473802588,3.779784226,3.229326377,3.671921639,3.797642393,4.119822663,3.676091956,3.139434455,3.512623339,3.201555525,1.121528975,2.962077946,4.722617592,3.703847647,4.162188203,3.86875973,3.533301504,4.109025013,3.385648323,4.674818043,4.565901734,4.497844606,2.644950419,2.904219816,4.508217741,4.146381253,3.570094619,4.161628656,2.694878157,4.209760498,4.353072126,3.768476102,4.290808983,2.437381956,4.414209418,3.851567398,3.67574606,4.031260472,3.826662081,4.611394057,4.086938463,3.187559015,3.553441381,2.812839142,4.587374788,3.705211733,2.139305276,5.215526183,4.463618906,4.345873479,3.347307403,4.085538934,5.030731223,4.561416795,2.232515534,3.915644782,3.501410337,4.330628827,3.520707622,4.262998038,3.874667804,3.504235965,3.36959002,2.223468564,3.640645446,4.014538379,4.098154985,3.919527574,4.371253943,3.510391547,4.033156339,4.308217636,4.023657438,4.175156741,4.10250763,5.05895018,4.369770366,4.000080968,3.412682115,4.333589685,5.19027703,3.439209283,3.096586134,3.388315556
Ankrd49,0.685543828,0.616411321,0.315165289,0.434384996,0.309056427,0.636382973,0.726639224,0.821124737,0.334520231,0.907365429,0.18103727,0.570462297,0.692800393,0.588198856,0.475129135,0.331957641,0.422385385,0.39324513,0.353309994,0.744350262,0.977306571,0.416432921,0.348297456,0.715676799,0.555747533,0.54211148,0.748113967,0.566406838,0.355683395,0.384747806,0.649832698,0.521473758,0.265951051,0.313712344,0.36496265,0.67950601,0.323877432,0.693925552,1.093373544,0.874238875,0.576937718,0.363694303,0.61264425,0.13333576,0.497441918,0.580257105,0.591422656,0.324640818,0.607027413,0.492268602,0.46005622,0.852470654,0.577928217,0.517900173,0.607215633,0.300429378,0.615569085,0.096104935,0.616963273,0.335502824,0.3424571,0.111728668,0.640659567,0.72487293,0.606444872,0,0.687436167,1.058281225,0.36973782,0.521932353,0.369841374,0.355182563,0.508991603,0.894099256,0.553578921,0.437047304,0.363404095,0.503776008,0.341788123,0.566764977,0.626019589,0.188319436,0.717772408,0.277481209,0.259486903,0.175111484,0.557723016,0.687202159,0.346881778,0.726729523,0.322883958
Ankrd54,0.660838895,0.917817779,0.842491262,0.729141045,1.063547731,1.28070325,0.378505526,0.618755613,0.873422818,0.863331825,0.755475967,1.057129833,0.921897574,0.826879662,1.207645812,0.70759254,1.491736428,0.626544225,1.317637203,1.273466927,1.493896873,0.727838162,1.191427539,0.608319278,1.474549515,1.156469707,0.566562973,1.339926157,1.280439201,0.627673977,1.16227607,1.418145533,0.939219418,0.725808356,0.65727017,1.246883756,0.848237428,1.450325764,1.217785736,0.329843104,1.481447667,1.189633085,1.366978746,0.920000792,0.994976505,0.420183824,1.448653595,0.805613968,0.546404618,0.485114273,0.886537157,0.964539733,0.975874552,1.354360501,1.022002917,0.757871038,1.050746214,1.63202671,2.199825979,0.89912383,0.896634725,1.223522189,0.760154864,0.796855371,0.58163508,0.989841812,0.790652285,0.827807207,1.029408227,1.022285312,1.121205553,0.645830783,0.824909398,1.005018583,0.453678963,0.556127084,0.773103507,1.261212823,1.098853398,1.636912823,1.001753598,0.436618813,0.650981835,0.996165766,0.760991105,0.669744644,0.377400385,0.763693418,1.323348829,0.389015178,1.559805159
Ankrd6,0.050114643,0,0,0.117539709,0.020643421,0.084211453,0,0,0.157654847,0,0.061318898,0.200365659,0.18068987,0.097404756,0.095062446,0,0.09538705,0.133647304,0.151798019,0,0.263155762,0.172125821,0.058019221,0,0.187521613,0,0,0,0,0,0.564212013,0,0,0.037500486,0,0.182436103,0,0.026365681,0,0.001694757,0,0,0.084972848,0,0.259255178,0,0,0.188459776,0.086088726,0.118630863,0,0,0.116587273,0,0.313231944,0,0.292301785,0.500387521,0,0.09285584,0.26542824,0.024985562,0,0.033929879,0,0.274770107,0.554465656,0.129243304,0.257423514,0,0,0.093666676,0.122382593,0,0,0,0.138109434,0.273874151,0,0,0,0.380715787,0,0.116080741,0.043134903,0,0.137189063,0,0,0.094094492,0.055523443
